Title                                                                           - Score - Year - Num Eps            - Duration              - Genre(s)                                                                            - Link
Hakusai Anime                                                                   - 5.38  - 2013 - 3 episode(s)       - 4 min. per ep.        - Slice of Life, Comedy, Romance, School                                              - https://myanimelist.net/anime/19495
Hana no Ko Lunlun: Konnichiwa Sakura no Kuni                                    - 5.93  - 1980 - 1 episode(s)       - 15 min.               - Magic, Drama, Shoujo                                                                - https://myanimelist.net/anime/9264
Happy☆Lucky Bikkuriman                                                          - 7.16  - 2006 - 46 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Fantasy, Kids                                                    - https://myanimelist.net/anime/15913
Hi no Ame ga Furu                                                               - 7.46  - 1988 - 1 episode(s)       - 1 hr. 20 min.         - Drama, Historical                                                                   - https://myanimelist.net/anime/5929
Hi no Tori 2772: Ai no CosmoZone                                                - 6.81  - 1980 - 1 episode(s)       - 2 hr. 1 min.          - Sci-Fi, Adventure, Space, Drama, Romance, Fantasy                                   - https://myanimelist.net/anime/2793
Hidan no Aria                                                                   - 7.07  - 2011 - 12 episode(s)      - 24 min. per ep.       - Action, Comedy, Romance, School                                                     - https://myanimelist.net/anime/8630
Higanjima X                                                                     - 5.47  - 2016 - 12 episode(s)      - 3 min. per ep.        - Horror, Vampire, Fantasy, Seinen                                                    - https://myanimelist.net/anime/34222
Higurashi no Naku Koro ni Kaku: Outbreak                                        - 7.35  - 2013 - 1 episode(s)       - 52 min.               - Horror, Mystery, Psychological, Thriller                                            - https://myanimelist.net/anime/16700
Himitsu no Akko-chan: Umi da! Obake da!! Natsu Matsuri                          - 5.97  - 1989 - 1 episode(s)       - 24 min.               - Magic, Shoujo                                                                       - https://myanimelist.net/anime/12971
Himitsukessha Taka no Tsume THE PLANETARIUM: Burabura! Black Hole no Nazo       - 4.64  - 2011 - 1 episode(s)       - 25 min.               - Adventure, Comedy, Parody, Space                                                    - https://myanimelist.net/anime/13499
Honoo no Alpenrose                                                              - 6.31  - 1986 - 2 episode(s)       - 1 hr. 16 min. per ep. - Historical, Drama, Romance, Shoujo                                                  - https://myanimelist.net/anime/11101
Hopiwa Chadolbawi                                                               - 4.71  - 1967 - 1 episode(s)       - 1 hr. 10 min.         - Action, Adventure, Historical, Shounen                                              - https://myanimelist.net/anime/18309
Hoshi Akari no Concert: Seiza ga Kanaderu Yozora                                - 4.14  - 2012 - 1 episode(s)       - 2 min.                - Music, Space                                                                        - https://myanimelist.net/anime/35511
Hurdle                                                                          - 5.36  - 2005 - 1 episode(s)       - 1 hr. 30 min.         - Drama                                                                               - https://myanimelist.net/anime/16776
IGPX: Immortal Grand Prix                                                       - 6.70  - 2003 - 5 episode(s)       - 5 min. per ep.        - Sports, Mecha, Sci-Fi, Shounen                                                      - https://myanimelist.net/anime/1409
Ichigo Mashimaro                                                                - 7.73  - 2005 - 12 episode(s)      - 24 min. per ep.       - Slice of Life, Comedy                                                               - https://myanimelist.net/anime/488
Ie Naki Ko (Movie)                                                              - 6.70  - 1980 - 1 episode(s)       - 1 hr. 36 min.         - Slice of Life, Adventure, Drama                                                     - https://myanimelist.net/anime/2831
Ikkyuu-san                                                                      - 7.07  - 1975 - 296 episode(s)     - 24 min. per ep.       - Kids, Comedy, Historical                                                            - https://myanimelist.net/anime/4935
Imawa no Kuni no Alice (OVA)                                                    - 7.64  - 2014 - 3 episode(s)       - 23 min. per ep.       - Action, Psychological, Supernatural, Thriller, Shounen                              - https://myanimelist.net/anime/24781
Initial D Battle Stage                                                          - 7.64  - 2002 - 1 episode(s)       - 52 min.               - Action, Cars, Drama, Seinen, Sports                                                 - https://myanimelist.net/anime/821
Initial D Second Stage                                                          - 8.16  - 1999 - 13 episode(s)      - 23 min. per ep.       - Action, Cars, Sports, Drama, Seinen                                                 - https://myanimelist.net/anime/186
Inko Colors                                                                     - N/A   - 2017 - 1 episode(s)       - 7 min.                - Adventure                                                                           - https://myanimelist.net/anime/35647
Irregular Hunter X: The Day of Sigma                                            - 7.34  - 2005 - 1 episode(s)       - 30 min.               - Action, Sci-Fi, Mecha, Shounen                                                      - https://myanimelist.net/anime/2808
Isshuukan Friends.: Tomodachi to no Omoide                                      - 6.91  - 2014 - 1 episode(s)       - 13 min.               - Comedy, School, Slice of Life                                                       - https://myanimelist.net/anime/30376
JRA Hokan Keikaku                                                               - 4.82  - 2012 - 3 episode(s)       - 15 sec. per ep.       - Action, Mecha                                                                       - https://myanimelist.net/anime/32739
Jean Valjean Monogatari                                                         - 6.33  - 1979 - 1 episode(s)       - 1 hr. 9 min.          - Drama                                                                               - https://myanimelist.net/anime/5900
Jigoku Shoujo: Yoi no Togi                                                      - 6.60  - 2017 - 6 episode(s)       - 23 min. per ep.       - Horror, Mystery, Psychological, Supernatural                                        - https://myanimelist.net/anime/34966
Jitensha-hen                                                                    - 4.85  - 2009 - 1 episode(s)       - 7 min.                - Music                                                                               - https://myanimelist.net/anime/32777
Juubee Ninpuuchou: Ryuuhougyoku-hen                                             - 6.76  - 2003 - 13 episode(s)      - 24 min. per ep.       - Adventure, Horror, Magic, Martial Arts, Shounen, Supernatural                       - https://myanimelist.net/anime/618
Juusou Kikou Dancougar Nova                                                     - 6.03  - 2007 - 12 episode(s)      - 25 min. per ep.       - Mecha                                                                               - https://myanimelist.net/anime/1991
Kagaku Ninja-tai Gatchaman (Movie)                                              - 6.33  - 1978 - 1 episode(s)       - 1 hr. 50 min.         - Action, Adventure, Sci-Fi, Shounen                                                  - https://myanimelist.net/anime/3153
Kaishain x Sumida Suizokukan Bikkuri! Kai Matsuri CM                            - 4.11  - 2017 - Unknown episode(s) - 15 sec.               - Comedy                                                                              - https://myanimelist.net/anime/35133
Kakuchou Shoujo-kei Trinary: Ex.MV                                              - 6.60  - 2017 - 5 episode(s)       - 2 min. per ep.        - Sci-Fi, Music                                                                       - https://myanimelist.net/anime/36782
Kamiusagi Rope (ONA)                                                            - 5.80  - 2013 - Unknown episode(s) - 2 min.                - Slice of Life, Comedy                                                               - https://myanimelist.net/anime/30154
Kara no Shoujo                                                                  - 5.66  - 2010 - 2 episode(s)       - 27 min. per ep.       - Hentai, Mystery                                                                     - https://myanimelist.net/anime/7265
Kaze no Naka no Shoujo: Kinpatsu no Jeanie                                      - 7.12  - 1992 - 52 episode(s)      - 26 min. per ep.       - Drama, Historical                                                                   - https://myanimelist.net/anime/3110
Kidou Keisatsu Patlabor the Movie                                               - 7.57  - 1989 - 1 episode(s)       - 1 hr. 39 min.         - Military, Police, Drama, Mecha                                                      - https://myanimelist.net/anime/1095
Kidou Keisatsu Patlabor: Reboot                                                 - 6.73  - 2016 - 1 episode(s)       - 7 min.                - Sci-Fi, Comedy, Police, Mecha                                                       - https://myanimelist.net/anime/33741
Kikou Sennyo Rouran                                                             - 5.97  - 2002 - 28 episode(s)      - 12 min. per ep.       - Action, Fantasy, Mecha                                                              - https://myanimelist.net/anime/1947
Kimi wa Sou Kimeta                                                              - 4.95  - 2011 - 1 episode(s)       - 5 min.                - Music                                                                               - https://myanimelist.net/anime/30430
Kinnikuman: New York Kiki Ippatsu!                                              - 6.34  - 1986 - 1 episode(s)       - 45 min.               - Action, Comedy, Sports, Shounen                                                     - https://myanimelist.net/anime/3278
Kobayashi-san Chi no Maid Dragon Specials                                       - 7.35  - 2017 - 7 episode(s)       - 3 min. per ep.        - Slice of Life, Comedy, Fantasy                                                      - https://myanimelist.net/anime/35145
Koi Tsubomi                                                                     - 6.46  - 2006 - 1 episode(s)       - 2 min.                - Fantasy, Music                                                                      - https://myanimelist.net/anime/7295
Korashime                                                                       - 6.03  - 2001 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                              - https://myanimelist.net/anime/3382
Korekarasaki, Nando Anata to.                                                   - 5.68  - 2015 - 1 episode(s)       - 4 min.                - Slice of Life, Music                                                                - https://myanimelist.net/anime/31252
Kubbe PV Full ver.                                                              - 5.10  - 2012 - 1 episode(s)       - 3 min.                - Fantasy                                                                             - https://myanimelist.net/anime/33529
Kumo to Tulip                                                                   - 5.79  - 1943 - 1 episode(s)       - 14 min.               - Adventure                                                                           - https://myanimelist.net/anime/3990
Kuragehime                                                                      - 8.21  - 2010 - 11 episode(s)      - 22 min. per ep.       - Slice of Life, Comedy, Josei                                                        - https://myanimelist.net/anime/8129
Kuuchuu Buranko                                                                 - 8.05  - 2009 - 11 episode(s)      - 23 min. per ep.       - Comedy, Psychological, Drama, Seinen                                                - https://myanimelist.net/anime/6774
Last Exile: Ginyoku no Fam                                                      - 7.13  - 2011 - 21 episode(s)      - 24 min. per ep.       - Action, Adventure, Sci-Fi                                                           - https://myanimelist.net/anime/10336
Leopard Eyes                                                                    - 6.61  - 2015 - 1 episode(s)       - 4 min.                - Music                                                                               - https://myanimelist.net/anime/32031
Little Nemo                                                                     - 7.43  - 1989 - 1 episode(s)       - 1 hr. 34 min.         - Adventure, Fantasy                                                                  - https://myanimelist.net/anime/2286
Liv & Bell                                                                      - 5.57  - 2013 - Unknown episode(s) - 5 min.                - Adventure, Kids                                                                     - https://myanimelist.net/anime/29421
Lolling Seutajeu                                                                - 4.93  - 2009 - 26 episode(s)      - 26 min. per ep.       - Kids, Sports                                                                        - https://myanimelist.net/anime/17102
Love Like Aliens                                                                - 5.62  - 2012 - 1 episode(s)       - 6 min.                - Action, Music, Sci-Fi                                                               - https://myanimelist.net/anime/17293
Luger Code 1951                                                                 - 6.50  - 2016 - 1 episode(s)       - 25 min.               - Action, Fantasy, Shounen                                                            - https://myanimelist.net/anime/31598
Lupin III: Cagliostro no Shiro                                                  - 8.19  - 1979 - 1 episode(s)       - 1 hr. 40 min.         - Action, Adventure, Mystery, Comedy, Seinen                                          - https://myanimelist.net/anime/1430
Mahoromatic Summer Special                                                      - 7.22  - 2003 - 1 episode(s)       - 23 min.               - Ecchi, Romance, Comedy, Sci-Fi                                                      - https://myanimelist.net/anime/631
