Title                                                                                                                          - Score - Year - Num Eps      - Duration           - Genre(s)                                                                                   - Link

Eien no Aselia                                                                                                                 - 5.34  - 2005 - 2 episodes   - 29 min per ep      - Adventure, Drama, Fantasy                                                                  - https://myanimelist.net/anime/503
Elf-ban Kakyuusei: Anata dake wo Mitsumete...                                                                                  - 6.12  - 1997 - 4 episodes   - 27 min per ep      - Drama, Harem, Romance, School                                                              - https://myanimelist.net/anime/661
Elite Banana Banao                                                                                                             - 5.80  - 2015 - 9 episodes   - 2 min per ep       - Comedy, Parody, Slice of Life                                                              - https://myanimelist.net/anime/33986
Escaflowne                                                                                                                     - 7.06  - 2000 - 1 episode    - 1 hr 37 min        - Adventure, Drama, Fantasy, Isekai, Mecha, Romance, Sci-Fi                                  - https://myanimelist.net/anime/393
Estima: Sense of Wonder                                                                                                        - 4.65  - 2016 - 13 episodes  - 15 sec per ep      - Comedy, Sci-Fi                                                                             - https://myanimelist.net/anime/33871
Fate/Apocrypha Recaps                                                                                                          - 6.41  - 2017 - 2 episodes   - 24 min per ep      - Action, Drama, Fantasy, Historical, Supernatural                                           - https://myanimelist.net/anime/36729
Feifei De Hangye                                                                                                               - None  - 2000 - 26 episodes  - 12 min per ep      - Kids                                                                                       - https://myanimelist.net/anime/46157
Flanders no Inu Specials                                                                                                       - 6.17  - 2000 - 2 episodes   - 45 min per ep      - Drama, Pets, Slice of Life, Visual Arts                                                    - https://myanimelist.net/anime/24679
FlashBack                                                                                                                      - 6.63  - 2012 - 1 episode    - 3 min              - Music                                                                                      - https://myanimelist.net/anime/13281
Flutter of Birds: Tori-tachi no Habataki                                                                                       - 5.65  - 2002 - 2 episodes   - 30 min per ep      - Hentai                                                                                     - https://myanimelist.net/anime/1404
Freedom                                                                                                                        - 7.39  - 2006 - 7 episodes   - 28 min per ep      - Action, Adventure, Racing, Sci-Fi, Space                                                   - https://myanimelist.net/anime/1747
Fukai ni Nemuru Oujo no Abaddon The Animation                                                                                  - 5.67  - 2020 - 1 episode    - 24 min             - Hentai                                                                                     - https://myanimelist.net/anime/41211
Futsuu no Joshikousei ga [Locodol] Yattemita.: Nagarekawa, Annai Shitemita.                                                    - 6.88  - 2014 - 1 episode    - 23 min             - Comedy, Slice of Life                                                                      - https://myanimelist.net/anime/25719
Gabriel DropOut Specials                                                                                                       - 7.62  - 2017 - 2 episodes   - 15 min per ep      - CGDCT, Comedy, Mythology, School, Shounen, Supernatural                                    - https://myanimelist.net/anime/34855
Gaki Deka (OVA)                                                                                                                - None  - 1989 - 3 episodes   - 15 min per ep      - Comedy, Ecchi, Kids, Parody, Shounen                                                       - https://myanimelist.net/anime/23609
Gakkou no Kaidan: Kubinashi Rider!! Shi no Noroi                                                                               - 7.01  - 2001 - 1 episode    - 23 min             - Horror, Mystery, Supernatural                                                              - https://myanimelist.net/anime/30825
Gakuen no Ikenie: Nagusami Mono to Kashita Kyonyuu Furyou Shoujo                                                               - 5.79  - 2015 - 1 episode    - 27 min             - Hentai                                                                                     - https://myanimelist.net/anime/30658
Gakusen Toshi Asterisk Mini Drama                                                                                              - 5.71  - 2022 - 1 episode    - 5 min              - Comedy                                                                                     - https://myanimelist.net/anime/52200
Galerians: Rion                                                                                                                - 5.34  - 2002 - 3 episodes   - 24 min per ep      - Adventure, Drama, Horror, Military, Mystery, Psychological, Sci-Fi, Supernatural, Suspense - https://myanimelist.net/anime/1611
Ganbare Douki-chan: Kakusa Shakai ni Nayamu Kaisha no Douki                                                                    - 6.43  - 2021 - 1 episode    - 5 min              - Adult Cast, Comedy, Ecchi, Romantic Subtext, Workplace                                     - https://myanimelist.net/anime/49869
Gang Jia Xiaolong Xia                                                                                                          - None  - 2016 - 52 episodes  - 22 min per ep      - Kids, Sci-Fi                                                                               - https://myanimelist.net/anime/44494
Gate Keepers 21                                                                                                                - 6.75  - 2002 - 6 episodes   - 25 min per ep      - Action, Drama, Mecha, Sci-Fi                                                               - https://myanimelist.net/anime/128
Geisters Movie: Inochi no Shou                                                                                                 - None  - 2002 - 1 episode    - 1 hr 40 min        - Action, Military, Sci-Fi                                                                   - https://myanimelist.net/anime/35521
Gekidan Nanatsu no Taizai                                                                                                      - 5.60  - 2020 - 13 episodes  - 2 min per ep       - Comedy, Fantasy, Supernatural                                                              - https://myanimelist.net/anime/45567
Gekkan Shoujo Nozaki-kun Specials                                                                                              - 7.71  - 2014 - 6 episodes   - 3 min per ep       - Comedy, Romance, School                                                                    - https://myanimelist.net/anime/27633
Genki Bakuhatsu Ganbaruger: Hyakka                                                                                             - None  - 1992 - 1 episode    - 28 min             - Action, Mecha                                                                              - https://myanimelist.net/anime/30061
Genki Genki Non-tan: Spoon Tan Tan Tan                                                                                         - None  - 2013 - 1 episode    - 30 min             - Kids, Music                                                                                - https://myanimelist.net/anime/25619
