Title                                                                                                - Score - Year - Num Eps            - Duration              - Genre(s)                                                               - Link
Fujoshi no Hinkaku                                                                                   - 6.25  - 2010 - 1 episode(s)       - 30 min.               - Slice of Life                                                          - https://myanimelist.net/anime/8178
Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi                           - 7.75  - 2006 - 1 episode(s)       - 30 min.               - Comedy                                                                 - https://myanimelist.net/anime/1015
Full Metal Panic? Fumoffu                                                                            - 8.16  - 2003 - 12 episode(s)      - 24 min. per ep.       - Action, Comedy, School                                                 - https://myanimelist.net/anime/72
Fullmetal Alchemist: Brotherhood - 4-Koma Theater                                                    - 7.64  - 2009 - 16 episode(s)      - 2 min. per ep.        - Parody, Fantasy, Comedy, Military                                      - https://myanimelist.net/anime/7902
Fullmetal Alchemist: Brotherhood Specials                                                            - 8.10  - 2009 - 4 episode(s)       - 15 min. per ep.       - Military, Adventure, Drama, Magic, Fantasy, Shounen                    - https://myanimelist.net/anime/6421
Fushigi na Somera-chan Special                                                                       - 5.74  - 2015 - 1 episode(s)       - 9 min.                - Slice of Life, Comedy, Magic                                           - https://myanimelist.net/anime/33659
Futa-bu! Mix: Futanari World                                                                         - 6.84  - 2015 - 1 episode(s)       - 27 min.               - Hentai, School, Yuri                                                   - https://myanimelist.net/anime/30583
Futari Ecchi                                                                                         - 6.49  - 2002 - 4 episode(s)       - 28 min. per ep.       - Comedy, Ecchi, Romance, Seinen, Slice of Life                          - https://myanimelist.net/anime/382
Fuyu no Semi Special                                                                                 - 7.30  - 2008 - 1 episode(s)       - 1 hr. 38 min.         - Action, Military, Historical, Drama, Samurai, Yaoi                     - https://myanimelist.net/anime/10048
Ganbare Goemon: Jigen Jou no Akumu                                                                   - 6.14  - 1993 - 1 episode(s)       - 28 min.               - Comedy                                                                 - https://myanimelist.net/anime/8862
Gantz 2nd Stage                                                                                      - 7.23  - 2004 - 13 episode(s)      - 23 min. per ep.       - Action, Sci-Fi, Horror, Psychological, Supernatural, Drama, Ecchi      - https://myanimelist.net/anime/395
Garden                                                                                               - 6.69  - 2013 - 2 episode(s)       - 27 min. per ep.       - Hentai                                                                 - https://myanimelist.net/anime/17491
Gekka Bijin                                                                                          - 6.22  - 2002 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                 - https://myanimelist.net/anime/2430
Geobreeders 2: Mouryou Yuugekitai File-XX Ransen Toppa                                               - 6.53  - 2000 - 4 episode(s)       - 25 min. per ep.       - Adventure, Comedy, Sci-Fi, Shounen                                     - https://myanimelist.net/anime/1159
Ghost in the Shell: Stand Alone Complex - Solid State Society 3D                                     - 7.85  - 2011 - 1 episode(s)       - 1 hr. 48 min.         - Police, Mecha, Military, Mystery, Sci-Fi, Seinen                       - https://myanimelist.net/anime/10090
Ginga e Kickoff!!                                                                                    - 7.36  - 2012 - 39 episode(s)      - 25 min. per ep.       - Sports, Shounen                                                        - https://myanimelist.net/anime/12875
Gokujo.: Souda Onsen ni Ikou!!                                                                       - 6.14  - 2013 - 1 episode(s)       - 11 min.               - Ecchi, Comedy, Shoujo Ai                                               - https://myanimelist.net/anime/19431
Gosick Recap                                                                                         - 7.11  - 2011 - 1 episode(s)       - 13 min.               - Mystery, Historical, Shounen                                           - https://myanimelist.net/anime/10504
Goulart Knights: Evoked the Beginning White                                                          - 6.14  - 2011 - 1 episode(s)       - 22 min.               - Action, Drama, Fantasy, Shoujo, Supernatural                           - https://myanimelist.net/anime/13993
Gravity Daze The Animation: Ouverture                                                                - 6.39  - 2016 - 1 episode(s)       - 19 min.               - Action, Sci-Fi, Fantasy                                                - https://myanimelist.net/anime/33697
Great Mazinger tai Getter Robo G: Kuuchuu Daigekitotsu                                               - 6.34  - 1975 - 1 episode(s)       - 25 min.               - Action, Sci-Fi, Mecha                                                  - https://myanimelist.net/anime/4386
Gregorio                                                                                             - 5.72  - 2012 - 1 episode(s)       - 5 min.                - Music                                                                  - https://myanimelist.net/anime/32755
Gudetama 5th Anniversary Movie                                                                       - N/A   - 2017 - 1 episode(s)       - 1 min.                - Comedy, Kids, Parody                                                   - https://myanimelist.net/anime/37137
