Title                                                                                                - Score - Year - Num Eps            - Duration             - Genre(s)                                                                          - Link
Daisuki! Hello Kitty                                                                                 - 6.45  - 1993 - 26 episode(s)      - 21 min. per ep.      - Fantasy, Kids                                                                     - https://myanimelist.net/anime/3202
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation                                  - 7.47  - 2013 - 13 episode(s)      - 24 min. per ep.      - Mystery, Psychological, School                                                    - https://myanimelist.net/anime/16592
Dekiru ka na                                                                                         - 4.60  - 2017 - 10 episode(s)      - 3 min. per ep.       - Comedy                                                                            - https://myanimelist.net/anime/35234
Devilman: Crybaby                                                                                    - 8.07  - 2018 - 10 episode(s)      - 25 min. per ep.      - Action, Demons, Horror, Supernatural                                              - https://myanimelist.net/anime/35120
Digimon Adventure tri. 6: Bokura no Mirai                                                            - N/A   - 2018 - 1 episode(s)       - 2 hr.                - Action, Adventure, Comedy, Drama                                                  - https://myanimelist.net/anime/36466
Doamaiger D                                                                                          - 5.33  - 2015 - 13 episode(s)      - 2 min. per ep.       - Action, Comedy, Mecha                                                             - https://myanimelist.net/anime/27785
Dochamon Junior                                                                                      - 4.63  - 2015 - 16 episode(s)      - 9 min. per ep.       - Comedy, Kids                                                                      - https://myanimelist.net/anime/31746
Dokkan! Robotendon                                                                                   - 6.20  - 1995 - 26 episode(s)      - 25 min. per ep.      - Adventure, Kids, Slice of Life                                                    - https://myanimelist.net/anime/21485
Don Chuck Monogatari                                                                                 - 6.04  - 1975 - 26 episode(s)      - 25 min. per ep.      - Adventure, Kids, Slice of Life                                                    - https://myanimelist.net/anime/2575
Dondon Domeru to Ron                                                                                 - 6.84  - 1988 - 52 episode(s)      - 25 min. per ep.      - Comedy, Kids                                                                      - https://myanimelist.net/anime/2814
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi                            - 7.76  - 2011 - 1 episode(s)       - 1 hr. 48 min.        - Adventure, Comedy, Fantasy, Kids, Shounen                                         - https://myanimelist.net/anime/10534
Dragon Ball Kai                                                                                      - 7.91  - 2009 - 97 episode(s)      - 23 min. per ep.      - Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power            - https://myanimelist.net/anime/6033
Dragon Pink                                                                                          - 6.27  - 1994 - 3 episode(s)       - 25 min. per ep.      - Action, Adventure, Comedy, Fantasy, Hentai, Magic, Supernatural                   - https://myanimelist.net/anime/1331
Dream Creator feat. GUMI                                                                             - 5.85  - 2013 - 1 episode(s)       - 3 min.               - Music                                                                             - https://myanimelist.net/anime/19519
Druaga no Tou: The Aegis of Uruk                                                                     - 7.30  - 2008 - 12 episode(s)      - 25 min. per ep.      - Adventure, Comedy, Fantasy                                                        - https://myanimelist.net/anime/3230
Duel Masters Cross                                                                                   - 6.64  - 2008 - 100 episode(s)     - 10 min. per ep.      - Action, Adventure, Comedy, Shounen                                                - https://myanimelist.net/anime/10527
Duel Masters VS                                                                                      - 6.17  - 2014 - 49 episode(s)      - 24 min. per ep.      - Action, Adventure, Comedy, Shounen                                                - https://myanimelist.net/anime/23409
Easy Cooking Animation: Seishun no Shokutaku                                                         - 5.55  - 1989 - 25 episode(s)      - 3 min. per ep.       - Comedy                                                                            - https://myanimelist.net/anime/20201
Elmer no Bouken: My Father's Dragon                                                                  - 6.06  - 1997 - 1 episode(s)       - 1 hr. 38 min.        - Adventure, Fantasy, Kids                                                          - https://myanimelist.net/anime/6593
Erementar Gerad                                                                                      - 7.40  - 2005 - 26 episode(s)      - 24 min. per ep.      - Adventure, Comedy, Fantasy, Magic, Romance, Super Power                           - https://myanimelist.net/anime/1250
Eureka Seven AO: Aratanari Fukaki Ao                                                                 - 6.23  - 2012 - 10 episode(s)      - 40 sec. per ep.      - Slice of Life, Comedy                                                             - https://myanimelist.net/anime/15979
Eureka Seven: New Order                                                                              - 6.71  - 2012 - 1 episode(s)       - 24 min.              - Adventure, Drama, Mecha, Romance, Sci-Fi                                          - https://myanimelist.net/anime/13731
Fairy Tail (2014)                                                                                    - 8.14  - 2014 - 102 episode(s)     - 24 min. per ep.      - Action, Adventure, Comedy, Fantasy, Magic, Shounen                                - https://myanimelist.net/anime/22043
Fantastic Children                                                                                   - 7.64  - 2004 - 26 episode(s)      - 24 min. per ep.      - Adventure, Fantasy, Mystery, Romance, Sci-Fi                                      - https://myanimelist.net/anime/455
Fate/stay night: Unlimited Blade Works - Prologue                                                    - 8.24  - 2014 - 1 episode(s)       - 51 min.              - Action, Supernatural, Magic, Fantasy                                              - https://myanimelist.net/anime/27821
Fate/stay night: Unlimited Blade Works 2nd Season                                                    - 8.41  - 2015 - 13 episode(s)      - 23 min. per ep.      - Action, Supernatural, Magic, Fantasy                                              - https://myanimelist.net/anime/28701
