Title                                                                                              - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
Bouken Shite mo Ii Koro                                                                            - 5.58  - 1989 - 3 episode(s)       - 45 min. per ep.       - Comedy, Seinen                                                                                                                                                 - https://myanimelist.net/anime/5648
Brigadoon: Marin to Melan                                                                          - 7.39  - 2000 - 26 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Drama, Mecha, Sci-Fi                                                                                                                        - https://myanimelist.net/anime/1450
Brilliant Better                                                                                   - 5.50  - 2016 - 1 episode(s)       - 2 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/36594
Bug tte Honey: Megarom Shoujo Mai 4622                                                             - 4.13  - 1987 - 1 episode(s)       - 48 min.               - Adventure, Comedy                                                                                                                                              - https://myanimelist.net/anime/31868
Bunna yo Ki kara Orite Koi                                                                         - 5.91  - 1987 - 1 episode(s)       - 55 min.               - Adventure, Kids                                                                                                                                                - https://myanimelist.net/anime/23611
Burn Up!                                                                                           - 6.19  - 1991 - 1 episode(s)       - 46 min.               - Action, Sci-Fi, Comedy, Police, Ecchi                                                                                                                          - https://myanimelist.net/anime/767
Byeolnala Samchongsa                                                                               - 5.51  - 1979 - 1 episode(s)       - 1 hr. 6 min.          - Adventure, Sci-Fi                                                                                                                                              - https://myanimelist.net/anime/6671
Byston Well Monogatari: Garzey no Tsubasa                                                          - 4.14  - 1996 - 3 episode(s)       - 30 min. per ep.       - Action, Fantasy                                                                                                                                                - https://myanimelist.net/anime/1657
CB Chara Go Nagai World                                                                            - 6.99  - 1991 - 3 episode(s)       - 45 min. per ep.       - Action, Parody, Comedy                                                                                                                                         - https://myanimelist.net/anime/2692
CLAMP in Wonderland                                                                                - 6.94  - 1994 - 1 episode(s)       - 7 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/2274
California Crisis: Tsuigeki no Juuka                                                               - 5.67  - 1986 - 1 episode(s)       - 45 min.               - Action, Adventure, Comedy                                                                                                                                      - https://myanimelist.net/anime/3127
Captain Tsubasa J                                                                                  - 7.36  - 1994 - 47 episode(s)      - 27 min. per ep.       - Action, Shounen, Sports                                                                                                                                        - https://myanimelist.net/anime/1674
Captain Tsubasa: Ayaushi! Zen Nihon Jr.                                                            - 6.88  - 1985 - 1 episode(s)       - 1 hr.                 - Action, Sports, Shounen                                                                                                                                        - https://myanimelist.net/anime/2119
Cardcaptor Sakura Movie 1                                                                          - 7.72  - 1999 - 1 episode(s)       - 1 hr. 21 min.         - Comedy, Drama, Fantasy, Magic, Shoujo                                                                                                                          - https://myanimelist.net/anime/371
Carol                                                                                              - 5.25  - 1990 - 1 episode(s)       - 1 hr.                 - Fantasy, Magic, Shoujo                                                                                                                                         - https://myanimelist.net/anime/2054
Casshern: Robot Hunter                                                                             - 6.47  - 1993 - 4 episode(s)       - 27 min. per ep.       - Adventure, Mecha, Sci-Fi                                                                                                                                       - https://myanimelist.net/anime/1598
Chance Triangle Session                                                                            - 6.71  - 2001 - 13 episode(s)      - 24 min. per ep.       - Slice of Life, Music, Drama                                                                                                                                    - https://myanimelist.net/anime/2495
Chi-Sui Maru Specials                                                                              - 5.33  - 2011 - 2 episode(s)       - 5 min. per ep.        - Comedy                                                                                                                                                         - https://myanimelist.net/anime/11731
Chicchana Yukitsukai Sugar Specials                                                                - 7.07  - 2003 - 2 episode(s)       - 24 min. per ep.       - Slice of Life, Magic, Comedy, Shoujo                                                                                                                           - https://myanimelist.net/anime/1014
Chii-chan to Hige Ojisan                                                                           - 6.25  - 2004 - 10 episode(s)      - 5 min. per ep.        - Slice of Life, Kids                                                                                                                                            - https://myanimelist.net/anime/29385
Chijoku Kankin                                                                                     - 5.67  - 2001 - 1 episode(s)       - 27 min.               - Hentai                                                                                                                                                         - https://myanimelist.net/anime/4717
Chivas 1-2-3                                                                                       - 6.15  - 1999 - 2 episode(s)       - 27 min. per ep.       - Action, Comedy, Ecchi, Fantasy, Supernatural                                                                                                                   - https://myanimelist.net/anime/1228
Chobits Recap                                                                                      - 7.06  - 2003 - 1 episode(s)       - 24 min.               - Ecchi, Romance, Comedy, Sci-Fi, Drama                                                                                                                          - https://myanimelist.net/anime/1311
Chou Henshin Cosprayers vs. Ankoku Uchuu Shougun the Movie                                         - 4.80  - 2004 - 1 episode(s)       - 10 min.               - Adventure, Magic, Comedy, Sci-Fi                                                                                                                               - https://myanimelist.net/anime/705
Choujin Densetsu Urotsukidouji 2                                                                   - 6.11  - 1991 - 1 episode(s)       - 1 hr. 28 min.         - Demons, Fantasy, Hentai, Horror, Sci-Fi                                                                                                                        - https://myanimelist.net/anime/2360
Choujin Densetsu Urotsukidouji: Inferno Road                                                       - 5.64  - 1993 - 3 episode(s)       - 43 min. per ep.       - Fantasy, Hentai, Demons, Horror, Sci-Fi                                                                                                                        - https://myanimelist.net/anime/2344
Choujin Densetsu Urotsukidouji                                                                     - 6.22  - 1987 - 3 episode(s)       - 48 min. per ep.       - Action, Demons, Drama, Hentai                                                                                                                                  - https://myanimelist.net/anime/2341
Choujuu Kishin Dancougar: Ushinawareta Monotachi e no Requiem                                      - 6.36  - 1986 - 1 episode(s)       - 1 hr. 20 min.         - Action, Drama, Mecha                                                                                                                                           - https://myanimelist.net/anime/2256
Chounouryoku Shoujo Barabanba                                                                      - 4.71  - 1985 - 1 episode(s)       - 28 min.               - Hentai                                                                                                                                                         - https://myanimelist.net/anime/5563
Chuuhai Lemon: Love 30s - Ame ni Nurete mo                                                         - 6.04  - 1985 - 1 episode(s)       - 44 min.               - Police, Comedy, Romance, Drama                                                                                                                                 - https://myanimelist.net/anime/9998
Chuuko Video-ya no Onna Tenin X                                                                    - 5.73  - 2016 - 1 episode(s)       - 6 min.                - Comedy, Shounen                                                                                                                                                - https://myanimelist.net/anime/34409
Cinnamon no Parade                                                                                 - 5.86  - 2012 - 1 episode(s)       - 8 min.                - Fantasy                                                                                                                                                        - https://myanimelist.net/anime/14537
Circuit Angel: Ketsui no Starting Grid                                                             - 5.60  - 1987 - 1 episode(s)       - 44 min.               - Action, Sports                                                                                                                                                 - https://myanimelist.net/anime/8898
Circuit no Ookami II: Modena no Ken                                                                - 5.36  - 1990 - 1 episode(s)       - 44 min.               - Cars, Seinen                                                                                                                                                   - https://myanimelist.net/anime/10967
Clover                                                                                             - 6.93  - 1999 - 1 episode(s)       - 6 min.                - Drama, Fantasy, Music, Sci-Fi, Shoujo                                                                                                                          - https://myanimelist.net/anime/1890
Cocktail Prince: Making Love!!                                                                     - 5.82  - 2016 - 1 episode(s)       - 2 min.                - Harem, Music                                                                                                                                                   - https://myanimelist.net/anime/33718
Code Geass: Hangyaku no Lelouch I - Koudou                                                         - 8.17  - 2017 - 1 episode(s)       - 2 hr. 15 min.         - Action, Military, Sci-Fi, Super Power, Mecha, School                                                                                                           - https://myanimelist.net/anime/34438
Cofun Gal no Coffy (TV) Specials                                                                   - 4.80  - 2006 - 4 episode(s)       - 11 min. per ep.       - Comedy, Parody                                                                                                                                                 - https://myanimelist.net/anime/34356
Colorful (Movie)                                                                                   - 8.00  - 2010 - 1 episode(s)       - 2 hr. 7 min.          - Slice of Life, Supernatural, Drama                                                                                                                             - https://myanimelist.net/anime/8142
Compiler Festa                                                                                     - 5.61  - 1995 - 1 episode(s)       - 50 min.               - Action, Sci-Fi, Drama                                                                                                                                          - https://myanimelist.net/anime/5237
Cool Cool Bye                                                                                      - 5.28  - 1986 - 1 episode(s)       - 30 min.               - Action, Adventure, Fantasy                                                                                                                                     - https://myanimelist.net/anime/9356
Cosmo Warrior Zero Gaiden                                                                          - 6.51  - 2001 - 2 episode(s)       - 24 min. per ep.       - Adventure, Drama, Military, Sci-Fi, Space                                                                                                                      - https://myanimelist.net/anime/1677
Cosmos Pink Shock                                                                                  - 5.65  - 1986 - 1 episode(s)       - 35 min.               - Comedy, Parody, Sci-Fi, Space                                                                                                                                  - https://myanimelist.net/anime/4150
Cowboy Bebop: Ein no Natsuyasumi                                                                   - 6.29  - 2012 - 1 episode(s)       - 1 min.                - Adventure                                                                                                                                                      - https://myanimelist.net/anime/17205
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu                     - 7.77  - 2001 - 1 episode(s)       - 1 hr. 29 min.         - Sci-Fi, Comedy, Seinen                                                                                                                                         - https://myanimelist.net/anime/2450
Crayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!                                 - 6.99  - 2007 - 1 episode(s)       - 1 hr. 45 min.         - Comedy, Ecchi, School, Seinen                                                                                                                                  - https://myanimelist.net/anime/2172
Cyber City Oedo 808                                                                                - 7.24  - 1990 - 3 episode(s)       - 45 min. per ep.       - Action, Adventure, Police, Sci-Fi                                                                                                                              - https://myanimelist.net/anime/1352
Cyborg 009                                                                                         - 6.27  - 1966 - 1 episode(s)       - 1 hr. 5 min.          - Action, Adventure, Drama, Sci-Fi, Shounen                                                                                                                      - https://myanimelist.net/anime/6872
