Title                                                                                             - Score - Year - Num Eps            - Duration              - Genre(s)                                                                          - Link
Fairy Tail OVA (2016)                                                                             - 7.48  - 2016 - 3 episode(s)       - 27 min. per ep.       - Comedy, Magic, Ecchi, Fantasy, Shounen                                            - https://myanimelist.net/anime/32930
Fate/stay night TV Reproduction                                                                   - 7.00  - 2010 - 2 episode(s)       - 1 hr. per ep.         - Action, Supernatural, Magic, Romance, Fantasy, Shounen                            - https://myanimelist.net/anime/7559
Friends: Mononoke Shima no Naki                                                                   - 7.10  - 2011 - 1 episode(s)       - 1 hr. 27 min.         - Kids, Fantasy, Comedy                                                             - https://myanimelist.net/anime/10115
GAME OVER feat. Hatsune Miku                                                                      - 6.00  - 2013 - 1 episode(s)       - 4 min.                - Music                                                                             - https://myanimelist.net/anime/19521
Ganbare! Lulu Lolo                                                                                - 5.56  - 2013 - 26 episode(s)      - 5 min. per ep.        - Kids, Slice of Life                                                               - https://myanimelist.net/anime/20755
Godzilla: Kaijuu Wakusei                                                                          - 6.75  - 2017 - 1 episode(s)       - 1 hr. 29 min.         - Action, Adventure, Sci-Fi                                                         - https://myanimelist.net/anime/33783
Goku Sayonara Zetsubou Sensei                                                                     - 7.92  - 2008 - 3 episode(s)       - 25 min. per ep.       - Comedy, Parody, School                                                            - https://myanimelist.net/anime/4872
Gosho Aoyama&#039;s Collection of Short Stories                                                   - 7.39  - 1999 - 7 episode(s)       - 20 min. per ep.       - Adventure, Mystery, Comedy, Police, Shounen                                       - https://myanimelist.net/anime/5578
Graphillion: Kazoeage Oneesan wo Sukue                                                            - 4.98  - 2013 - 1 episode(s)       - 5 min.                - Kids                                                                              - https://myanimelist.net/anime/30106
Gyakuten Saiban 6 Prologue                                                                        - 6.68  - 2016 - 1 episode(s)       - 8 min.                - Mystery                                                                           - https://myanimelist.net/anime/32946
Haiyoru! Nyaruani                                                                                 - 6.32  - 2010 - 9 episode(s)       - 2 min. per ep.        - Comedy, Parody, Sci-Fi                                                            - https://myanimelist.net/anime/7596
Hakaima Sadamitsu                                                                                 - 7.01  - 2001 - 10 episode(s)      - 22 min. per ep.       - Action, Mecha, School, Sci-Fi, Seinen                                             - https://myanimelist.net/anime/1465
Happy Seven: The TV Manga - Chibi Chara Moshimo Gekijou                                           - 5.17  - 2006 - 7 episode(s)       - 2 min. per ep.        - Comedy, Parody, Fantasy                                                           - https://myanimelist.net/anime/35297
Hi no Tori: Hagoromo-hen                                                                          - 6.54  - 2004 - 1 episode(s)       - 25 min.               - Drama                                                                             - https://myanimelist.net/anime/23659
Hibike! Euphonium: Suisougaku-bu no Nichijou                                                      - 6.74  - 2015 - 7 episode(s)       - 2 min. per ep.        - Comedy, Music, School                                                             - https://myanimelist.net/anime/31096
High &amp; Low: G-Sword OVA                                                                       - N/A   - 2017 - 1 episode(s)       - 5 min.                - Action, Drama, Shounen                                                            - https://myanimelist.net/anime/36592
Himitsukessha Taka no Tsume The Movie 1: Soutou wa Nido Shinu                                     - 4.94  - 2007 - 1 episode(s)       - 1 hr. 10 min.         - Comedy, Parody, Super Power                                                       - https://myanimelist.net/anime/8355
Hope: Suiso Shakai to, Korekara no Energy no Hanashi                                              - 4.96  - 2014 - 1 episode(s)       - 3 min.                - Slice of Life                                                                     - https://myanimelist.net/anime/35975
Hotarubi no Mori e                                                                                - 8.55  - 2011 - 1 episode(s)       - 45 min.               - Drama, Romance, Shoujo, Supernatural                                              - https://myanimelist.net/anime/10408
Houkago Initiation                                                                                - 6.32  - 2016 - 2 episode(s)       - 20 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/33153
Hunter x Hunter OVA                                                                               - 8.39  - 2002 - 8 episode(s)       - 24 min. per ep.       - Action, Adventure, Shounen, Super Power                                           - https://myanimelist.net/anime/137
IDOLiSH7 Vibrato                                                                                  - 7.51  - 2018 - 17 episode(s)      - 14 min. per ep.       - Music                                                                             - https://myanimelist.net/anime/36963
Initial D Fourth Stage                                                                            - 8.24  - 2004 - 24 episode(s)      - 27 min. per ep.       - Action, Cars, Sports, Drama, Seinen                                               - https://myanimelist.net/anime/18
Jin-Rou                                                                                           - 7.84  - 1999 - 1 episode(s)       - 1 hr. 42 min.         - Military, Police, Psychological, Drama, Romance                                   - https://myanimelist.net/anime/570
JoJo no Kimyou na Bouken: Phantom Blood                                                           - 7.79  - 2007 - 1 episode(s)       - 1 hr. 30 min.         - Action, Adventure, Horror, Shounen, Vampire                                       - https://myanimelist.net/anime/3603
Junai Maniac                                                                                      - 6.54  - 2015 - 2 episode(s)       - 19 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/29915
Junai Rhapsody                                                                                    - 4.64  - 2016 - 1 episode(s)       - 2 min.                - Music                                                                             - https://myanimelist.net/anime/37538
Kagaku Kyuujo-tai TechnoVoyager                                                                   - 6.32  - 1982 - 18 episode(s)      - 25 min. per ep.       - Action, Adventure, Mecha, Sci-Fi, Space                                           - https://myanimelist.net/anime/3969
Kagami no Genon                                                                                   - 6.03  - 2004 - 1 episode(s)       - 6 min.                - Slice of Life                                                                     - https://myanimelist.net/anime/4091
Kaiketsu Zorori: Mahoutsukai no Deshi/Dai Kaizoku no Takara Sagashi                               - 6.13  - 1993 - 1 episode(s)       - 53 min.               - Adventure, Comedy                                                                 - https://myanimelist.net/anime/6965
Kami nomi zo Shiru Sekai: Flag 0                                                                  - 6.98  - 2010 - 1 episode(s)       - 1 min.                - Comedy, Shounen, Supernatural                                                     - https://myanimelist.net/anime/9675
Kappa no Suribachi                                                                                - 5.00  - 2012 - 1 episode(s)       - 20 min.               - Kids, Fantasy                                                                     - https://myanimelist.net/anime/29491
Kariage-kun                                                                                       - 5.94  - 1989 - 59 episode(s)      - 25 min. per ep.       - Comedy, Seinen, Slice of Life                                                     - https://myanimelist.net/anime/20127
Karigurashi no Arrietty                                                                           - 8.06  - 2010 - 1 episode(s)       - 1 hr. 34 min.         - Fantasy                                                                           - https://myanimelist.net/anime/7711
Kekkon wo Iwau Usagi to Tora                                                                      - 3.64  - 2016 - 1 episode(s)       - 3 min.                - Comedy, Parody                                                                    - https://myanimelist.net/anime/34919
Keroro Gunsou Movie 2: Shinkai no Princess de Arimasu!                                            - 7.45  - 2007 - 1 episode(s)       - 1 hr. 18 min.         - Action, Adventure, Comedy, Drama, Sci-Fi, Shounen                                 - https://myanimelist.net/anime/2408
Kimi no Iru Machi OVA                                                                             - 7.18  - 2014 - 2 episode(s)       - 28 min. per ep.       - Drama, Romance, Slice of Life                                                     - https://myanimelist.net/anime/20649
King of Prism by Pretty Rhythm Short Anime                                                        - 6.53  - 2016 - 1 episode(s)       - 19 min.               - Music, Comedy, Fantasy                                                            - https://myanimelist.net/anime/32989
Koe de Oshigoto! The Animation                                                                    - 7.06  - 2010 - 2 episode(s)       - 30 min. per ep.       - Comedy, Ecchi, Seinen                                                             - https://myanimelist.net/anime/8876
Koi wo Shita no wa                                                                                - N/A   - 2017 - 1 episode(s)       - 3 min.                - Music                                                                             - https://myanimelist.net/anime/35566
Korekuraide Utau                                                                                  - 7.03  - 2011 - 1 episode(s)       - 6 min.                - Music                                                                             - https://myanimelist.net/anime/10720
Kouchuu Ouja Mushiking: Greatest Champion e no Michi                                              - 5.92  - 2005 - 1 episode(s)       - 50 min.               - Adventure, Fantasy                                                                - https://myanimelist.net/anime/17469
Kuruneko: Nyaalock Holmes no Bouken                                                               - 6.42  - 2010 - 4 episode(s)       - 6 min. per ep.        - Comedy, Slice of Life                                                             - https://myanimelist.net/anime/17753
Kyoto Animation Koushiki Twitter: Itsumo Arigatou                                                 - 5.80  - 2016 - 1 episode(s)       - 23 sec.               - Slice of Life                                                                     - https://myanimelist.net/anime/36799
Last Exile: Doyou no Asa                                                                          - 5.99  - 2011 - 3 episode(s)       - 30 sec. per ep.       - Comedy, Parody, Sci-Fi                                                            - https://myanimelist.net/anime/28811
Last Exile: Ginyoku no Fam Recaps                                                                 - 6.53  - 2011 - 2 episode(s)       - 24 min. per ep.       - Action, Adventure, Sci-Fi                                                         - https://myanimelist.net/anime/12429
Luo Xiao Hei Zhan Ji                                                                              - 7.96  - 2011 - Unknown episode(s) - 7 min.                - Comedy, Supernatural                                                              - https://myanimelist.net/anime/33443
