Title                                                                                       - Score - Year - Num Eps      - Duration           - Genre(s)                                                                              - Link

** Kouhai                                                                                   - 7.26  - 2020 - 8 episodes   - 16 min per ep      - Fantasy, Harem, Hentai, Mythology                                                     - https://myanimelist.net/anime/40658
Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai - Nenmatsu Special                          - 6.42  - 2022 - 1 episode    - 7 min              - Comedy                                                                                - https://myanimelist.net/anime/54976
Fate/Grand Order: Himuro no Tenchi - 7-nin no Saikyou Ijin-hen                              - 6.33  - 2017 - 1 episode    - 14 min             - Comedy, School                                                                        - https://myanimelist.net/anime/36914
Fate/Grand Order: Moonlight/Lostroom                                                        - 6.31  - 2017 - 1 episode    - 32 min             - Action, Fantasy, Supernatural                                                         - https://myanimelist.net/anime/36915
Fate/Prototype                                                                              - 6.64  - 2011 - 1 episode    - 12 min             - Action, Fantasy, Romance, Supernatural                                                - https://myanimelist.net/anime/12565
Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai - Kuro Sakura no Heya                 - 6.71  - 2018 - 1 episode    - 6 min              - Parody, Slice of Life                                                                 - https://myanimelist.net/anime/36833
Fate/strange Fake PV                                                                        - 6.65  - 2019 - 1 episode    - 31 sec             - Action, Fantasy, Music, Supernatural                                                  - https://myanimelist.net/anime/40982
Feng Ling Yu Xiu                                                                            - 7.10  - 2017 - 12 episodes  - 23 min per ep      - Action, Adventure, Martial Arts                                                       - https://myanimelist.net/anime/36184
Fire Bird                                                                                   - 5.60  - 2016 - 1 episode    - 3 min              - Music                                                                                 - https://myanimelist.net/anime/37384
Follow Me                                                                                   - 6.16  - 2012 - 1 episode    - 4 min              - Drama, Music, Romance, Slice of Life                                                  - https://myanimelist.net/anime/21041
Frame Arms: A Violent Struggle                                                              - 4.86  - 2015 - 1 episode    - 5 min              - Mecha                                                                                 - https://myanimelist.net/anime/30010
Fresh Precure! Movie: Omocha no Kuni wa Himitsu ga Ippai!?                                  - 6.69  - 2009 - 1 episode    - 1 hr 10 min        - Action, Comedy, Fantasy, Mahou Shoujo                                                 - https://myanimelist.net/anime/6527
Fumoon                                                                                      - 6.24  - 1980 - 1 episode    - 1 hr 26 min        - Sci-Fi                                                                                - https://myanimelist.net/anime/5862
Furyou ni Hamerarete Jusei Suru Kyonyuu Okaasan The Animation                               - 6.14  - 2013 - 2 episodes   - 23 min per ep      - Hentai                                                                                - https://myanimelist.net/anime/17747
Fushigiboshi no☆Futagohime: Marugoto DVD                                                    - None  - 2005 - 1 episode    - 21 min             - Comedy, Fantasy, Mahou Shoujo                                                         - https://myanimelist.net/anime/39328
Futei with... The Animation                                                                 - 6.40  - 2023 - 1 episode    - 27 min             - Hentai                                                                                - https://myanimelist.net/anime/53946
Get a Life!                                                                                 - 5.88  - 2021 - 1 episode    - 2 min              - Music                                                                                 - https://myanimelist.net/anime/52537
Go! Princess Precure Movie: Go! Go!! Gouka 3-bondate!!!                                     - 6.74  - 2015 - 1 episode    - 1 hr 15 min        - Fantasy, Kids, Mahou Shoujo, Shoujo                                                   - https://myanimelist.net/anime/29868
Goal Line                                                                                   - 6.15  - 2019 - 1 episode    - 1 min              - Music                                                                                 - https://myanimelist.net/anime/40352
Goblin no Suana                                                                             - 5.55  - 2023 - Ongoing      - 20 min             - Fantasy, Hentai                                                                       - https://myanimelist.net/anime/54015
Grand Marche no Meikyuu                                                                     - 5.72  - 2016 - 1 episode    - 2 min              - Fantasy, Strategy Game                                                                - https://myanimelist.net/anime/36641
Gu Xiong: Huo Qi                                                                            - None  - 2020 - 1 episode    - 27 min             - Action                                                                                - https://myanimelist.net/anime/42464
Gudetama                                                                                    - 7.05  - 2014 - Ongoing      - 1 min              - Comedy, Gourmet, Kids                                                                 - https://myanimelist.net/anime/23539
Hachigatsu no Cinderella Nine PV                                                            - 5.66  - 2016 - 1 episode    - 3 min              - Music, Sports                                                                         - https://myanimelist.net/anime/36297
Hakata Bus Terminal Gorou                                                                   - None  - 2019 - 4 episodes   - 3 min per ep       - Comedy                                                                                - https://myanimelist.net/anime/42346
Hakyuu Houshin Engi: Kou-ke no Chi                                                          - 5.62  - 2018 - 1 episode    - 25 min             - Action, Adventure, Fantasy, Mythology, Shounen                                        - https://myanimelist.net/anime/38650
Halloween Pajama                                                                            - 6.19  - 2022 - 1 episode    - 7 min              - Music, Supernatural                                                                   - https://myanimelist.net/anime/53530
Hanhua Riji 3rd Season                                                                      - 7.27  - 2022 - 12 episodes  - 13 min per ep      - Comedy, Supernatural                                                                  - https://myanimelist.net/anime/50401
Haru no Ashioto The Movie: Ourin Dakkan                                                     - 4.76  - 2006 - 1 episode    - 20 min             - Action, Comedy, School                                                                - https://myanimelist.net/anime/1621
Haru wo Daite Ita                                                                           - 6.67  - 2005 - 2 episodes   - 30 min per ep      - Boys Love, Drama, Erotica, Showbiz                                                    - https://myanimelist.net/anime/747
Hatsune Miku: Hiyashite Narasou Okashi no Ii Oto                                            - 6.00  - 2016 - 1 episode    - 29 sec             - Music                                                                                 - https://myanimelist.net/anime/33905
Hentatsu (TV): Oomisoka Tokubetsu-ban                                                       - None  - 2021 - 1 episode    - 2 min              - Comedy                                                                                - https://myanimelist.net/anime/50691
Hentatsu                                                                                    - 5.35  - 2018 - 9 episodes   - 1 min per ep       - Comedy                                                                                - https://myanimelist.net/anime/37948
Hibari no Yadogae                                                                           - 4.80  - 1933 - 1 episode    - 4 min              - Action                                                                                - https://myanimelist.net/anime/5870
High & Low: G-Sword (Special)                                                               - None  - 2017 - 5 episodes   - 1 min per ep       - Comedy, Parody                                                                        - https://myanimelist.net/anime/41054
High School Fleet OVA                                                                       - 7.24  - 2017 - 2 episodes   - 24 min per ep      - Action, Military, School                                                              - https://myanimelist.net/anime/34125
Hime-sama Love Life!                                                                        - 6.67  - 2019 - 4 episodes   - 23 min per ep      - Hentai                                                                                - https://myanimelist.net/anime/39471
Himitsukessha Taka no Tsume The Movie II: Watashi wo Aishita Kuro Oolong-Cha                - 5.28  - 2008 - 1 episode    - 1 hr 30 min        - Comedy, Parody, Super Power                                                           - https://myanimelist.net/anime/8356
Houkago 2 The Animation                                                                     - 5.77  - 2007 - 1 episode    - 30 min             - Hentai                                                                                - https://myanimelist.net/anime/5210
Hua Jianghu: Bu Liang Ren                                                                   - 6.38  - 2014 - 54 episodes  - 15 min per ep      - Adventure, Drama, Historical, Martial Arts, Romance                                   - https://myanimelist.net/anime/33396
Hun Hou Richang                                                                             - None  - 2022 - 24 episodes  - 3 min per ep       - Slice of Life                                                                         - https://myanimelist.net/anime/51382
Hyoudou Ibuki: Kanpeki Ibuki Kaichou ga Kousoku Do M!? na Wake                              - 6.76  - 2015 - 2 episodes   - 30 min per ep      - Hentai                                                                                - https://myanimelist.net/anime/30741
Ikiru Kabe                                                                                  - None  - 2020 - 1 episode    - 5 min              - Avant Garde                                                                           - https://myanimelist.net/anime/54038
Ikumonogakari The Animation                                                                 - 6.56  - 2023 - 2 episodes   - 20 min per ep      - Hentai                                                                                - https://myanimelist.net/anime/53678
Inu to Shounen                                                                              - 5.59  - 2023 - 1 episode    - 3 min              - Sci-Fi, Survival                                                                      - https://myanimelist.net/anime/54357
Inyoku Tokkyuu Zetsurinou                                                                   - 5.65  - 2007 - 1 episode    - 23 min             - Hentai                                                                                - https://myanimelist.net/anime/4730
Inyouchuu The Animation                                                                     - 6.28  - 2006 - 2 episodes   - 29 min per ep      - Hentai, School, Supernatural                                                          - https://myanimelist.net/anime/3747
Isekai Harem Monogatari                                                                     - 7.47  - 2020 - 4 episodes   - 16 min per ep      - Fantasy, Harem, Hentai, Isekai                                                        - https://myanimelist.net/anime/41848
Ishida to Asakura Special                                                                   - 4.90  - 2013 - 1 episode    - 1 min              - Comedy, School, Seinen                                                                - https://myanimelist.net/anime/18149
It Seems like a Frog                                                                        - 5.25  - 2016 - 1 episode    - 1 min              - Music                                                                                 - https://myanimelist.net/anime/36183
Jeong-geul-eseo Sal-anamgi: Maru Adventure                                                  - None  - 2015 - 52 episodes  - 12 min per ep      - Adventure, Kids                                                                       - https://myanimelist.net/anime/48321
Jinshan Cheng Cai Qiu Hua Hui Yi Shi                                                        - None  - 2022 - 1 episode    - 6 min              - Action, Adventure, Fantasy, Martial Arts                                              - https://myanimelist.net/anime/55534
Jintai no Survival!                                                                         - None  - 2020 - 1 episode    - 46 min             - Action, Comedy, Shounen                                                               - https://myanimelist.net/anime/41734
Jitaku Keibiin (2019)                                                                       - 6.38  - 2019 - 4 episodes   - 16 min per ep      - Hentai                                                                                - https://myanimelist.net/anime/39466
Jitaku Keibiin                                                                              - 6.61  - 2017 - 4 episodes   - 17 min per ep      - Hentai                                                                                - https://myanimelist.net/anime/34638
Jiu Jiu Ba Shi Yi                                                                           - None  - 2021 - 4 episodes   - 15 min per ep      - Adventure, Fantasy                                                                    - https://myanimelist.net/anime/49277
Jiu Tian Xuan Di Jue 3rd Season                                                             - None  - 2022 - 52 episodes  - 10 min per ep      - Action, Adventure, Fantasy, Martial Arts, Mythology                                   - https://myanimelist.net/anime/53476
Jungle Taitei Movie                                                                         - 6.45  - 1966 - 1 episode    - 1 hr 14 min        - Adventure, Shounen                                                                    - https://myanimelist.net/anime/20381
Kaettekita Dr. Slump: Arale-chan Special                                                    - None  - 1990 - 1 episode    - 1 hr 12 min        - Comedy, Gag Humor, Sci-Fi, Shounen                                                    - https://myanimelist.net/anime/34877
Kaibutsu ga, Umareta Hi.                                                                    - 5.65  - 2017 - 1 episode    - 1 min              - Supernatural                                                                          - https://myanimelist.net/anime/38849
Kaibutsu-kun (1980) Specials                                                                - None  - 1981 - 6 episodes   - 16 min per ep      - Comedy, Horror, Shounen                                                               - https://myanimelist.net/anime/41504
Kaimaku Jibun Sengen                                                                        - None  - 2022 - 1 episode    - 3 min              - Music                                                                                 - https://myanimelist.net/anime/56211
Kaisei                                                                                      - 5.47  - 2017 - 1 episode    - 4 min              - Music                                                                                 - https://myanimelist.net/anime/39172
Kaitou Pride                                                                                - None  - 1965 - 105 episodes - 8 min per ep       - Adventure, Comedy, Kids                                                               - https://myanimelist.net/anime/19987
Kakumei no Overture                                                                         - None  - 2023 - 1 episode    - 3 min              - Music                                                                                 - https://myanimelist.net/anime/56145
Kanon                                                                                       - 7.07  - 2002 - 13 episodes  - 24 min per ep      - Drama, Romance, Supernatural                                                          - https://myanimelist.net/anime/144
Kappamaki                                                                                   - None  - 2003 - 130 episodes - 3 min per ep       - Comedy, Slice of Life                                                                 - https://myanimelist.net/anime/20123
Kemurikusa (2018)                                                                           - 6.15  - 2018 - 7 episodes   - 1 min per ep       - Fantasy, Sci-Fi                                                                       - https://myanimelist.net/anime/39416
Kengan Ashura Part 2                                                                        - 7.68  - 2019 - 12 episodes  - 24 min per ep      - Action, Gore, Martial Arts                                                            - https://myanimelist.net/anime/40269
Kengan Ashura                                                                               - 7.44  - 2019 - 12 episodes  - 24 min per ep      - Action, Gore, Martial Arts                                                            - https://myanimelist.net/anime/36903
Kimera                                                                                      - 5.10  - 1996 - 1 episode    - 47 min             - Action, Boys Love, Horror, Sci-Fi, Supernatural, Vampire                              - https://myanimelist.net/anime/2592
Kimi dake ga Sushi!!                                                                        - None  - 2020 - 1 episode    - 1 min              - Music                                                                                 - https://myanimelist.net/anime/52813
Kingsglaive: FFXV Fan Kansha Tokubetsu Movie                                                - 5.85  - 2016 - 1 episode    - 1 min              - Action                                                                                - https://myanimelist.net/anime/34678
