Title                                                                                                    - Score - Year - Num Eps      - Duration           - Genre(s)                                                                                 - Link

#Compass                                                                                                 - None  - 2018 - 10 episodes  - 4 min per ep       - Strategy Game                                                                            - https://myanimelist.net/anime/38603
Concrete Revolutio: Choujin Gensou - The Last Song                                                       - 6.99  - 2016 - 11 episodes  - 24 min per ep      - Action, Drama, Fantasy, Mystery, Mythology, Sci-Fi, Super Power                          - https://myanimelist.net/anime/32313
Cop Craft: Utsukushiki Onna Kishi! Toraware no Yousei wo Oe!                                             - 5.84  - 2019 - 1 episode    - 23 min             - Action, Detective, Fantasy, Sci-Fi                                                       - https://myanimelist.net/anime/40405
Cream Lemon                                                                                              - 6.22  - 1984 - 38 episodes  - 26 min per ep      - Comedy, Fantasy, Hentai, Parody, Sci-Fi                                                  - https://myanimelist.net/anime/3239
Curly                                                                                                    - 5.64  - 2014 - 1 episode    - 3 min              - Comedy                                                                                   - https://myanimelist.net/anime/33534
DJ Nobunaga                                                                                              - None  - 2017 - 6 episodes   - 1 min per ep       - Historical, Music, Samurai                                                               - https://myanimelist.net/anime/36130
D_Cide Traumerei the Animation                                                                           - 5.82  - 2021 - 13 episodes  - 23 min per ep      - Action, Drama, Fantasy                                                                   - https://myanimelist.net/anime/48470
Da Li Si Rizhi                                                                                           - 6.82  - 2020 - 12 episodes  - 20 min per ep      - Action, Comedy, Historical, Martial Arts, Mystery, Mythology                             - https://myanimelist.net/anime/38742
Dabing Jinbao Lixian Ji                                                                                  - None  - 2012 - 1 episode    - 1 hr 18 min        - Adventure, Anthropomorphic, Fantasy, Kids                                                - https://myanimelist.net/anime/44829
Daikyouryuu Jidai                                                                                        - 5.81  - 1979 - 1 episode    - 1 hr 11 min        - Sci-Fi                                                                                   - https://myanimelist.net/anime/4907
Daimajuu Gekitou: Hagane no Oni                                                                          - 5.23  - 1987 - 1 episode    - 56 min             - Horror, Mecha, Sci-Fi                                                                    - https://myanimelist.net/anime/1819
Daisuki! BuBu ChaCha                                                                                     - 7.03  - 2001 - 26 episodes  - 25 min per ep      - Kids, Pets                                                                               - https://myanimelist.net/anime/4586
Dakishimetai Hodo Utsukushii Hibi ni                                                                     - None  - 2022 - 1 episode    - 3 min              - Music                                                                                    - https://myanimelist.net/anime/55420
Dame x Prince Anime Caravan                                                                              - 6.50  - 2018 - 12 episodes  - 23 min per ep      - Adventure, Comedy, Fantasy, Reverse Harem, Romance, Shoujo                               - https://myanimelist.net/anime/35988
Danchigai                                                                                                - 6.49  - 2015 - 12 episodes  - 3 min per ep       - Comedy, Iyashikei, Slice of Life                                                         - https://myanimelist.net/anime/30127
Danshi Koukousei no Nichijou                                                                             - 8.23  - 2012 - 12 episodes  - 24 min per ep      - Comedy, Gag Humor, School                                                                - https://myanimelist.net/anime/11843
Dareka no Manazashi                                                                                      - 7.32  - 2013 - 1 episode    - 6 min              - Drama, Slice of Life                                                                     - https://myanimelist.net/anime/17121
Dark Gathering                                                                                           - 7.35  - 2023 - 25 episodes  - 23 min per ep      - Horror, Shounen, Supernatural                                                            - https://myanimelist.net/anime/52505
Datenshi-tachi no Kyouen                                                                                 - 4.92  - 1985 - 1 episode    - 21 min             - Hentai                                                                                   - https://myanimelist.net/anime/5540
Day/Night DiSCO                                                                                          - None  - 2023 - 1 episode    - 1 min              - Idols (Male), Music                                                                      - https://myanimelist.net/anime/55617
Dayan to Tama to Tobi Neko to: 3-tsu no Neko no Monogatari                                               - None  - 2019 - 2 episodes   - 23 min per ep      - Adventure, Kids                                                                          - https://myanimelist.net/anime/39351
Death Parade                                                                                             - 8.15  - 2015 - 12 episodes  - 23 min per ep      - Adult Cast, Drama, High Stakes Game, Psychological, Supernatural, Suspense               - https://myanimelist.net/anime/28223
Debby the Corsifa wa Makezugirai PV                                                                      - 6.56  - 2022 - 1 episode    - 30 sec             - Comedy, Mythology, Shounen, Supernatural                                                 - https://myanimelist.net/anime/52763
Densetsu Kyojin Ideon: Hatsudou-hen                                                                      - 7.90  - 1982 - 1 episode    - 1 hr 38 min        - Drama, Mecha, Sci-Fi, Space                                                              - https://myanimelist.net/anime/2761
Densetsu Kyojin Ideon: Sesshoku-hen                                                                      - 6.02  - 1982 - 1 episode    - 1 hr 25 min        - Drama, Mecha, Sci-Fi, Space                                                              - https://myanimelist.net/anime/2760
Devilman Lady                                                                                            - 6.61  - 1998 - 26 episodes  - 24 min per ep      - Action, Drama, Horror, Psychological                                                     - https://myanimelist.net/anime/1629
Dia Horizon                                                                                              - 5.40  - 2017 - 3 episodes   - 35 sec per ep      - Parody, Strategy Game                                                                    - https://myanimelist.net/anime/36018
Diamond City                                                                                             - None  - 2021 - 1 episode    - 3 min              - Music                                                                                    - https://myanimelist.net/anime/50073
Dimension W                                                                                              - 7.19  - 2016 - 12 episodes  - 24 min per ep      - Action, Sci-Fi, Seinen                                                                   - https://myanimelist.net/anime/31163
Dochamon Junior 2                                                                                        - None  - 2016 - 16 episodes  - 9 min per ep       - Comedy, Kids                                                                             - https://myanimelist.net/anime/34207
Doctorine                                                                                                - None  - 2021 - 1 episode    - 3 min              - Music                                                                                    - https://myanimelist.net/anime/55478
Dog Attacks Human                                                                                        - None  - 2021 - 1 episode    - 3 min              - Avant Garde, Comedy, Music                                                               - https://myanimelist.net/anime/53920
Dokkiri Doctor Special                                                                                   - None  - 1999 - 1 episode    - 25 min             - Comedy, Ecchi, School                                                                    - https://myanimelist.net/anime/13781
Doraemon Movie 11: Nobita to Animal Planet                                                               - 7.11  - 1990 - 1 episode    - 1 hr 40 min        - Adventure, Comedy, Fantasy, Kids, Sci-Fi, Shounen                                        - https://myanimelist.net/anime/2677
Doraemon Movie 22: Nobita to Tsubasa no Yuusha-tachi                                                     - 7.22  - 2001 - 1 episode    - 1 hr 31 min        - Adventure, Fantasy, Kids, Shounen                                                        - https://myanimelist.net/anime/2654
Doraemon Movie 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai                                 - 7.57  - 2007 - 1 episode    - 1 hr 52 min        - Adventure, Comedy, Fantasy                                                               - https://myanimelist.net/anime/2673
Doraemon: Ganbare! Gian!!                                                                                - 6.48  - 2001 - 1 episode    - 26 min             - Adventure, Comedy, Fantasy, Kids, Shounen                                                - https://myanimelist.net/anime/2653
Dorami & Doraemons: Space Land's Critical Event                                                          - 6.45  - 2001 - 1 episode    - 16 min             - Adventure, Comedy, Fantasy, Kids, Sci-Fi, Shounen                                        - https://myanimelist.net/anime/2645
Double Decker! Doug & Kirill: Extra                                                                      - 7.13  - 2019 - 3 episodes   - 24 min per ep      - Action, Adult Cast, Comedy, Detective, Sci-Fi                                            - https://myanimelist.net/anime/38895
Doukyuusei 2 (OVA) Special: Sotsugyousei                                                                 - 5.09  - 1999 - 3 episodes   - 28 min per ep      - Ecchi, Harem, School                                                                     - https://myanimelist.net/anime/5647
Dr. Slump Movie 02: "Hoyoyo!" Uchuu Daibouken                                                            - 6.40  - 1982 - 1 episode    - 1 hr 30 min        - Comedy, Gag Humor, Sci-Fi, Shounen                                                       - https://myanimelist.net/anime/8546
Dr. Slump Movie 07: Arale-chan N-cha! Penguin Mura yori Ai wo Komete                                     - 6.21  - 1993 - 1 episode    - 31 min             - Comedy, Gag Humor, Sci-Fi, Shounen                                                       - https://myanimelist.net/anime/7157
Dr. Stone: Ryuusui                                                                                       - 8.22  - 2022 - 1 episode    - 54 min             - Adventure, Comedy, Sci-Fi, Shounen, Time Travel                                          - https://myanimelist.net/anime/50612
Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu                                                  - 6.59  - 1990 - 1 episode    - 1 hr               - Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen                                      - https://myanimelist.net/anime/895
Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu                                       - 7.11  - 1993 - 1 episode    - 50 min             - Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen                                      - https://myanimelist.net/anime/902
Dramaturgy                                                                                               - 7.91  - 2017 - 1 episode    - 4 min              - Music                                                                                    - https://myanimelist.net/anime/39164
