Title                                                              - Score - Year - Num Eps            - Duration             - Genre(s)                                                                 - Link
Hakugei Densetsu                                                   - 6.71  - 1997 - 26 episode(s)      - 23 min. per ep.      - Sci-Fi, Adventure, Space                                                 - https://myanimelist.net/anime/1466
Halfway                                                            - 4.82  - 2012 - 1 episode(s)       - 5 min.               - Music                                                                    - https://myanimelist.net/anime/36067
Hana no Ko Lunlun                                                  - 6.98  - 1979 - 50 episode(s)      - 24 min. per ep.      - Adventure, Drama, Magic, Shoujo                                          - https://myanimelist.net/anime/2230
Hanasaku Iroha: Home Sweet Home                                    - 7.96  - 2013 - 1 episode(s)       - 1 hr. 6 min.         - Slice of Life, Comedy, Drama                                             - https://myanimelist.net/anime/14175
Happyakuyachou Hyouri Kewaishi                                     - 5.62  - 1990 - 16 episode(s)      - 10 min. per ep.      - Historical, Drama                                                        - https://myanimelist.net/anime/11545
Hayate no Gotoku! Cuties                                           - 7.13  - 2013 - 12 episode(s)      - 24 min. per ep.      - Comedy, Harem, Parody, Romance, Shounen                                  - https://myanimelist.net/anime/16982
High School DxD BorN: Yomigaeranai Fushichou                       - 7.65  - 2015 - 1 episode(s)       - 24 min.              - Action, Ecchi, Comedy, Harem, Romance, Demons, School                    - https://myanimelist.net/anime/32215
Hikaru Genji: Paradise Ginga                                       - 5.14  - 1989 - 1 episode(s)       - 4 min.               - Music, Space                                                             - https://myanimelist.net/anime/33217
Himawari!                                                          - 6.41  - 2006 - 13 episode(s)      - 24 min. per ep.      - Adventure, Comedy, Martial Arts                                          - https://myanimelist.net/anime/910
Himawari                                                           - 5.30  - 2017 - 1 episode(s)       - 6 min.               - Music                                                                    - https://myanimelist.net/anime/36763
Himitsu no Akko-chan 2                                             - 6.34  - 1988 - 61 episode(s)      - 24 min. per ep.      - Magic, School, Shoujo                                                    - https://myanimelist.net/anime/3838
Himouto! Umaru-chan                                                - 7.42  - 2015 - 12 episode(s)      - 24 min. per ep.      - Comedy, School, Seinen, Slice of Life                                    - https://myanimelist.net/anime/28825
Hinata no Aoshigure                                                - 7.09  - 2013 - 1 episode(s)       - 18 min.              - Adventure, Fantasy, Romance                                              - https://myanimelist.net/anime/20673
Hit wo Nerae!                                                      - 5.59  - 2004 - 8 episode(s)       - 13 min. per ep.      - Comedy, Ecchi                                                            - https://myanimelist.net/anime/964
Hitori No Shita: Raten Taishou Arc Pre-Broadcast Special           - N/A   - 2018 - 1 episode(s)       - 20 min.              - Action                                                                   - https://myanimelist.net/anime/37090
Hitori no Shita: The Outcast                                       - 6.71  - 2016 - 12 episode(s)      - 24 min. per ep.      - Action, Super Power, Supernatural                                        - https://myanimelist.net/anime/33421
Hitozuma♪Kasumi-san                                                - 6.82  - 2005 - 2 episode(s)       - 30 min. per ep.      - Hentai                                                                   - https://myanimelist.net/anime/2438
Hitsugi no Chaika: Avenging Battle                                 - 7.31  - 2014 - 10 episode(s)      - 23 min. per ep.      - Action, Adventure, Comedy, Romance, Fantasy                              - https://myanimelist.net/anime/24231
Hoero! Bun Bun                                                     - 6.39  - 1980 - 39 episode(s)      - 23 min. per ep.      - Adventure, Slice of Life                                                 - https://myanimelist.net/anime/4511
Hooligan                                                           - 5.81  - 2001 - 2 episode(s)       - 30 min. per ep.      - Hentai                                                                   - https://myanimelist.net/anime/2439
Hoshi no Kirby:  Taose!! Koukaku Majuu Ebizou                      - 6.15  - 2009 - 1 episode(s)       - 8 min.               - Action, Adventure, Comedy, Fantasy                                       - https://myanimelist.net/anime/30155
Houkago no Pleiades (TV)                                           - 6.79  - 2015 - 12 episode(s)      - 23 min. per ep.      - Magic, Space                                                             - https://myanimelist.net/anime/17919
I&#039;&#039;s Pure                                                - 7.00  - 2005 - 6 episode(s)       - 27 min. per ep.      - Comedy, Drama, Ecchi, Romance, School                                    - https://myanimelist.net/anime/811
I&#039;&#039;s                                                     - 6.09  - 2002 - 2 episode(s)       - 29 min. per ep.      - Romance, Drama                                                           - https://myanimelist.net/anime/1084
ID-0                                                               - 6.80  - 2017 - 12 episode(s)      - 24 min. per ep.      - Sci-Fi, Space, Mecha                                                     - https://myanimelist.net/anime/33797
Ibara no Ou                                                        - 7.15  - 2009 - 1 episode(s)       - 1 hr. 50 min.        - Action, Thriller, Mystery, Sci-Fi                                        - https://myanimelist.net/anime/6610
Ikinari Dagon                                                      - 5.90  - 1988 - 12 episode(s)      - 25 min. per ep.      - Adventure, Fantasy                                                       - https://myanimelist.net/anime/19965
Imawa no Kuni no Alice                                             - 6.32  - 2013 - 1 episode(s)       - 30 sec.              - Action                                                                   - https://myanimelist.net/anime/32548
Imouto Paradise!                                                   - 6.82  - 2011 - 2 episode(s)       - 28 min. per ep.      - Hentai                                                                   - https://myanimelist.net/anime/10668
Inazma Delivery                                                    - 5.68  - 2016 - 10 episode(s)      - 2 min. per ep.       - Action, Sci-Fi, Comedy                                                   - https://myanimelist.net/anime/34502
Ingoku Byoutou                                                     - 5.94  - 2002 - 2 episode(s)       - 30 min. per ep.      - Hentai                                                                   - https://myanimelist.net/anime/3628
Ippun de Wakaru Eiga &quot;Donten ni Warau&quot; Kaisetsu Yokoku   - 5.31  - 2018 - 1 episode(s)       - 1 min.               - Historical, Parody                                                       - https://myanimelist.net/anime/37285
Ishiyama-dera Digital Engi Emaki                                   - 5.50  - 2016 - 1 episode(s)       - 20 min.              - Historical                                                               - https://myanimelist.net/anime/33982
Itsuka Tenma no Kuro Usagi                                         - 6.77  - 2011 - 12 episode(s)      - 25 min. per ep.      - Comedy, Supernatural, Romance, Ecchi, Vampire                            - https://myanimelist.net/anime/9750
Jigokudou Reikai Tsuushin                                          - 6.38  - 1996 - 1 episode(s)       - 45 min.              - Fantasy, Horror                                                          - https://myanimelist.net/anime/9824
Jokuana                                                            - 5.79  - 2007 - 2 episode(s)       - 30 min. per ep.      - Hentai                                                                   - https://myanimelist.net/anime/3334
Joutoku                                                            - 4.20  - 2017 - 1 episode(s)       - 1 min.               - Music                                                                    - https://myanimelist.net/anime/36767
Jungle Book Shounen Mowgli                                         - 6.98  - 1989 - 52 episode(s)      - 30 min. per ep.      - Adventure, Drama                                                         - https://myanimelist.net/anime/2569
Juuni Kokuki                                                       - 8.13  - 2002 - 45 episode(s)      - 25 min. per ep.      - Action, Adventure, Fantasy, Magic, Supernatural                          - https://myanimelist.net/anime/153
Juuou Mujin no Fafnir                                              - 6.43  - 2015 - 12 episode(s)      - 24 min. per ep.      - Fantasy, Harem, Romance, School                                          - https://myanimelist.net/anime/24873
Kaibutsu Oujo (OVA)                                                - 7.17  - 2010 - 3 episode(s)       - 22 min. per ep.      - Action, Comedy, Horror, Supernatural, Shounen                            - https://myanimelist.net/anime/9159
Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku 2nd Season              - 6.06  - 2018 - 12 episode(s)      - 5 min. per ep.       - Comedy, Fantasy, Parody                                                  - https://myanimelist.net/anime/36196
Kaitou Reinya                                                      - 5.81  - 2009 - 12 episode(s)      - 3 min. per ep.       - Comedy                                                                   - https://myanimelist.net/anime/7561
Kami nomi zo Shiru Sekai: Megami-hen                               - 8.22  - 2013 - 12 episode(s)      - 24 min. per ep.      - Harem, Comedy, Supernatural, Romance, Shounen                            - https://myanimelist.net/anime/16706
Kara no Kyoukai 3: Tsuukaku Zanryuu                                - 8.16  - 2008 - 1 episode(s)       - 58 min.              - Action, Mystery, Supernatural, Drama, Thriller                           - https://myanimelist.net/anime/3783
Kasumin 3rd Season                                                 - 6.26  - 2003 - 26 episode(s)      - 25 min. per ep.      - Kids, Fantasy                                                            - https://myanimelist.net/anime/2738
Kaze no You ni                                                     - 6.50  - 2016 - 1 episode(s)       - 40 min.              - Drama, Slice of Life                                                     - https://myanimelist.net/anime/32832
Kemono no Souja Erin Recap                                         - 7.04  - 2010 - 10 episode(s)      - 20 min. per ep.      - Adventure, Slice of Life, Historical, Drama, Fantasy                     - https://myanimelist.net/anime/7904
Kenyuu Densetsu Yaiba                                              - 7.17  - 1993 - 52 episode(s)      - 22 min. per ep.      - Action, Comedy, Fantasy, Martial Arts, Shounen                           - https://myanimelist.net/anime/2335
Kiddy Grade                                                        - 7.28  - 2002 - 24 episode(s)      - 23 min. per ep.      - Action, Sci-Fi, Super Power, Ecchi, Mecha                                - https://myanimelist.net/anime/274
King of Prism by Pretty Rhythm                                     - 6.26  - 2016 - 1 episode(s)       - 59 min.              - Music, Sports, Shoujo                                                    - https://myanimelist.net/anime/31762
Kingsglaive: Final Fantasy XV                                      - 7.67  - 2016 - 1 episode(s)       - 1 hr. 55 min.        - Action                                                                   - https://myanimelist.net/anime/33082
Kinnikuman II Sei                                                  - 6.96  - 2002 - 51 episode(s)      - 24 min. per ep.      - Action, Sci-Fi, Comedy, Sports, Martial Arts, Shounen                    - https://myanimelist.net/anime/1707
Kiseijuu: Sei no Kakuritsu                                         - 8.52  - 2014 - 24 episode(s)      - 23 min. per ep.      - Action, Sci-Fi, Horror, Psychological, Drama, Seinen                     - https://myanimelist.net/anime/22535
