Title                                                                                               - Score - Year - Num Eps       - Duration           - Genre(s)                                                                        - Link

"Bungaku Shoujo" Movie                                                                              - 7.34  - 2010 - 1 episode     - 1 hr 40 min        - Drama, Mystery, Romance, School                                                 - https://myanimelist.net/anime/6408
Bokutachi wa Benkyou ga Dekinai: Nagisa ni Usemono Arite Senjin wa Enzen to [X] Suru                - 7.28  - 2019 - 1 episode     - 25 min             - Comedy, Harem, Romance, School, Shounen                                         - https://myanimelist.net/anime/39819
Bonus Track: Atarashii Yoru no Hanabi                                                               - None  - 2021 - 4 episodes    - 1 min per ep       - Avant Garde                                                                     - https://myanimelist.net/anime/49584
Bonus Track: Atarashii Yoru no Hanami                                                               - None  - 2021 - 5 episodes    - 1 min per ep       - Avant Garde                                                                     - https://myanimelist.net/anime/53015
Bounty Dog: Getsumen no Ibu                                                                         - 5.51  - 1994 - 2 episodes    - 29 min per ep      - Action, Sci-Fi, Space                                                           - https://myanimelist.net/anime/1811
Bounty Hunter: The Hard                                                                             - 5.71  - 1996 - 1 episode     - 48 min             - Action, Detective                                                               - https://myanimelist.net/anime/4522
Bousou Sengokushi                                                                                   - None  - 1991 - 2 episodes    - 45 min per ep      - Action                                                                          - https://myanimelist.net/anime/9343
Bubuki Buranki: Hoshi no Kyojin                                                                     - 6.76  - 2016 - 12 episodes   - 23 min per ep      - Action, Drama, Mecha, Sci-Fi                                                    - https://myanimelist.net/anime/33041
Burning Village                                                                                     - None  - 1989 - 10 episodes   - 12 min per ep      - Fantasy, Horror                                                                 - https://myanimelist.net/anime/10245
Butten Monogatari                                                                                   - None  - 1986 - 10 episodes   - 30 min per ep      - Historical                                                                      - https://myanimelist.net/anime/34925
Can You See? I'm Sushi                                                                              - 5.19  - 2018 - 1 episode     - 2 min              - Gourmet, Kids, Music, Strategy Game                                             - https://myanimelist.net/anime/39856
Candy Candy                                                                                         - 7.57  - 1976 - 115 episodes  - 25 min per ep      - Drama, Historical, Shoujo, Slice of Life                                        - https://myanimelist.net/anime/2800
