Title                                                                              - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                                                      - Link
D-Frag!                                                                            - 7.71  - 2014 - 12 episode(s)      - 24 min. per ep.       - Game, Comedy, School, Seinen                                                                                                  - https://myanimelist.net/anime/20031
DNA²                                                                               - 6.80  - 1994 - 12 episode(s)      - 23 min. per ep.       - Comedy, Romance, Sci-Fi                                                                                                       - https://myanimelist.net/anime/563
DRAMAtical Murder                                                                  - 6.28  - 2014 - 12 episode(s)      - 24 min. per ep.       - Action, Sci-Fi, Super Power, Psychological                                                                                    - https://myanimelist.net/anime/23333
Dance XX                                                                           - 4.84  - 2015 - 1 episode(s)       - 4 min.                - Music                                                                                                                         - https://myanimelist.net/anime/34860
Dance in the Vampire Bund                                                          - 7.17  - 2010 - 12 episode(s)      - 24 min. per ep.       - Action, Supernatural, Vampire                                                                                                 - https://myanimelist.net/anime/6747
Dance with Devils                                                                  - 6.68  - 2015 - 12 episode(s)      - 23 min. per ep.       - Harem, Demons, Supernatural, Romance, Vampire, Shoujo                                                                         - https://myanimelist.net/anime/29976
Daraku Reijou The Animation: Hakoiri Ojousama Netorare Choukyou Kiroku             - 5.98  - 2017 - 1 episode(s)       - 16 min.               - Hentai                                                                                                                        - https://myanimelist.net/anime/35178
Dead Heat                                                                          - 5.62  - 1987 - 1 episode(s)       - 30 min.               - Action, Sports, Mecha, Sci-Fi                                                                                                 - https://myanimelist.net/anime/10780
Dear Boys                                                                          - 6.96  - 2003 - 26 episode(s)      - 24 min. per ep.       - Drama, Shounen, Sports                                                                                                        - https://myanimelist.net/anime/292
Deeky & Carina                                                                     - 5.92  - 2017 - Unknown episode(s) - 45 sec.               - Comedy, Music                                                                                                                 - https://myanimelist.net/anime/35517
Denkou Chou Tokkyuu Hikarian                                                       - 6.63  - 2002 - 52 episode(s)      - 25 min. per ep.       - Action, Adventure, Kids                                                                                                       - https://myanimelist.net/anime/8956
Devils Line                                                                        - N/A   - 2018 - Unknown episode(s) - Unknown               - Action, Supernatural, Drama, Romance, Vampire, Seinen                                                                         - https://myanimelist.net/anime/35928
Dibetagurashi: Ahiru no Seikatsu                                                   - 6.00  - 2013 - 39 episode(s)      - 3 min. per ep.        - Comedy, Slice of Life                                                                                                         - https://myanimelist.net/anime/17733
Dies Irae: Reimei                                                                  - 5.46  - 2017 - 1 episode(s)       - 23 min.               - Action, Super Power, Magic                                                                                                    - https://myanimelist.net/anime/36524
Digimon Adventure                                                                  - 7.88  - 1999 - 54 episode(s)      - 24 min. per ep.       - Action, Adventure, Comedy, Fantasy, Kids                                                                                      - https://myanimelist.net/anime/552
Digimon Frontier                                                                   - 7.24  - 2002 - 50 episode(s)      - 23 min. per ep.       - Action, Adventure, Comedy, Drama, Fantasy, Shounen                                                                            - https://myanimelist.net/anime/1132
Dive!!                                                                             - 6.17  - 2017 - 12 episode(s)      - 22 min. per ep.       - Comedy, Sports                                                                                                                - https://myanimelist.net/anime/34543
Dog Days'                                                                          - 7.26  - 2012 - 13 episode(s)      - 23 min. per ep.       - Action, Adventure, Magic, Fantasy                                                                                             - https://myanimelist.net/anime/11783
Dokonjou Gaeru                                                                     - 6.67  - 1972 - 103 episode(s)     - 25 min. per ep.       - Slice of Life, Comedy, Shounen                                                                                                - https://myanimelist.net/anime/5618
Donkikko                                                                           - 5.63  - 1967 - 21 episode(s)      - 25 min. per ep.       - Comedy, Shounen                                                                                                               - https://myanimelist.net/anime/19901
Donten ni Warau×Mameshiba                                                          - N/A   - 2018 - 1 episode(s)       - 30 sec.               - Comedy                                                                                                                        - https://myanimelist.net/anime/37431
Doraemon Movie 13: Nobita to Kumo no Oukoku                                        - 7.38  - 1992 - 1 episode(s)       - 1 hr. 40 min.         - Adventure, Comedy                                                                                                             - https://myanimelist.net/anime/2661
Doraemon Movie 19: Nobita no Nankai Daibouken                                      - 7.22  - 1998 - 1 episode(s)       - 1 hr. 31 min.         - Adventure, Comedy, Fantasy, Kids, Sci-Fi, Shounen                                                                             - https://myanimelist.net/anime/2664
Doraemon Movie 29: Shin Nobita no Uchuu Kaitakushi                                 - 7.42  - 2009 - 1 episode(s)       - 1 hr. 38 min.         - Adventure, Comedy, Fantasy, Kids                                                                                              - https://myanimelist.net/anime/6930
Doraemon Movie 35: Nobita no Space Heroes                                          - 6.94  - 2015 - 1 episode(s)       - 1 hr. 40 min.         - Comedy, Kids, Shounen, Space                                                                                                  - https://myanimelist.net/anime/25383
Doraemon: Doraemon Comes Back (Movie)                                              - 7.13  - 1998 - 1 episode(s)       - 27 min.               - Comedy, Kids, Fantasy                                                                                                         - https://myanimelist.net/anime/2651
Doupo Cangqiong                                                                    - 7.13  - 2017 - 12 episode(s)      - 20 min. per ep.       - Action, Adventure, Comedy, Supernatural, Romance                                                                              - https://myanimelist.net/anime/36491
Dr. Slump: Arale-chan Specials                                                     - 6.36  - 1981 - 2 episode(s)       - 24 min. per ep.       - Sci-Fi, Comedy, Shounen                                                                                                       - https://myanimelist.net/anime/28369
Dragon Ball GT                                                                     - 6.67  - 1996 - 64 episode(s)      - 23 min. per ep.       - Action, Adventure, Comedy, Fantasy, Magic, Sci-Fi, Shounen, Super Power                                                       - https://myanimelist.net/anime/225
Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi                  - 7.04  - 1992 - 1 episode(s)       - 45 min.               - Action, Sci-Fi, Adventure, Comedy, Fantasy, Shounen                                                                           - https://myanimelist.net/anime/899
Dragon Collection                                                                  - 6.36  - 2014 - 51 episode(s)      - 11 min. per ep.       - Fantasy, Shounen                                                                                                              - https://myanimelist.net/anime/22733
Dragon League                                                                      - 7.18  - 1993 - 39 episode(s)      - 24 min. per ep.       - Adventure, Fantasy, Sports, Comedy, Shounen                                                                                   - https://myanimelist.net/anime/5197
Dragon Quest X: Boukensha-tachi no Kiseki                                          - 6.17  - 2017 - Unknown episode(s) - 6 min.                - Game, Slice of Life                                                                                                           - https://myanimelist.net/anime/36112
Dragon Quest: Dai no Daibouken Tachiagare!! Aban no Shito                          - 6.72  - 1992 - 1 episode(s)       - 40 min.               - Action, Adventure, Magic, Fantasy, Shounen                                                                                    - https://myanimelist.net/anime/7436
Drifters                                                                           - 8.05  - 2016 - 12 episode(s)      - 23 min. per ep.       - Action, Adventure, Comedy, Historical, Samurai, Fantasy, Seinen                                                               - https://myanimelist.net/anime/31339
Duel Masters Victory V                                                             - 6.09  - 2012 - 51 episode(s)      - 10 min. per ep.       - Action, Adventure, Comedy, Shounen                                                                                            - https://myanimelist.net/anime/21997
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA                       - 7.20  - 2016 - 1 episode(s)       - 24 min.               - Action, Adventure, Comedy, Romance, Fantasy                                                                                   - https://myanimelist.net/anime/32801
Eagle Sam                                                                          - 5.31  - 1983 - 51 episode(s)      - 25 min. per ep.       - Comedy, Sports                                                                                                                - https://myanimelist.net/anime/8179
Eat You Up/Bunny                                                                   - 4.97  - 2012 - 1 episode(s)       - 2 min.                - Music                                                                                                                         - https://myanimelist.net/anime/30433
Egomama                                                                            - 7.18  - 2011 - 1 episode(s)       - 4 min.                - Music                                                                                                                         - https://myanimelist.net/anime/12623
En En Nikoli                                                                       - 4.92  - 2011 - 3 episode(s)       - 5 min. per ep.        - Adventure, Kids, Music                                                                                                        - https://myanimelist.net/anime/29423
Esper Mami                                                                         - 6.64  - 1987 - 119 episode(s)     - 24 min. per ep.       - Comedy, Ecchi, Magic, School, Super Power, Supernatural                                                                       - https://myanimelist.net/anime/3023
F-Zero: Falcon Densetsu                                                            - 6.45  - 2003 - 51 episode(s)      - 23 min. per ep.       - Action, Sci-Fi, Adventure, Cars, Sports, Mecha, Shounen                                                                       - https://myanimelist.net/anime/3101
FLCL Alternative                                                                   - N/A   - 2018 - 6 episode(s)       - Unknown               - Action, Sci-Fi, Comedy, Parody, Dementia, Mecha                                                                               - https://myanimelist.net/anime/35842
Fantasista Doll                                                                    - 6.22  - 2013 - 12 episode(s)      - 23 min. per ep.       - Sci-Fi, Magic, Fantasy                                                                                                        - https://myanimelist.net/anime/15883
Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day                      - 7.48  - 2015 - 1 episode(s)       - 9 min.                - Action, Fantasy, Magic, Shounen, Supernatural                                                                                 - https://myanimelist.net/anime/31389
Fate/stay night                                                                    - 7.52  - 2006 - 24 episode(s)      - 24 min. per ep.       - Action, Supernatural, Magic, Romance, Fantasy                                                                                 - https://myanimelist.net/anime/356
Fireball                                                                           - 6.79  - 2008 - 13 episode(s)      - 1 min. per ep.        - Comedy, Sci-Fi                                                                                                                - https://myanimelist.net/anime/4362
Francesca                                                                          - 5.56  - 2014 - 24 episode(s)      - 11 min. per ep.       - Fantasy, Comedy                                                                                                               - https://myanimelist.net/anime/22955
Furusato Japan                                                                     - 6.90  - 2007 - 1 episode(s)       - 1 hr. 36 min.         - Historical                                                                                                                    - https://myanimelist.net/anime/3367
Fushigi na Koala Blinky                                                            - 6.45  - 1984 - 26 episode(s)      - 25 min. per ep.       - Adventure, Comedy, Kids, Fantasy                                                                                              - https://myanimelist.net/anime/1333
Fushigi na Somera-chan                                                             - 5.95  - 2015 - 12 episode(s)      - 3 min. per ep.        - Comedy, Magic, Slice of Life                                                                                                  - https://myanimelist.net/anime/30746
Futakoi Alternative                                                                - 7.00  - 2005 - 13 episode(s)      - 24 min. per ep.       - Comedy, Drama, Romance                                                                                                        - https://myanimelist.net/anime/126
GA: Geijutsuka Art Design Class                                                    - 7.21  - 2009 - 12 episode(s)      - 24 min. per ep.       - Slice of Life, Comedy, School, Seinen                                                                                         - https://myanimelist.net/anime/5670
Gakuen Babysitters                                                                 - 7.93  - 2018 - 12 episode(s)      - 23 min. per ep.       - Slice of Life, Comedy, School, Shoujo                                                                                         - https://myanimelist.net/anime/35222
Gakuen Heaven: Hamu Hamu Heaven                                                    - 6.87  - 2006 - 12 episode(s)      - 1 min. per ep.        - Comedy, Drama, Romance, School, Shounen Ai                                                                                    - https://myanimelist.net/anime/4353
Gakuen: Chijoku no Zushiki                                                         - 5.58  - 2002 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                                                                        - https://myanimelist.net/anime/1511
Galaxy Angel 4                                                                     - 7.33  - 2004 - 13 episode(s)      - 24 min. per ep.       - Comedy, Sci-Fi                                                                                                                - https://myanimelist.net/anime/655
Gamba no Bouken                                                                    - 7.13  - 1975 - 26 episode(s)      - 24 min. per ep.       - Adventure, Kids                                                                                                               - https://myanimelist.net/anime/5267
Garo: Vanishing Line                                                               - 7.13  - 2017 - 24 episode(s)      - 24 min. per ep.       - Action, Demons, Fantasy, Supernatural                                                                                         - https://myanimelist.net/anime/36144
Gegege no Kitarou (1971)                                                           - 6.74  - 1971 - 45 episode(s)      - 25 min. per ep.       - Adventure, Super Power, Demons, Supernatural                                                                                  - https://myanimelist.net/anime/6971
