Title                                                                                       - Score - Year - Num Eps            - Duration             - Genre(s)                                                                        - Link
Hidamari Sketch                                                                             - 7.48  - 2007 - 12 episode(s)      - 24 min. per ep.      - Slice of Life, Comedy, School, Seinen                                           - https://myanimelist.net/anime/1852
High School Mystery: Gakuen Nanafushigi                                                     - 6.55  - 1991 - 41 episode(s)      - 25 min. per ep.      - Horror, Mystery                                                                 - https://myanimelist.net/anime/9882
High School! Kimengumi (Movie)                                                              - 6.32  - 1986 - 1 episode(s)       - 50 min.              - Action, Comedy, Parody, Romance, School, Shounen                                - https://myanimelist.net/anime/5956
Hijikata Toshizou: Shiro no Kiseki                                                          - 6.31  - 2004 - 1 episode(s)       - 32 min.              - Action, Historical, Drama, Samurai                                              - https://myanimelist.net/anime/1977
Hissatsu Chikan Nin                                                                         - 6.19  - 2008 - 2 episode(s)       - 26 min. per ep.      - Hentai                                                                          - https://myanimelist.net/anime/5281
Hokuto no Ken 2                                                                             - 7.60  - 1987 - 43 episode(s)      - 25 min. per ep.      - Action, Drama, Martial Arts, Super Power                                        - https://myanimelist.net/anime/1356
Hunter x Hunter Movie: Phantom Rouge                                                        - 7.37  - 2013 - 1 episode(s)       - 1 hr. 37 min.        - Action, Adventure, Shounen, Super Power                                         - https://myanimelist.net/anime/13271
Ikeike! Momon-chan Specials                                                                 - 5.41  - 2012 - 3 episode(s)       - 1 min. per ep.       - Comedy                                                                          - https://myanimelist.net/anime/18425
Ikemen Sengoku: Toki wo Kakeru ga Koi wa Hajimaranai                                        - 6.21  - 2017 - 12 episode(s)      - 3 min. per ep.       - Historical, Romance                                                             - https://myanimelist.net/anime/34337
Ikkitousen: Shuugaku Toushi Keppuuroku                                                      - 6.79  - 2011 - 1 episode(s)       - 43 min.              - Action, Ecchi, Martial Arts, Super Power, School                                - https://myanimelist.net/anime/11255
Injuu Seisen: Twin Angels                                                                   - 5.88  - 1995 - 4 episode(s)       - 24 min. per ep.      - Hentai, Horror                                                                  - https://myanimelist.net/anime/3569
Isobe Isobee Monogatari: Ukiyo wa Tsurai yo (2015)                                          - 5.52  - 2015 - Unknown episode(s) - 30 sec.              - Comedy, Historical, Shounen                                                     - https://myanimelist.net/anime/31903
Je Bul Chal-ssi Iyagi                                                                       - 5.86  - 2009 - 1 episode(s)       - 1 hr. 4 min.         - Comedy, Horror, Fantasy                                                         - https://myanimelist.net/anime/8081
Jian Wangchao 2                                                                             - N/A   - 2017 - 12 episode(s)      - 15 min. per ep.      - Action                                                                          - https://myanimelist.net/anime/37058
Jigoku Sensei Nube OVA                                                                      - 7.33  - 1998 - 3 episode(s)       - 30 min. per ep.      - Action, Supernatural, Comedy, School, Demons, Horror, Shounen                   - https://myanimelist.net/anime/2745
Jigoku Sensei Nube: Kyoufu no Natsu Yasumi! Asashi no Uni no Gensetsu                       - 6.85  - 1997 - 1 episode(s)       - 38 min.              - Action, Supernatural, School, Horror, Shounen                                   - https://myanimelist.net/anime/5296
Jungle Taitei (1989)                                                                        - 6.78  - 1989 - 52 episode(s)      - 30 min. per ep.      - Adventure, Drama                                                                - https://myanimelist.net/anime/2556
Junjou Romantica 2                                                                          - 8.16  - 2008 - 12 episode(s)      - 24 min. per ep.      - Comedy, Drama, Romance, Shounen Ai                                              - https://myanimelist.net/anime/4814
K: Missing Kings - Manner Movie                                                             - 6.72  - 2014 - 1 episode(s)       - 1 min.               - Comedy                                                                          - https://myanimelist.net/anime/31344
K: Missing Kings                                                                            - 7.87  - 2014 - 1 episode(s)       - 1 hr. 13 min.        - Action, Super Power, Supernatural                                               - https://myanimelist.net/anime/16904
Kabi Usagi: Kaichuu                                                                         - 3.78  - 2012 - 1 episode(s)       - 33 sec.              - Comedy                                                                          - https://myanimelist.net/anime/33868
Kaiketsu Zorori Movie: Uchuu no Yuusha-tachi                                                - 5.54  - 2015 - 1 episode(s)       - Unknown              - Adventure, Comedy                                                               - https://myanimelist.net/anime/30313
Kaito x Ansa                                                                                - 5.16  - 2017 - 12 episode(s)      - 7 min. per ep.       - Game                                                                            - https://myanimelist.net/anime/34725
Kaitou Jigoma Ongaku-hen                                                                    - 4.50  - 1988 - 1 episode(s)       - 23 min.              - Music                                                                           - https://myanimelist.net/anime/19053
Kaitou Saint Tail                                                                           - 7.64  - 1995 - 43 episode(s)      - 22 min. per ep.      - Adventure, Magic, Romance, Shoujo                                               - https://myanimelist.net/anime/1567
Kakuchou Shoujo-kei Trinary                                                                 - 6.72  - 2017 - 34 episode(s)      - 5 min. per ep.       - Sci-Fi                                                                          - https://myanimelist.net/anime/34006
Kakumeiki Valvrave                                                                          - 7.27  - 2013 - 12 episode(s)      - 24 min. per ep.      - Action, Space, Mecha                                                            - https://myanimelist.net/anime/16668
Kami nomi zo Shiru Sekai II                                                                 - 8.07  - 2011 - 12 episode(s)      - 23 min. per ep.      - Comedy, Harem, Romance, Shounen, Supernatural                                   - https://myanimelist.net/anime/10080
Kamiusagi Rope 3 (ONA)                                                                      - 5.46  - 2012 - 2 episode(s)       - 2 min. per ep.       - Slice of Life, Comedy                                                           - https://myanimelist.net/anime/13831
Kamiusagi Rope tsuka, Natsuyasumi Rasuichi tte Maji ssuka!?                                 - 5.19  - 2012 - 1 episode(s)       - 1 hr. 25 min.        - Adventure, Comedy, Slice of Life                                                - https://myanimelist.net/anime/13821
Kamiusagi Rope x Boruto: Naruto Next Generations                                            - 5.66  - 2017 - 1 episode(s)       - 1 min.               - Slice of Life, Comedy                                                           - https://myanimelist.net/anime/36564
Kana Kana Kazoku: Rika in Wonderland                                                        - 4.44  - 2014 - 1 episode(s)       - 4 min.               - Comedy                                                                          - https://myanimelist.net/anime/31603
Kashimashi: Girl Meets Girl                                                                 - 6.75  - 2006 - 12 episode(s)      - 24 min. per ep.      - Comedy, Drama, Romance, School, Shoujo Ai, Slice of Life                        - https://myanimelist.net/anime/667
Katta-kun Monogatari                                                                        - 4.80  - 1995 - 1 episode(s)       - 1 hr. 15 min.        - Adventure, Kids                                                                 - https://myanimelist.net/anime/21101
Kenka Banchou Otome: Girl Beats Boys                                                        - 6.61  - 2017 - 12 episode(s)      - 8 min. per ep.       - Action, Martial Arts, School, Shoujo                                            - https://myanimelist.net/anime/34501
Keshikasu-kun                                                                               - 4.92  - 2010 - Unknown episode(s) - 1 min.               - Comedy, Kids                                                                    - https://myanimelist.net/anime/8244
Ketsuekigata-kun! 4                                                                         - 6.45  - 2016 - 12 episode(s)      - 2 min. per ep.       - Comedy                                                                          - https://myanimelist.net/anime/32274
Kimi ni Todoke 2nd Season                                                                   - 8.13  - 2011 - 12 episode(s)      - 23 min. per ep.      - Slice of Life, Romance, School, Shoujo                                          - https://myanimelist.net/anime/9656
Kindaichi Shounen no Jikenbo Specials                                                       - 7.37  - 2007 - 2 episode(s)       - 48 min. per ep.      - Mystery, Shounen                                                                - https://myanimelist.net/anime/3245
Kingdom Hearts χ Back Cover                                                                 - 7.01  - 2017 - 1 episode(s)       - 1 hr. 2 min.         - Action, Fantasy, Magic, Mystery                                                 - https://myanimelist.net/anime/35776
Kingyo Chuuihou!                                                                            - 6.90  - 1991 - 54 episode(s)      - 24 min. per ep.      - Comedy, Kids, Shoujo                                                            - https://myanimelist.net/anime/727
Kiniro Mosaic: Pretty Days                                                                  - 7.58  - 2016 - 1 episode(s)       - 50 min.              - Slice of Life, Comedy, School, Seinen                                           - https://myanimelist.net/anime/33034
Kino                                                                                        - 5.25  - 2013 - 2 episode(s)       - 2 min. per ep.       - Slice of Life                                                                   - https://myanimelist.net/anime/35981
Kizuna                                                                                      - 6.42  - 1994 - 2 episode(s)       - 30 min. per ep.      - Romance, Drama, Yaoi                                                            - https://myanimelist.net/anime/733
Kodomo no Jikan (TV)                                                                        - 7.04  - 2007 - 12 episode(s)      - 24 min. per ep.      - Comedy, Drama, Ecchi, School                                                    - https://myanimelist.net/anime/2403
Kogane no Hana                                                                              - 5.09  - 1929 - 1 episode(s)       - 16 min.              - Action, Adventure, Fantasy, Historical                                          - https://myanimelist.net/anime/28045
Koi wa Ameagari no You ni                                                                   - 7.81  - 2018 - 12 episode(s)      - 22 min. per ep.      - Romance, Seinen                                                                 - https://myanimelist.net/anime/34984
Kono Sekai no Katasumi ni                                                                   - 8.40  - 2016 - 1 episode(s)       - 2 hr. 6 min.         - Historical, Drama, Seinen                                                       - https://myanimelist.net/anime/15227
Kono Subarashii Sekai ni Shukufuku wo! 2                                                    - 8.36  - 2017 - 10 episode(s)      - 23 min. per ep.      - Adventure, Comedy, Supernatural, Magic, Fantasy                                 - https://myanimelist.net/anime/32937
Koutetsu Tenshi Kurumi 2                                                                    - 6.38  - 2001 - 12 episode(s)      - 15 min. per ep.      - Comedy, Mecha, Romance, Sci-Fi, Shoujo Ai, Shounen                              - https://myanimelist.net/anime/555
Kuragehime: Soreike! Amars Tankentai                                                        - 5.70  - 2010 - 6 episode(s)       - 30 sec. per ep.      - Adventure, Comedy, Josei                                                        - https://myanimelist.net/anime/10391
Kuroi Ame ni Utarete                                                                        - 6.13  - 1984 - 1 episode(s)       - 1 hr. 30 min.        - Drama, Historical                                                               - https://myanimelist.net/anime/19135
Kyouran Kazoku Nikki                                                                        - 7.34  - 2008 - 26 episode(s)      - 24 min. per ep.      - Comedy, Sci-Fi                                                                  - https://myanimelist.net/anime/3577
Lady Lady!! (1988)                                                                          - 6.73  - 1988 - 1 episode(s)       - 27 min.              - Drama, Shoujo                                                                   - https://myanimelist.net/anime/9773
Last Period: Owarinaki Rasen no Monogatari                                                  - N/A   - 2018 - 12 episode(s)      - Unknown              - Action, Adventure, Comedy, Fantasy, Magic                                       - https://myanimelist.net/anime/37254
Licca-chan to Yamaneko Hoshi no Tabi                                                        - 5.92  - 1997 - 1 episode(s)       - 1 hr. 18 min.        - Adventure, Fantasy, Kids, Magic                                                 - https://myanimelist.net/anime/9878
Love & Gift                                                                                 - 4.97  - 2015 - 1 episode(s)       - 2 min.               - Slice of Life                                                                   - https://myanimelist.net/anime/31512
Love                                                                                        - 3.21  - 2015 - 1 episode(s)       - 4 min.               - Music                                                                           - https://myanimelist.net/anime/36113
Lupin III: The Last Job                                                                     - 7.10  - 2010 - 1 episode(s)       - 1 hr. 32 min.        - Adventure, Comedy, Shounen                                                      - https://myanimelist.net/anime/8097
