Title                                                                                               - Score - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
Alps Monogatari: Watashi no Annette Specials                                                        - 5.74  - 2 episode(s)       - 45 min. per ep.       - Slice of Life, Drama                                                                                                                                           - https://myanimelist.net/anime/24647
Alps Monogatari: Watashi no Annette                                                                 - 6.73  - 48 episode(s)      - 25 min. per ep.       - Slice of Life, Historical, Drama                                                                                                                               - https://myanimelist.net/anime/2546
Alps no Shoujo Heidi (1979)                                                                         - 6.92  - 1 episode(s)       - 1 hr. 47 min.         - Drama, Historical, Slice of Life                                                                                                                               - https://myanimelist.net/anime/9547
Alps no Shoujo Heidi Pilot                                                                          - 5.53  - 1 episode(s)       - 5 min.                - Comedy, Drama, Slice of Life                                                                                                                                   - https://myanimelist.net/anime/10813
Alps no Shoujo Heidi: Alm no Yama-hen                                                               - 6.58  - 1 episode(s)       - 1 hr. 28 min.         - Slice of Life, Historical, Drama                                                                                                                               - https://myanimelist.net/anime/9548
Alps no Shoujo Heidi: Heidi to Clara-hen                                                            - 6.62  - 1 episode(s)       - 1 hr. 29 min.         - Slice of Life, Historical, Drama                                                                                                                               - https://myanimelist.net/anime/9549
Ama Gli Animali                                                                                     - 5.08  - 1 episode(s)       - 1 min.                - Kids                                                                                                                                                           - https://myanimelist.net/anime/32253
Amaenaide yo!! Katsu!!: Damasarenaide yo!!                                                          - 6.73  - 1 episode(s)       - 23 min.               - Ecchi, Comedy, Romance, Supernatural                                                                                                                           - https://myanimelist.net/anime/1750
Amaenaide yo!!: Yasumanaide yo!!                                                                    - 6.78  - 1 episode(s)       - 23 min.               - Ecchi, Comedy, Romance, Supernatural                                                                                                                           - https://myanimelist.net/anime/1749
Amagami SS+ Plus Specials                                                                           - 7.31  - 6 episode(s)       - 3 min. per ep.        - Romance                                                                                                                                                        - https://myanimelist.net/anime/12669
Amagami SS: Tachibana Miya-hen - Imouto                                                             - 7.32  - 1 episode(s)       - 24 min.               - School                                                                                                                                                         - https://myanimelist.net/anime/9925
Ame to Shoujo to Watashi no Tegami                                                                  - 5.89  - 1 episode(s)       - 6 min.                - Shoujo                                                                                                                                                         - https://myanimelist.net/anime/1223
Anata mo Robot ni Nareru feat. Kamome Jidou Gasshoudan                                              - 4.83  - 1 episode(s)       - 4 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/30431
And And                                                                                             - 5.46  - 1 episode(s)       - 6 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/19217
Andersen Douwa: Ningyohime                                                                          - 7.21  - 1 episode(s)       - 1 hr. 8 min.          - Fantasy, Romance, Shoujo                                                                                                                                       - https://myanimelist.net/anime/3043
Andersen Monogatari                                                                                 - 6.20  - 1 episode(s)       - 1 hr. 20 min.         - Kids, Fantasy, Drama                                                                                                                                           - https://myanimelist.net/anime/5098
Andes Shounen Pepero no Bouken                                                                      - 6.78  - 26 episode(s)      - 24 min. per ep.       - Adventure                                                                                                                                                      - https://myanimelist.net/anime/5104
Angel's Feather                                                                                     - 5.58  - 2 episode(s)       - 30 min. per ep.       - Sci-Fi, Supernatural, Drama, Romance, Fantasy, Shounen Ai                                                                                                      - https://myanimelist.net/anime/1640
Angelique: Seichi yori Ai wo Komete                                                                 - 6.45  - 3 episode(s)       - 30 min. per ep.       - Adventure, Comedy, Drama, Fantasy, Romance, Sci-Fi, Shoujo                                                                                                     - https://myanimelist.net/anime/2535
Angelique: Shiroi Tsubasa no Memoire                                                                - 6.09  - 2 episode(s)       - 30 min. per ep.       - Sci-Fi, Harem, Drama, Magic, Romance, Fantasy, Shoujo                                                                                                          - https://myanimelist.net/anime/2536
Angelique: Twin Collection                                                                          - 6.23  - 8 episode(s)       - 30 min. per ep.       - Fantasy, Sci-Fi, Shoujo                                                                                                                                        - https://myanimelist.net/anime/2537
Angelique                                                                                           - 6.48  - 3 episode(s)       - 30 min. per ep.       - Sci-Fi, Harem, Drama, Romance, Fantasy, Shoujo                                                                                                                 - https://myanimelist.net/anime/2534
Animation Kikou: Marco Polo no Bouken                                                               - 6.45  - 43 episode(s)      - 20 min. per ep.       - Adventure, Historical                                                                                                                                          - https://myanimelist.net/anime/5935
Animation Seisaku Shinkou Kuromi-chan 2                                                             - 7.02  - 1 episode(s)       - 47 min.               - Comedy, Parody, Drama                                                                                                                                          - https://myanimelist.net/anime/1798
