Title                                                                                                - Score - Num Eps            - Duration              - Genre(s)                                                                                                 - Link
Alien 9                                                                                              - 6.69  - 4 episode(s)       - 28 min. per ep.       - Sci-Fi, Horror, Psychological, School                                                                    - https://myanimelist.net/anime/1177
Allargando The Animation                                                                             - 6.51  - 1 episode(s)       - 27 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/30128
Amaama to Inazuma                                                                                    - 7.57  - 12 episode(s)      - 24 min. per ep.       - Slice of Life, Comedy, Seinen                                                                            - https://myanimelist.net/anime/32828
Amaenaide yo!! Katsu!!                                                                               - 6.84  - 12 episode(s)      - 24 min. per ep.       - Comedy, Ecchi, Harem, Romance, Supernatural                                                              - https://myanimelist.net/anime/886
Amaenaide yo!!                                                                                       - 6.62  - 12 episode(s)      - 24 min. per ep.       - Comedy, Ecchi, Harem, Romance, Supernatural                                                              - https://myanimelist.net/anime/591
Amanchu! Advance                                                                                     - N/A   - 12 episode(s)      - 23 min. per ep.       - Slice of Life, Comedy, School, Shounen                                                                   - https://myanimelist.net/anime/36800
Amanchu!                                                                                             - 7.33  - 12 episode(s)      - 23 min. per ep.       - Slice of Life, Comedy, School, Shounen                                                                   - https://myanimelist.net/anime/31771
Amanee!: Tomodachinchi de Konna Koto ni Naru Nante!                                                  - 6.96  - 1 episode(s)       - 25 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/21069
Amatsuki                                                                                             - 7.00  - 13 episode(s)      - 23 min. per ep.       - Action, Historical, Supernatural, Fantasy, Josei                                                         - https://myanimelist.net/anime/3359
Amefuri Kozou                                                                                        - 6.33  - 1 episode(s)       - 24 min.               - Supernatural, Fantasy                                                                                    - https://myanimelist.net/anime/6462
Amon: Devilman Mokushiroku                                                                           - 6.59  - 1 episode(s)       - 45 min.               - Demons, Horror, Psychological, Supernatural                                                              - https://myanimelist.net/anime/2356
Android Ana Maico 2010                                                                               - 6.56  - 24 episode(s)      - 14 min. per ep.       - Comedy, Drama, Sci-Fi, Seinen                                                                            - https://myanimelist.net/anime/810
Andromeda Stories                                                                                    - 6.04  - 1 episode(s)       - 1 hr. 25 min.         - Action, Drama, Fantasy, Sci-Fi, Space                                                                    - https://myanimelist.net/anime/3675
Ane Koi: Suki Kirai Daisuki.                                                                         - 6.99  - 2 episode(s)       - 26 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/16642
Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue Specials                         - 5.36  - 3 episode(s)       - 5 min. per ep.        - Comedy, Ecchi                                                                                            - https://myanimelist.net/anime/30739
Ane Log: Moyako Neesan no Tomaranai Monologue                                                        - 6.30  - 3 episode(s)       - 23 min. per ep.       - Comedy, Ecchi, School, Shounen                                                                           - https://myanimelist.net/anime/24531
Aneki... My Sweet Elder Sister The Animation                                                         - 6.95  - 4 episode(s)       - 30 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/4600
Angel Densetsu                                                                                       - 7.49  - 2 episode(s)       - 24 min. per ep.       - Action, Comedy, School                                                                                   - https://myanimelist.net/anime/5251
Angel Heart                                                                                          - 7.36  - 50 episode(s)      - 23 min. per ep.       - Action, Mystery, Drama, Romance, Seinen                                                                  - https://myanimelist.net/anime/282
Animal Yokochou                                                                                      - 7.03  - 51 episode(s)      - 23 min. per ep.       - Adventure, Comedy, Fantasy, Shoujo                                                                       - https://myanimelist.net/anime/280
Anne Happy♪                                                                                          - 7.09  - 12 episode(s)      - 23 min. per ep.       - Slice of Life, Comedy, School                                                                            - https://myanimelist.net/anime/31080
Ano Ko ni 1000%                                                                                      - 5.39  - 1 episode(s)       - 10 min.               - Romance, School, Shoujo                                                                                  - https://myanimelist.net/anime/7475
Ano Ko to Ii Koto                                                                                    - 6.88  - 2 episode(s)       - 19 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/31117
Ansatsu Kyoushitsu (TV) 2nd Season: Kagaijugyou-hen                                                  - 7.91  - 8 episode(s)       - 5 min. per ep.        - Action, Comedy, School, Shounen                                                                          - https://myanimelist.net/anime/32863
Ansatsu Kyoushitsu (TV) 2nd Season                                                                   - 8.66  - 25 episode(s)      - 23 min. per ep.       - Action, Comedy, School, Shounen                                                                          - https://myanimelist.net/anime/30654
Answer (2016)                                                                                        - 7.40  - 1 episode(s)       - 5 min.                - Music, Drama, Seinen                                                                                     - https://myanimelist.net/anime/34611
Ao Haru Ride OVA                                                                                     - 7.73  - 2 episode(s)       - 21 min. per ep.       - Slice of Life, Romance, School, Shoujo                                                                   - https://myanimelist.net/anime/24151
Ao no 6-gou                                                                                          - 7.14  - 4 episode(s)       - 32 min. per ep.       - Action, Adventure, Mecha, Military, Sci-Fi                                                               - https://myanimelist.net/anime/1051
Ao no Exorcist: Kyoto Fujouou-hen                                                                    - 7.72  - 12 episode(s)      - 24 min. per ep.       - Action, Demons, Supernatural, Fantasy, Shounen                                                           - https://myanimelist.net/anime/33506
Ao no Exorcist                                                                                       - 7.85  - 25 episode(s)      - 24 min. per ep.       - Action, Demons, Fantasy, Shounen, Supernatural                                                           - https://myanimelist.net/anime/9919
Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!                                                     - 7.34  - 1 episode(s)       - 24 min.               - Action, Comedy, Shounen                                                                                  - https://myanimelist.net/anime/31754
Aoharu x Kikanjuu                                                                                    - 7.29  - 12 episode(s)      - 24 min. per ep.       - Action, Comedy, Sports, Shounen                                                                          - https://myanimelist.net/anime/30205
Aoi Triton                                                                                           - 6.40  - 1 episode(s)       - 8 min.                -                                                                                                          - https://myanimelist.net/anime/36163
Aoki Hagane no Arpeggio: Ars Nova - Kirikumas                                                        - 6.77  - 13 episode(s)      - 1 min. per ep.        - Comedy, Parody                                                                                           - https://myanimelist.net/anime/23627
Aoki Hagane no Arpeggio: Ars Nova DC                                                                 - 7.54  - 1 episode(s)       - 1 hr. 45 min.         - Action, Sci-Fi, Seinen                                                                                   - https://myanimelist.net/anime/24919
Aoki Honoo                                                                                           - 5.18  - 1 episode(s)       - 47 min.               - Romance, Drama, Seinen                                                                                   - https://myanimelist.net/anime/3306
Apache Yakyuugun                                                                                     - 5.74  - 26 episode(s)      - 25 min. per ep.       - Action, Sports, School                                                                                   - https://myanimelist.net/anime/3844
Appleseed (Movie)                                                                                    - 7.19  - 1 episode(s)       - 1 hr. 45 min.         - Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen                                                  - https://myanimelist.net/anime/54
Appleseed                                                                                            - 6.75  - 1 episode(s)       - 1 hr. 6 min.          - Action, Sci-Fi, Adventure, Police, Mecha                                                                 - https://myanimelist.net/anime/937
Arai Men to YuYu The Animation                                                                       - 6.87  - 2 episode(s)       - 27 min. per ep.       - Hentai, Demons, Supernatural, School                                                                     - https://myanimelist.net/anime/4010
Area 88 (TV)                                                                                         - 7.13  - 12 episode(s)      - 25 min. per ep.       - Action, Drama, Military, Romance, Shounen                                                                - https://myanimelist.net/anime/284
Area 88 Movie                                                                                        - 6.66  - 1 episode(s)       - 1 hr. 39 min.         - Action, Military, Adventure, Drama, Romance                                                              - https://myanimelist.net/anime/33232
Area 88                                                                                              - 7.64  - 3 episode(s)       - 1 hr. 5 min. per ep.  - Action, Military, Adventure, Drama, Romance                                                              - https://myanimelist.net/anime/1488
Area no Kishi                                                                                        - 7.34  - 37 episode(s)      - 25 min. per ep.       - Comedy, School, Shounen, Sports                                                                          - https://myanimelist.net/anime/11697
Aria The Animation                                                                                   - 7.76  - 13 episode(s)      - 24 min. per ep.       - Fantasy, Sci-Fi, Shounen, Slice of Life                                                                  - https://myanimelist.net/anime/477
Aria The Natural                                                                                     - 8.27  - 26 episode(s)      - 24 min. per ep.       - Fantasy, Sci-Fi, Shounen, Slice of Life                                                                  - https://myanimelist.net/anime/962
Aria The OVA: Arietta                                                                                - 8.10  - 1 episode(s)       - 30 min.               - Fantasy, Sci-Fi, Shounen, Slice of Life                                                                  - https://myanimelist.net/anime/2563
Aria The Origination                                                                                 - 8.60  - 13 episode(s)      - 24 min. per ep.       - Fantasy, Sci-Fi, Shounen, Slice of Life                                                                  - https://myanimelist.net/anime/3297
Arion                                                                                                - 6.33  - 1 episode(s)       - 2 hr.                 - Action, Adventure, Fantasy, Magic, Drama, Seinen                                                         - https://myanimelist.net/anime/791
Arslan Senki (TV) OVA                                                                                - 7.04  - 2 episode(s)       - 24 min. per ep.       - Adventure, Historical, Fantasy, Shounen                                                                  - https://myanimelist.net/anime/33254
Arslan Senki (TV) Specials                                                                           - 6.73  - 8 episode(s)       - 1 min. per ep.        - Comedy                                                                                                   - https://myanimelist.net/anime/30953
Arslan Senki (TV): Dakkan no Yaiba                                                                   - 6.55  - 1 episode(s)       - 24 min.               - Action, Adventure, Fantasy, Supernatural, Historical, Drama                                              - https://myanimelist.net/anime/31128
Arslan Senki (TV): Fuujin Ranbu - 4-koma Gekijou                                                     - 6.29  - 4 episode(s)       - 1 min. per ep.        - Comedy                                                                                                   - https://myanimelist.net/anime/36498
