Title                                                             - Score - Num Eps            - Duration             - Genre(s)                                                              - Link
Joker Game                                                        - 7.15  - 12 episode(s)      - 23 min. per ep.      - Drama, Historical, Military                                           - https://myanimelist.net/anime/31405
Junkers Come Here                                                 - 7.24  - 1 episode(s)       - 1 hr. 39 min.        - Slice of Life, Drama                                                  - https://myanimelist.net/anime/1116
Juugo Shounen Hyouryuuki                                          - 6.27  - 1 episode(s)       - 1 hr. 25 min.        - Adventure, Historical, Drama                                          - https://myanimelist.net/anime/5013
Juuni Kokuki                                                      - 8.14  - 45 episode(s)      - 25 min. per ep.      - Action, Adventure, Fantasy, Magic, Supernatural                       - https://myanimelist.net/anime/153
Juuni Taisen                                                      - 6.75  - 12 episode(s)      - 24 min. per ep.      - Action                                                                - https://myanimelist.net/anime/35076
Kabuki-bu!: Oogiri "Chiyocolate-gassen"                           - 5.43  - 1 episode(s)       - Unknown              - School                                                                - https://myanimelist.net/anime/35416
Kabuki-bu!                                                        - 6.65  - 12 episode(s)      - 24 min. per ep.      - School                                                                - https://myanimelist.net/anime/33840
Kaitei Daisensou: Ai no 20,000 Miles                              - 6.00  - 1 episode(s)       - 1 hr. 13 min.        - Action, Adventure                                                     - https://myanimelist.net/anime/5581
Kamui no Ken                                                      - 6.69  - 1 episode(s)       - 2 hr. 12 min.        - Adventure, Fantasy, Historical, Drama, Shounen                        - https://myanimelist.net/anime/496
Kaze no Shoujo Emily                                              - 7.56  - 26 episode(s)      - 25 min. per ep.      - Historical, Drama, Shoujo                                             - https://myanimelist.net/anime/1878
Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone Specials    - 6.28  - 2 episode(s)       - 45 min. per ep.      - Slice of Life, Adventure, Historical, Drama                           - https://myanimelist.net/anime/24681
Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone             - 7.28  - 50 episode(s)      - 24 min. per ep.      - Adventure, Drama, Historical, Slice of Life                           - https://myanimelist.net/anime/2544
Kemono no Souja Erin Recap                                        - 7.07  - 10 episode(s)      - 20 min. per ep.      - Adventure, Slice of Life, Historical, Drama, Fantasy                  - https://myanimelist.net/anime/7904
Kemono no Souja Erin                                              - 8.44  - 50 episode(s)      - 25 min. per ep.      - Drama, Fantasy, Slice of Life                                         - https://myanimelist.net/anime/5420
Kimi no Suizou wo Tabetai                                         - N/A   - 1 episode(s)       - Unknown              - Drama                                                                 - https://myanimelist.net/anime/36098
Konnichiwa Anne: Before Green Gables                              - 7.63  - 39 episode(s)      - 20 min. per ep.      - Drama, Historical, Kids, Slice of Life                                - https://myanimelist.net/anime/5494
Kubikiri Cycle: Aoiro Savant to Zaregototsukai                    - 7.95  - 8 episode(s)       - 30 min. per ep.      - Action, Mystery, Supernatural, Drama                                  - https://myanimelist.net/anime/33263
Kujira no Josephina                                               - 6.44  - 23 episode(s)      - 25 min. per ep.      - Adventure, Fantasy                                                    - https://myanimelist.net/anime/5886
Kumo no Gakkou                                                    - 7.00  - 1 episode(s)       - 1 hr. 30 min.        - Slice of Life, Drama                                                  - https://myanimelist.net/anime/34744
Kumo no You ni Kaze no You ni                                     - 6.96  - 1 episode(s)       - 1 hr. 20 min.        - Adventure, Historical, Drama, Romance                                 - https://myanimelist.net/anime/1032
Kuuchuu Buranko                                                   - 8.06  - 11 episode(s)      - 23 min. per ep.      - Comedy, Psychological, Drama, Seinen                                  - https://myanimelist.net/anime/6774
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari                     - 7.23  - 13 episode(s)      - 24 min. per ep.      - Fantasy, Historical, Horror, Mystery, Psychological, Supernatural     - https://myanimelist.net/anime/279
Les Misérables: Shoujo Cosette                                    - 7.97  - 52 episode(s)      - 24 min. per ep.      - Slice of Life, Historical, Drama, Shoujo                              - https://myanimelist.net/anime/1695
Lesson XX                                                         - 6.05  - 1 episode(s)       - 45 min.              - Romance, Shounen Ai                                                   - https://myanimelist.net/anime/1908
Ling Yu 2nd Season                                                - 7.38  - 10 episode(s)      - 15 min. per ep.      - Fantasy                                                               - https://myanimelist.net/anime/36790
Ling Yu: Di San Ji                                                - 7.58  - 12 episode(s)      - 15 min. per ep.      - Fantasy                                                               - https://myanimelist.net/anime/36791
Ling Yu                                                           - N/A   - 10 episode(s)      - 12 min. per ep.      - Fantasy                                                               - https://myanimelist.net/anime/36291
Liz to Aoi Tori                                                   - N/A   - 1 episode(s)       - Unknown              - Music, Drama, School                                                  - https://myanimelist.net/anime/35677
Lodoss-tou Senki: Eiyuu Kishi Den                                 - 7.23  - 27 episode(s)      - 24 min. per ep.      - Action, Adventure, Drama, Magic, Romance, Fantasy                     - https://myanimelist.net/anime/206
Lodoss-tou Senki                                                  - 7.52  - 13 episode(s)      - 25 min. per ep.      - Action, Adventure, Fantasy, Magic, Shounen, Supernatural              - https://myanimelist.net/anime/207
Mai Mai Shinko to Sennen no Mahou                                 - 7.33  - 1 episode(s)       - 1 hr. 33 min.        - Adventure, Drama                                                      - https://myanimelist.net/anime/5084
Majo no Takkyuubin                                                - 8.29  - 1 episode(s)       - 1 hr. 45 min.        - Adventure, Comedy, Drama, Magic, Romance, Fantasy                     - https://myanimelist.net/anime/512
Makai Tenshou                                                     - 5.29  - 2 episode(s)       - 40 min. per ep.      - Action, Supernatural, Samurai, Historical                             - https://myanimelist.net/anime/1455
Makai Toshi Shinjuku                                              - 6.31  - 1 episode(s)       - 1 hr. 19 min.        - Adventure, Horror, Romance, Shounen, Supernatural                     - https://myanimelist.net/anime/499
Mang Huang Ji                                                     - N/A   - 19 episode(s)      - 12 min. per ep.      - Action, Adventure, Fantasy, Historical, Martial Arts                  - https://myanimelist.net/anime/37186
Mardock Scramble: The Third Exhaust                               - 7.55  - 1 episode(s)       - 1 hr. 8 min.         - Action, Psychological, Sci-Fi                                         - https://myanimelist.net/anime/12053
Meiken Jolie                                                      - 6.80  - 52 episode(s)      - 22 min. per ep.      - Adventure, Historical                                                 - https://myanimelist.net/anime/3836
Meiken Lassie: Yume ni Mukatte Hashire!                           - 7.50  - 1 episode(s)       - 23 min.              - Adventure, Kids, Slice of Life                                        - https://myanimelist.net/anime/35593
Meitantei Holmes                                                  - 7.44  - 26 episode(s)      - 25 min. per ep.      - Adventure, Mystery, Comedy                                            - https://myanimelist.net/anime/1972
Mirai Shounen Conan (Movie)                                       - 7.14  - 1 episode(s)       - 2 hr. 2 min.         - Adventure, Drama, Sci-Fi                                              - https://myanimelist.net/anime/7308
Mirai Shounen Conan: Kyodaiki Gigant no Fukkatsu                  - 6.92  - 1 episode(s)       - 47 min.              - Sci-Fi, Adventure, Drama                                              - https://myanimelist.net/anime/2614
Mirai Shounen Conan                                               - 8.14  - 26 episode(s)      - 29 min. per ep.      - Adventure, Drama, Sci-Fi                                              - https://myanimelist.net/anime/302
Mobile Suit Gundam Unicorn RE:0096                                - 7.54  - 22 episode(s)      - 23 min. per ep.      - Action, Drama, Mecha, Military, Sci-Fi, Space                         - https://myanimelist.net/anime/32792
Mobile Suit Gundam Unicorn                                        - 8.32  - 7 episode(s)       - 1 hr. 2 min. per ep. - Action, Drama, Mecha, Military, Sci-Fi, Space                         - https://myanimelist.net/anime/6336
Mobile Suit Gundam: Char's Counterattack                          - 7.77  - 1 episode(s)       - 1 hr. 59 min.        - Military, Sci-Fi, Space, Drama, Mecha                                 - https://myanimelist.net/anime/87
Mobile Suit Gundam: Twilight Axis - Akaki Zan-ei                  - 6.38  - 1 episode(s)       - Unknown              - Action, Military, Sci-Fi, Space, Mecha                                - https://myanimelist.net/anime/36436
