Title                                                                                          - Score - Year    - Num Eps            - Duration             - Genre(s)                                                                 - Link
Karigurashi no Arrietty                                                                        - 8.06  - 2010    - 1 episode(s)       - 1 hr. 34 min.        - Fantasy                                                                  - https://myanimelist.net/anime/7711
Kaze no Shoujo Emily                                                                           - 7.53  - 2007    - 26 episode(s)      - 25 min. per ep.      - Historical, Drama, Shoujo                                                - https://myanimelist.net/anime/1878
Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone Specials                                 - 6.22  - 2001    - 2 episode(s)       - 45 min. per ep.      - Slice of Life, Adventure, Historical, Drama                              - https://myanimelist.net/anime/24681
Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone                                          - 7.29  - 1981    - 50 episode(s)      - 24 min. per ep.      - Adventure, Drama, Historical, Slice of Life                              - https://myanimelist.net/anime/2544
Kemono no Souja Erin Recap                                                                     - 7.03  - 2010    - 10 episode(s)      - 20 min. per ep.      - Adventure, Slice of Life, Historical, Drama, Fantasy                     - https://myanimelist.net/anime/7904
Kemono no Souja Erin                                                                           - 8.43  - 2009    - 50 episode(s)      - 25 min. per ep.      - Drama, Fantasy, Slice of Life                                            - https://myanimelist.net/anime/5420
Kikansha Sensei                                                                                - 6.15  - 1997    - 1 episode(s)       - 1 hr. 40 min.        - Comedy, School, Slice of Life                                            - https://myanimelist.net/anime/23085
Kimi no Suizou wo Tabetai                                                                      - N/A   - 2018    - 1 episode(s)       - Unknown              - Drama                                                                    - https://myanimelist.net/anime/36098
Kojika Monogatari                                                                              - 6.54  - 1983    - 52 episode(s)      - 30 min. per ep.      - Drama                                                                    - https://myanimelist.net/anime/2568
Konnichiwa Anne: Before Green Gables                                                           - 7.62  - 2009    - 39 episode(s)      - 20 min. per ep.      - Drama, Historical, Kids, Slice of Life                                   - https://myanimelist.net/anime/5494
Kubikiri Cycle: Aoiro Savant to Zaregototsukai                                                 - 7.92  - 2016    - 8 episode(s)       - 30 min. per ep.      - Action, Mystery, Supernatural, Drama                                     - https://myanimelist.net/anime/33263
Kujira no Josephina                                                                            - 6.43  - 1979    - 23 episode(s)      - 25 min. per ep.      - Adventure, Fantasy                                                       - https://myanimelist.net/anime/5886
Kumo no Gakkou                                                                                 - 6.00  - 2005    - 1 episode(s)       - 1 hr. 30 min.        - Slice of Life, Drama                                                     - https://myanimelist.net/anime/34744
Kumo no You ni Kaze no You ni                                                                  - 6.95  - 1990    - 1 episode(s)       - 1 hr. 20 min.        - Adventure, Historical, Drama, Romance                                    - https://myanimelist.net/anime/1032
Kuromajo-san ga Tooru!!                                                                        - 6.49  - 2012    - 60 episode(s)      - 7 min. per ep.       - Comedy, Magic, School, Slice of Life                                     - https://myanimelist.net/anime/13159
Kuuchuu Buranko                                                                                - 8.05  - 2009    - 11 episode(s)      - 23 min. per ep.      - Comedy, Psychological, Drama, Seinen                                     - https://myanimelist.net/anime/6774
Kyoto Teramachi Sanjou no Holmes                                                               - N/A   - 2018    - Unknown episode(s) - Unknown              - Mystery                                                                  - https://myanimelist.net/anime/37458
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari                                                  - 7.23  - 2003    - 13 episode(s)      - 24 min. per ep.      - Fantasy, Historical, Horror, Mystery, Psychological, Supernatural        - https://myanimelist.net/anime/279
Les Misérables: Shoujo Cosette                                                                 - 7.97  - 2007    - 52 episode(s)      - 24 min. per ep.      - Slice of Life, Historical, Drama, Shoujo                                 - https://myanimelist.net/anime/1695
Lesson XX                                                                                      - 6.05  - 1995    - 1 episode(s)       - 45 min.              - Romance, Shounen Ai                                                      - https://myanimelist.net/anime/1908
Ling Yu 2nd Season                                                                             - 6.93  - 2016    - 10 episode(s)      - 15 min. per ep.      - Fantasy                                                                  - https://myanimelist.net/anime/36790
Ling Yu: Di San Ji                                                                             - 6.95  - 2016    - 12 episode(s)      - 15 min. per ep.      - Fantasy                                                                  - https://myanimelist.net/anime/36791
Ling Yu                                                                                        - 6.74  - 2015    - 10 episode(s)      - 12 min. per ep.      - Fantasy                                                                  - https://myanimelist.net/anime/36291
Liz to Aoi Tori                                                                                - 7.24  - 2018    - 1 episode(s)       - 1 hr. 30 min.        - Music, Drama, School                                                     - https://myanimelist.net/anime/35677
Lodoss-tou Senki: Eiyuu Kishi Den                                                              - 7.22  - 1998    - 27 episode(s)      - 24 min. per ep.      - Action, Adventure, Drama, Magic, Romance, Fantasy                        - https://myanimelist.net/anime/206
Lodoss-tou Senki                                                                               - 7.52  - 1990    - 13 episode(s)      - 25 min. per ep.      - Action, Adventure, Fantasy, Magic, Shounen, Supernatural                 - https://myanimelist.net/anime/207
Log Horizon 2nd Season                                                                         - 7.67  - 2014    - 25 episode(s)      - 24 min. per ep.      - Action, Adventure, Fantasy, Game, Magic                                  - https://myanimelist.net/anime/23321
Log Horizon                                                                                    - 8.09  - 2013    - 25 episode(s)      - 25 min. per ep.      - Action, Game, Adventure, Magic, Fantasy                                  - https://myanimelist.net/anime/17265
Loups=Garous Pilot                                                                             - 5.77  - 2010    - 1 episode(s)       - 12 min.              - Thriller, Mystery, Sci-Fi                                                - https://myanimelist.net/anime/12723
