Title                                                                                               - Score - Year    - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
Akuei to Gacchinpo The Movie: Chelsea no Gyakushuu/Akuei to Mahou no Hammer                         - 4.13  - 2005    - 1 episode(s)       - 1 hr. 45 min.         - Kids, Magic, Comedy                                                                                                                                            - https://myanimelist.net/anime/29842
Akuei to Gacchinpo: Tenkomori                                                                       - 4.20  - 2005    - 12 episode(s)      - 25 min. per ep.       - Kids, Comedy                                                                                                                                                   - https://myanimelist.net/anime/29843
Akuei to Gacchinpo                                                                                  - 4.41  - 2004    - 13 episode(s)      - 25 min. per ep.       - Kids, Comedy                                                                                                                                                   - https://myanimelist.net/anime/29836
Akuma to Himegimi                                                                                   - 4.48  - 1981    - 1 episode(s)       - 31 min.               - Comedy, Shoujo                                                                                                                                                 - https://myanimelist.net/anime/23779
Akuma-kun (Movie)                                                                                   - 6.00  - 1989    - 1 episode(s)       - 40 min.               - Adventure, Horror, Supernatural, Magic, Fantasy                                                                                                                - https://myanimelist.net/anime/8226
Akuma-kun: Youkoso Akuma Land e!!                                                                   - 5.16  - 1991    - 1 episode(s)       - 25 min.               - Adventure, Fantasy, Horror, Magic, Supernatural                                                                                                                - https://myanimelist.net/anime/8227
Alexander Senki Movie                                                                               - 6.04  - 2000    - 1 episode(s)       - 1 hr. 40 min.         - Action, Adventure, Dementia, Historical, Military, Mystery, Shounen, Supernatural                                                                              - https://myanimelist.net/anime/5157
Alexander Senki                                                                                     - 5.80  - 1999    - 13 episode(s)      - 20 min. per ep.       - Action, Adventure, Fantasy, Historical, Sci-Fi, Supernatural                                                                                                   - https://myanimelist.net/anime/1442
Ali Baba to 40-hiki no Touzoku                                                                      - 5.77  - 1971    - 1 episode(s)       - 55 min.               - Action, Fantasy                                                                                                                                                - https://myanimelist.net/anime/3843
Alice in Dreamland                                                                                  - 5.41  - 2015    - 1 episode(s)       - 44 min.               - Adventure, Dementia, Fantasy                                                                                                                                   - https://myanimelist.net/anime/31941
All That Gundam                                                                                     - 5.81  - 1989    - 1 episode(s)       - 1 min.                - Action, Sci-Fi, Mecha                                                                                                                                          - https://myanimelist.net/anime/5270
Alps Monogatari: Watashi no Annette                                                                 - 6.73  - 1983    - 48 episode(s)      - 25 min. per ep.       - Slice of Life, Historical, Drama                                                                                                                               - https://myanimelist.net/anime/2546
Alps no Shoujo Heidi (1979)                                                                         - 6.94  - 1979    - 1 episode(s)       - 1 hr. 47 min.         - Drama, Historical, Slice of Life                                                                                                                               - https://myanimelist.net/anime/9547
Alps no Shoujo Heidi: Alm no Yama-hen                                                               - 6.59  - 1996    - 1 episode(s)       - 1 hr. 28 min.         - Slice of Life, Historical, Drama                                                                                                                               - https://myanimelist.net/anime/9548
Alps no Shoujo Heidi: Heidi to Clara-hen                                                            - 6.63  - 1996    - 1 episode(s)       - 1 hr. 29 min.         - Slice of Life, Historical, Drama                                                                                                                               - https://myanimelist.net/anime/9549
Ama Gli Animali                                                                                     - 5.08  - 1983    - 1 episode(s)       - 1 min.                - Kids                                                                                                                                                           - https://myanimelist.net/anime/32253
Amaenaide yo!! Katsu!!: Damasarenaide yo!!                                                          - 6.73  - 2006    - 1 episode(s)       - 23 min.               - Ecchi, Comedy, Romance, Supernatural                                                                                                                           - https://myanimelist.net/anime/1750
Amaenaide yo!!: Yasumanaide yo!!                                                                    - 6.77  - 2005    - 1 episode(s)       - 23 min.               - Ecchi, Comedy, Romance, Supernatural                                                                                                                           - https://myanimelist.net/anime/1749
Amagami SS OVA                                                                                      - 7.35  - 2011    - 6 episode(s)       - 5 min. per ep.        - Romance, School                                                                                                                                                - https://myanimelist.net/anime/9117
Amagami SS: Tachibana Miya-hen - Imouto                                                             - 7.31  - 2011    - 1 episode(s)       - 24 min.               - School                                                                                                                                                         - https://myanimelist.net/anime/9925
Ame to Shoujo to Watashi no Tegami                                                                  - 5.88  - 2005    - 1 episode(s)       - 6 min.                - Shoujo                                                                                                                                                         - https://myanimelist.net/anime/1223
Amigo Tomodachi                                                                                     - 6.08  - 2000    - 1 episode(s)       - 15 min.               - School, Slice of Life                                                                                                                                          - https://myanimelist.net/anime/24865
Anata mo Robot ni Nareru feat. Kamome Jidou Gasshoudan                                              - 4.80  - 2014    - 1 episode(s)       - 4 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/30431
