Title                                                                                                - Score - Year    - Num Eps            - Duration              - Genre(s)                                                                                                 - Link
Akachan to Boku                                                                                      - 7.98  - 1996    - 35 episode(s)      - 25 min. per ep.       - Comedy, Drama, Shoujo                                                                                    - https://myanimelist.net/anime/1485
Akagami no Shirayuki-hime 2nd Season                                                                 - 8.13  - 2016    - 12 episode(s)      - 24 min. per ep.       - Drama, Romance, Fantasy, Shoujo                                                                          - https://myanimelist.net/anime/31173
Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page                                          - 7.79  - 2016    - 1 episode(s)       - 24 min.               - Drama, Fantasy, Romance, Shoujo                                                                          - https://myanimelist.net/anime/31483
Akagami no Shirayuki-hime                                                                            - 7.92  - 2015    - 12 episode(s)      - 24 min. per ep.       - Fantasy, Romance, Drama, Shoujo                                                                          - https://myanimelist.net/anime/30123
Akai Kiba: Blue Sonnet                                                                               - 6.09  - 1989    - 5 episode(s)       - 29 min. per ep.       - Action, Drama, Sci-Fi, Shoujo, Super Power                                                               - https://myanimelist.net/anime/2051
Akame ga Kill! Recap                                                                                 - 6.90  - 2014    - 1 episode(s)       - 42 min.               - Action, Adventure, Fantasy                                                                               - https://myanimelist.net/anime/26449
Akame ga Kill! Theater                                                                               - 6.70  - 2014    - 24 episode(s)      - 1 min. per ep.        - Comedy                                                                                                   - https://myanimelist.net/anime/25241
Akame ga Kill!                                                                                       - 7.80  - 2014    - 24 episode(s)      - 23 min. per ep.       - Action, Adventure, Drama, Fantasy, Shounen                                                               - https://myanimelist.net/anime/22199
Akatsuki no Yona OVA                                                                                 - 8.15  - 2015    - 3 episode(s)       - 23 min. per ep.       - Action, Comedy, Fantasy, Shoujo                                                                          - https://myanimelist.net/anime/30370
Akatsuki no Yona                                                                                     - 8.19  - 2014    - 24 episode(s)      - 24 min. per ep.       - Action, Adventure, Comedy, Fantasy, Romance, Shoujo                                                      - https://myanimelist.net/anime/25013
Akazukin Chacha OVA                                                                                  - 7.17  - 1995    - 3 episode(s)       - 24 min. per ep.       - Comedy, Fantasy, Magic                                                                                   - https://myanimelist.net/anime/367
Akazukin Chacha                                                                                      - 7.46  - 1994    - 74 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Fantasy, Magic, Romance, Shoujo                                                       - https://myanimelist.net/anime/103
Akebi no Hana: Maho                                                                                  - 5.78  - 2011    - 1 episode(s)       - 30 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/10552
Aki-Sora: Yume no Naka                                                                               - 6.32  - 2010    - 2 episode(s)       - 25 min. per ep.       - Ecchi, Romance, Seinen, Yuri                                                                             - https://myanimelist.net/anime/8577
Aki-Sora                                                                                             - 6.23  - 2009    - 1 episode(s)       - 21 min.               - Ecchi, Romance, Seinen                                                                                   - https://myanimelist.net/anime/6987
Akira                                                                                                - 8.16  - 1988    - 1 episode(s)       - 2 hr. 4 min.          - Action, Military, Sci-Fi, Adventure, Horror, Supernatural                                                - https://myanimelist.net/anime/47
Akkun to Kanojo                                                                                      - 6.52  - 2018    - Unknown episode(s) - 3 min.                - Comedy, Romance, School, Josei                                                                           - https://myanimelist.net/anime/36864
Aku no Hana                                                                                          - 7.18  - 2013    - 13 episode(s)      - 24 min. per ep.       - Drama, Psychological, Romance, School                                                                    - https://myanimelist.net/anime/16201
Akuemon                                                                                              - 6.21  - 1993    - 1 episode(s)       - 25 min.               - Fantasy, Romance                                                                                         - https://myanimelist.net/anime/14231
Akuma no Memumemu-chan                                                                               - 5.90  - 2018    - 1 episode(s)       - 5 min.                - Comedy, Demons, Ecchi, Shounen                                                                           - https://myanimelist.net/anime/36875
Akuma no Riddle: Shousha wa Dare? Nukiuchi Test                                                      - 6.64  - 2014    - 1 episode(s)       - 23 min.               - Action, Ecchi, Comedy, Shoujo Ai                                                                         - https://myanimelist.net/anime/24751
Akuma no Riddle                                                                                      - 6.78  - 2014    - 12 episode(s)      - 23 min. per ep.       - Action, School, Shoujo Ai                                                                                - https://myanimelist.net/anime/19429
Akuma-kun                                                                                            - 6.32  - 1989    - 42 episode(s)      - 25 min. per ep.       - Adventure, Fantasy, Horror, Magic, Supernatural                                                          - https://myanimelist.net/anime/8194
Al Caral no Isan                                                                                     - 5.68  - 1993    - 1 episode(s)       - 1 hr. 10 min.         - Sci-Fi, Space, Seinen                                                                                    - https://myanimelist.net/anime/6078
Alice to Zouroku                                                                                     - 7.20  - 2017    - 12 episode(s)      - 23 min. per ep.       - Adventure, Mystery, Seinen                                                                               - https://myanimelist.net/anime/34350
Alien 9                                                                                              - 6.68  - 2001    - 4 episode(s)       - 28 min. per ep.       - Sci-Fi, Horror, Psychological, School                                                                    - https://myanimelist.net/anime/1177
All Out!!                                                                                            - 7.22  - 2016    - 25 episode(s)      - 24 min. per ep.       - Sports, School, Seinen                                                                                   - https://myanimelist.net/anime/31588
Allargando The Animation                                                                             - 6.49  - 2015    - 1 episode(s)       - 27 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/30128
Amaama to Inazuma                                                                                    - 7.57  - 2016    - 12 episode(s)      - 24 min. per ep.       - Comedy, Seinen, Slice of Life                                                                            - https://myanimelist.net/anime/32828
