Title                                                                                                - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                      - Link
Ben-To                                                                                               - 7.42  - 2011 - 12 episode(s)      - 24 min. per ep.       - Action, Comedy, Martial Arts                                                                  - https://myanimelist.net/anime/10396
Bernard-jou Iwaku.                                                                                   - 6.03  - 2016 - 12 episode(s)      - 3 min. per ep.        - Comedy, School                                                                                - https://myanimelist.net/anime/33462
Big Order                                                                                            - 5.98  - 2015 - 1 episode(s)       - 38 min.               - Action, Super Power, Shounen                                                                  - https://myanimelist.net/anime/30137
Bihada Ichizoku                                                                                      - 5.82  - 2008 - 12 episode(s)      - 9 min. per ep.        - Drama, Parody, Shoujo                                                                         - https://myanimelist.net/anime/4908
Bikkuriman                                                                                           - 6.47  - 1987 - 75 episode(s)      - 24 min. per ep.       - Comedy, Fantasy                                                                               - https://myanimelist.net/anime/3909
Binzume Yousei                                                                                       - 6.52  - 2003 - 13 episode(s)      - 13 min. per ep.       - Comedy, Fantasy, Magic, Slice of Life                                                         - https://myanimelist.net/anime/348
Biohazard: Degeneration                                                                              - 7.15  - 2008 - 1 episode(s)       - 1 hr. 37 min.         - Action, Horror, Sci-Fi                                                                        - https://myanimelist.net/anime/3446
Bishoujo Yuugi Unit Crane Game Girls Galaxy                                                          - 4.84  - 2016 - 12 episode(s)      - 13 min. per ep.       - Game, Space, Comedy                                                                           - https://myanimelist.net/anime/33541
Black Bullet: Tenchuu＊Girls                                                                          - 6.18  - 2014 - 1 episode(s)       - 1 min.                - Fantasy                                                                                       - https://myanimelist.net/anime/30100
Black Cat                                                                                            - 7.49  - 2005 - 23 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Sci-Fi, Shounen, Super Power                                               - https://myanimelist.net/anime/68
Black Clover                                                                                         - 6.60  - 2017 - 51 episode(s)      - 23 min. per ep.       - Action, Comedy, Magic, Fantasy, Shounen                                                       - https://myanimelist.net/anime/34572
Black Jack (TV)                                                                                      - 7.71  - 2004 - 61 episode(s)      - 25 min. per ep.       - Drama                                                                                         - https://myanimelist.net/anime/2213
Black Lagoon: The Second Barrage                                                                     - 8.27  - 2006 - 12 episode(s)      - 24 min. per ep.       - Action, Seinen                                                                                - https://myanimelist.net/anime/1519
Blame! Special                                                                                       - 5.48  - 2003 - 1 episode(s)       - 4 min.                - Mecha, Sci-Fi                                                                                 - https://myanimelist.net/anime/3429
Blame!                                                                                               - 6.08  - 2003 - 6 episode(s)       - 6 min. per ep.        - Sci-Fi, Mecha                                                                                 - https://myanimelist.net/anime/1055
BlazBlue: Alter Memory                                                                               - 6.25  - 2013 - 12 episode(s)      - 24 min. per ep.       - Action, Fantasy                                                                               - https://myanimelist.net/anime/18767
Bleach                                                                                               - 7.90  - 2004 - 366 episode(s)     - 24 min. per ep.       - Action, Adventure, Comedy, Super Power, Supernatural, Shounen                                 - https://myanimelist.net/anime/269
Blend S                                                                                              - 7.60  - 2017 - 12 episode(s)      - 23 min. per ep.       - Slice of Life, Comedy                                                                         - https://myanimelist.net/anime/34618
Blood+                                                                                               - 7.76  - 2005 - 50 episode(s)      - 24 min. per ep.       - Action, Military, Mystery, Horror, Supernatural, Drama, Vampire                               - https://myanimelist.net/anime/150
Bloodivores                                                                                          - 5.69  - 2016 - 12 episode(s)      - 24 min. per ep.       - Action, Supernatural, Vampire                                                                 - https://myanimelist.net/anime/33985
Blue Drop: Tenshi-tachi no Gikyoku                                                                   - 6.83  - 2007 - 13 episode(s)      - 26 min. per ep.       - Sci-Fi, Drama, Shoujo Ai                                                                      - https://myanimelist.net/anime/2964
Blue Gender                                                                                          - 7.11  - 1999 - 26 episode(s)      - 23 min. per ep.       - Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama                             - https://myanimelist.net/anime/58
Blue Seed                                                                                            - 7.10  - 1994 - 26 episode(s)      - 23 min. per ep.       - Action, Adventure, Comedy, Demons, Drama, Ecchi, Horror, Mystery, Romance, Sci-Fi             - https://myanimelist.net/anime/998
Bobobo-bo Bo-bobo Recap                                                                              - 6.38  - 2004 - 1 episode(s)       - 25 min.               - Action, Parody, Comedy, Sci-Fi, Shounen                                                       - https://myanimelist.net/anime/30143
Boku no Chikyuu wo Mamotte: Kiniro no Toki Nasarete                                                  - 6.68  - 2001 - 1 episode(s)       - 27 min.               - Drama, Music, Romance, Sci-Fi, Shoujo                                                         - https://myanimelist.net/anime/10036
Boku no Kanojo ga Majimesugiru Sho-bitch na Ken                                                      - 6.46  - 2017 - 10 episode(s)      - 23 min. per ep.       - Comedy, Ecchi, Romance, School                                                                - https://myanimelist.net/anime/35712
Boku wa Kuma                                                                                         - 5.79  - 2006 - 1 episode(s)       - 2 min.                - Kids, Music, Slice of Life                                                                    - https://myanimelist.net/anime/7518
