Title                                                                                     - Score - Year - Num Eps            - Duration              - Genre(s)                                                                          - Link
Dededen                                                                                   - 5.92  - 2015 - 5 episode(s)       - 1 min. per ep.        - Slice of Life                                                                     - https://myanimelist.net/anime/30289
Dekobou Shingachou: Meian no Shippai                                                      - 6.83  - 1917 - 1 episode(s)       - 5 min.                - Comedy                                                                            - https://myanimelist.net/anime/23189
Denpa Onna to Seishun Otoko Special                                                       - 7.38  - 2012 - 1 episode(s)       - 29 min.               - Sci-Fi, Comedy                                                                    - https://myanimelist.net/anime/10638
Denpa-teki na Kanojo                                                                      - 7.71  - 2009 - 2 episode(s)       - 42 min. per ep.       - Mystery, Thriller, School                                                         - https://myanimelist.net/anime/5177
Densetsu no Yuusha Da Garn                                                                - 7.26  - 1992 - 46 episode(s)      - 24 min. per ep.       - Mecha, Sci-Fi, Shounen                                                            - https://myanimelist.net/anime/2803
Detarame Rock &amp; Roll Theory                                                           - 5.49  - 2017 - 1 episode(s)       - 2 min.                - Music                                                                             - https://myanimelist.net/anime/36597
Devilman: Yochou Sirene-hen                                                               - 7.09  - 1990 - 1 episode(s)       - 56 min.               - Demons, Horror, Sci-Fi, Supernatural                                              - https://myanimelist.net/anime/2355
Diabolik Lovers OVA                                                                       - 6.03  - 2015 - 1 episode(s)       - 11 min.               - Harem, School, Vampire, Shoujo                                                    - https://myanimelist.net/anime/27417
DigiGirl Pop!: Strawberry &amp; Pop Mix Flavor                                            - 6.09  - 2003 - 26 episode(s)      - 3 min. per ep.        - Comedy, Sci-Fi                                                                    - https://myanimelist.net/anime/7750
Digimon Adventure tri. 4: Soushitsu                                                       - 7.58  - 2017 - 1 episode(s)       - 1 hr. 22 min.         - Action, Adventure, Comedy, Drama                                                  - https://myanimelist.net/anime/34299
Dokidoki! Precure                                                                         - 6.89  - 2013 - 49 episode(s)      - 24 min. per ep.       - Action, Fantasy, Magic, Shoujo                                                    - https://myanimelist.net/anime/16419
Donna Donna                                                                               - 5.20  - 1966 - 1 episode(s)       - 2 min.                - Music, Slice of Life                                                              - https://myanimelist.net/anime/8719
Doraemon (1979)                                                                           - 7.74  - 1979 - 1787 episode(s)    - 11 min. per ep.       - Adventure, Comedy, Fantasy, Kids, Sci-Fi, Shounen                                 - https://myanimelist.net/anime/2471
Doukyuusei (Movie)                                                                        - 8.44  - 2016 - 1 episode(s)       - 1 hr.                 - Slice of Life, Romance, School, Shounen Ai                                        - https://myanimelist.net/anime/30346
Dragon Age: Blood Mage no Seisen                                                          - 6.20  - 2012 - 1 episode(s)       - 1 hr. 29 min.         - Action, Fantasy                                                                   - https://myanimelist.net/anime/11705
Dragon Ball GT                                                                            - 6.67  - 1996 - 64 episode(s)      - 23 min. per ep.       - Action, Adventure, Comedy, Fantasy, Magic, Sci-Fi, Shounen, Super Power           - https://myanimelist.net/anime/225
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks   - 7.82  - 1993 - 1 episode(s)       - 48 min.               - Adventure, Drama, Fantasy, Shounen                                                - https://myanimelist.net/anime/985
Dragon Ball                                                                               - 8.15  - 1986 - 153 episode(s)     - 24 min. per ep.       - Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power                    - https://myanimelist.net/anime/223
