Title                                                                            - Score - Year - Num Eps            - Duration              - Genre(s)                                                                     - Link
Chizu no Nai Bouken                                                              - 5.28  - 2017 - 1 episode(s)       - 5 min.                - Slice of Life                                                                - https://myanimelist.net/anime/35610
Choegang Habche: Mix Master                                                      - 6.47  - 2010 - 39 episode(s)      - 24 min. per ep.       - Adventure, Fantasy                                                           - https://myanimelist.net/anime/31246
Chokotto Kamen feat. Inoue Kikuko                                                - 3.24  - 2014 - 1 episode(s)       - 3 min.                - Music                                                                        - https://myanimelist.net/anime/35456
Chrno Crusade: Az demo Wakaru Chrno Crusade Kouza                                - 6.67  - 2004 - 11 episode(s)      - 3 min. per ep.        - Adventure, Comedy, Demons, Historical, Supernatural                          - https://myanimelist.net/anime/4450
Chuugakusei                                                                      - 4.86  - 2011 - 2 episode(s)       - 37 min. per ep.       - Comedy                                                                       - https://myanimelist.net/anime/31690
Circuit Angel: Ketsui no Starting Grid                                           - 5.60  - 1987 - 1 episode(s)       - 44 min.               - Action, Sports                                                               - https://myanimelist.net/anime/8898
City Hunter: Ryou no Propose                                                     - 6.67  - 2016 - 1 episode(s)       - 20 min.               - Action, Mystery, Comedy, Police                                              - https://myanimelist.net/anime/30818
Clamp Gakuen Tanteidan                                                           - 7.01  - 1997 - 26 episode(s)      - 24 min. per ep.       - Action, Mystery, Comedy, Shoujo                                              - https://myanimelist.net/anime/1844
Cluster A                                                                        - 5.46  - 2016 - 1 episode(s)       - 3 min.                - Music                                                                        - https://myanimelist.net/anime/34856
Cocolors                                                                         - 7.19  - 2017 - 1 episode(s)       - 45 min.               - Sci-Fi                                                                       - https://myanimelist.net/anime/34167
Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu                     - 7.49  - 2015 - 1 episode(s)       - 59 min.               - Action, Mecha, Military                                                      - https://myanimelist.net/anime/15199
Code Geass: Hangyaku no Lelouch III - Oudou                                      - N/A   - 2018 - 1 episode(s)       - 2 hr.                 - Action, Military, Sci-Fi, Super Power, Mecha, School                         - https://myanimelist.net/anime/34440
Cofun Gal no Coffy: Juuninin to Ikareru Kofun-tachi                              - 4.60  - 2008 - 1 episode(s)       - 30 min.               - Comedy                                                                       - https://myanimelist.net/anime/13509
Cosplay Complex                                                                  - 5.94  - 2002 - 3 episode(s)       - 29 min. per ep.       - Comedy, Ecchi, Parody, School                                                - https://myanimelist.net/anime/982
Crayon Shin-chan Gaiden: O-o-o no Shinnosuke                                     - 6.58  - 2017 - 13 episode(s)      - 7 min. per ep.        - Comedy, Parody, Supernatural, Seinen                                         - https://myanimelist.net/anime/35652
Crimson Girls: Chikan Shihai                                                     - 6.52  - 2012 - 3 episode(s)       - 21 min. per ep.       - Hentai                                                                       - https://myanimelist.net/anime/13325
Custom Reido                                                                     - 5.25  - 2001 - 1 episode(s)       - 30 min.               - Hentai                                                                       - https://myanimelist.net/anime/4463
D+vine Luv                                                                       - 6.41  - 2001 - 4 episode(s)       - 30 min. per ep.       - Hentai                                                                       - https://myanimelist.net/anime/2533
Dainiji Ura Nyuugakushiken The Animation                                         - 6.01  - 2017 - Unknown episode(s) - 23 min.               - Hentai                                                                       - https://myanimelist.net/anime/35238
Daisuki! BuBu ChaCha                                                             - 7.20  - 2001 - 26 episode(s)      - 25 min. per ep.       - Kids                                                                         - https://myanimelist.net/anime/4586
