Title                                                                                                - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
Ao no Exorcist: Kyoto Fujouou-hen OVA                                                                - 7.33  - 2017 - 2 episode(s)       - 24 min. per ep.       - Action, Demons, Supernatural, Fantasy, Shounen                                                                                                                 - https://myanimelist.net/anime/34465
Ao no Exorcist                                                                                       - 7.84  - 2011 - 25 episode(s)      - 24 min. per ep.       - Action, Demons, Fantasy, Shounen, Supernatural                                                                                                                 - https://myanimelist.net/anime/9919
Aoi Umi no Tristia                                                                                   - 5.82  - 2004 - 2 episode(s)       - 27 min. per ep.       - Adventure, Mecha                                                                                                                                               - https://myanimelist.net/anime/1586
Aoki Hagane no Arpeggio: Ars Nova - Kirikumas                                                        - 6.76  - 2014 - 13 episode(s)      - 1 min. per ep.        - Comedy, Parody                                                                                                                                                 - https://myanimelist.net/anime/23627
Appleseed (Movie)                                                                                    - 7.19  - 2004 - 1 episode(s)       - 1 hr. 45 min.         - Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen                                                                                                        - https://myanimelist.net/anime/54
Appleseed                                                                                            - 6.74  - 1988 - 1 episode(s)       - 1 hr. 6 min.          - Action, Sci-Fi, Adventure, Police, Mecha                                                                                                                       - https://myanimelist.net/anime/937
Aqua Kids                                                                                            - 4.75  - 2004 - 26 episode(s)      - 26 min. per ep.       - Adventure, Kids                                                                                                                                                - https://myanimelist.net/anime/34249
Arad Senki: Slap Up Party                                                                            - 6.82  - 2009 - 26 episode(s)      - 25 min. per ep.       - Action, Adventure, Comedy, Fantasy                                                                                                                             - https://myanimelist.net/anime/4657
Arakawa Under the Bridge                                                                             - 7.67  - 2010 - 13 episode(s)      - 24 min. per ep.       - Comedy, Romance, Seinen                                                                                                                                        - https://myanimelist.net/anime/7647
Arashi no Yoru ni: Himitsu no Tomodachi                                                              - 6.87  - 2012 - 26 episode(s)      - 23 min. per ep.       - Adventure, Drama                                                                                                                                               - https://myanimelist.net/anime/13029
Arbeit Shiyo!!                                                                                       - 6.04  - 2010 - 3 episode(s)       - 7 min. per ep.        - Hentai                                                                                                                                                         - https://myanimelist.net/anime/8652
Arc the Lad                                                                                          - 6.60  - 1999 - 26 episode(s)      - 22 min. per ep.       - Action, Adventure, Fantasy, Horror, Sci-Fi                                                                                                                     - https://myanimelist.net/anime/55
Aria The Natural                                                                                     - 8.26  - 2006 - 26 episode(s)      - 24 min. per ep.       - Fantasy, Sci-Fi, Shounen, Slice of Life                                                                                                                        - https://myanimelist.net/anime/962
Aria The Origination Picture Drama                                                                   - 7.22  - 2008 - 7 episode(s)       - 7 min. per ep.        - Fantasy, Sci-Fi, Shounen, Slice of Life                                                                                                                        - https://myanimelist.net/anime/5196
Armitage III: Poly-Matrix                                                                            - 7.16  - 1996 - 1 episode(s)       - 1 hr. 32 min.         - Action, Military, Sci-Fi, Adventure, Police, Romance, Mecha                                                                                                    - https://myanimelist.net/anime/493
Arslan Senki (TV)                                                                                    - 7.82  - 2015 - 25 episode(s)      - 24 min. per ep.       - Action, Adventure, Historical, Drama, Fantasy, Shounen                                                                                                         - https://myanimelist.net/anime/28249
Aruhi no Clamp Gakuen Tanteidan                                                                      - 6.33  - 2005 - 13 episode(s)      - 1 min. per ep.        - Comedy                                                                                                                                                         - https://myanimelist.net/anime/6107
Ashita e Attack!                                                                                     - 6.71  - 1977 - 23 episode(s)      - 24 min. per ep.       - Sports, School, Drama                                                                                                                                          - https://myanimelist.net/anime/4339
Ashita e Free Kick                                                                                   - 6.65  - 1992 - 52 episode(s)      - 23 min. per ep.       - Sports                                                                                                                                                         - https://myanimelist.net/anime/3874
Ashita e Mukau Hito                                                                                  - 5.67  - 2015 - 1 episode(s)       - 5 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/32750
Ashita no Joe                                                                                        - 8.27  - 1970 - 79 episode(s)      - 25 min. per ep.       - Action, Drama, Shounen, Slice of Life, Sports                                                                                                                  - https://myanimelist.net/anime/2402
Asobou! Hello Kitty                                                                                  - 6.36  - 1994 - 26 episode(s)      - 25 min. per ep.       - Adventure, Fantasy, Kids                                                                                                                                       - https://myanimelist.net/anime/4025
Astarotte no Omocha!                                                                                 - 6.76  - 2011 - 12 episode(s)      - 23 min. per ep.       - Comedy, Demons, Ecchi, Fantasy, Romance, Seinen                                                                                                                - https://myanimelist.net/anime/9736
Astro Boy: Tetsuwan Atom                                                                             - 7.01  - 2003 - 50 episode(s)      - 24 min. per ep.       - Action, Sci-Fi, Adventure, Super Power, Kids, Mecha, Shounen                                                                                                   - https://myanimelist.net/anime/971
Asuka: Nihon no Rekishi                                                                              - 5.80  - 1991 - 20 episode(s)      - 30 min. per ep.       -                                                                                                                                                                - https://myanimelist.net/anime/35723
Asura Cryin'                                                                                         - 7.06  - 2009 - 13 episode(s)      - 24 min. per ep.       - Action, Supernatural, Mecha                                                                                                                                    - https://myanimelist.net/anime/5342
Atashin'chi                                                                                          - 7.40  - 2002 - 330 episode(s)     - 25 min. per ep.       - Comedy, Slice of Life                                                                                                                                          - https://myanimelist.net/anime/3006
Atom: The Beginning                                                                                  - 6.96  - 2017 - 12 episode(s)      - 25 min. per ep.       - Action, Sci-Fi, Mecha, Seinen                                                                                                                                  - https://myanimelist.net/anime/33371
Attacker You!                                                                                        - 6.63  - 1984 - 58 episode(s)      - 23 min. per ep.       - Action, Romance, Shoujo, Sports                                                                                                                                - https://myanimelist.net/anime/3081
Aura: Maryuuin Kouga Saigo no Tatakai                                                                - 7.61  - 2013 - 1 episode(s)       - 1 hr. 23 min.         - Comedy, Supernatural, Drama, Romance, School                                                                                                                   - https://myanimelist.net/anime/14669
Auto Mommy                                                                                           - 5.43  - 2000 - 1 episode(s)       - 12 min.               - Fantasy                                                                                                                                                        - https://myanimelist.net/anime/7715
Aware! Meisaku-kun                                                                                   - 4.10  - 2016 - Unknown episode(s) - 5 min.                - Comedy, Kids, Parody, School                                                                                                                                   - https://myanimelist.net/anime/32956
Ayashi no Ceres                                                                                      - 7.34  - 2000 - 24 episode(s)      - 21 min. per ep.       - Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo                                                                                 - https://myanimelist.net/anime/104
Azuki-chan                                                                                           - 6.82  - 1995 - 117 episode(s)     - 24 min. per ep.       - Comedy, Romance, Shoujo, Slice of Life                                                                                                                         - https://myanimelist.net/anime/1893
Azumanga Daioh                                                                                       - 8.04  - 2002 - 26 episode(s)      - 24 min. per ep.       - Slice of Life, Comedy, School                                                                                                                                  - https://myanimelist.net/anime/66
B-gata H-kei                                                                                         - 7.11  - 2010 - 12 episode(s)      - 24 min. per ep.       - Comedy, Romance, Ecchi, School, Seinen                                                                                                                         - https://myanimelist.net/anime/7817
BAR Kiraware Yasai                                                                                   - 5.04  - 2015 - 13 episode(s)      - 1 min. per ep.        - Comedy                                                                                                                                                         - https://myanimelist.net/anime/29865
BOY's LOVE Nitro+CHiRAL                                                                              - 5.59  - 2017 - 5 episode(s)       - 4 min. per ep.        - Comedy, Parody                                                                                                                                                 - https://myanimelist.net/anime/35328
Ba La La Xiao Mo Xian Zhi: Qiji Wubu                                                                 - 5.41  - 2013 - 52 episode(s)      - 24 min. per ep.       - Comedy, Magic, Shoujo                                                                                                                                          - https://myanimelist.net/anime/31965
Baby Baachan                                                                                         - 6.67  - 2002 - 53 episode(s)      - 35 min. per ep.       - Comedy, Drama                                                                                                                                                  - https://myanimelist.net/anime/2732
