Title                                                                                                        - Score - Year - Num Eps       - Duration           - Genre(s)                                                                                    - Link

** Kouhai                                                                                                    - 7.26  - 2020 - 8 episodes    - 16 min per ep      - Fantasy, Harem, Hentai, Mythology                                                           - https://myanimelist.net/anime/40658
Vanitas no Karte Part 2                                                                                      - 8.20  - 2022 - 12 episodes   - 23 min per ep      - Action, Fantasy, Historical, Mystery, Shounen, Vampire                                      - https://myanimelist.net/anime/49114
Vanitas no Karte: En Route Pour le Gévaudan                                                                  - 6.87  - 2022 - 1 episode     - 23 min             - Action, Fantasy, Historical, Mystery, Shounen, Vampire                                      - https://myanimelist.net/anime/50768
Venus Versus Virus                                                                                           - 6.34  - 2007 - 12 episodes   - 24 min per ep      - Drama, Romance, Supernatural                                                                - https://myanimelist.net/anime/1607
ViVid Strike! Specials                                                                                       - 6.66  - 2017 - 3 episodes    - 18 min per ep      - Action, Drama, Martial Arts                                                                 - https://myanimelist.net/anime/34812
Vicious                                                                                                      - 5.82  - 2001 - 2 episodes    - 28 min per ep      - Hentai                                                                                      - https://myanimelist.net/anime/4541
Vinland Saga Season 2                                                                                        - 8.83  - 2023 - 24 episodes   - 25 min per ep      - Action, Adventure, Drama, Gore, Historical, Seinen                                          - https://myanimelist.net/anime/49387
Violet Evergarden                                                                                            - 8.67  - 2018 - 13 episodes   - 24 min per ep      - Drama, Fantasy                                                                              - https://myanimelist.net/anime/33352
Viper's Creed                                                                                                - 6.69  - 2009 - 12 episodes   - 23 min per ep      - Action, Military, Sci-Fi                                                                    - https://myanimelist.net/anime/5505
Virtual-san wa Miteiru                                                                                       - 5.31  - 2019 - 12 episodes   - 24 min per ep      - Comedy, Music                                                                               - https://myanimelist.net/anime/38851
Vivid Vice                                                                                                   - 6.44  - 2021 - 1 episode     - 3 min              - Fantasy, Music                                                                              - https://myanimelist.net/anime/52558
Vividred Operation                                                                                           - 6.44  - 2013 - 12 episodes   - 24 min per ep      - Action, Ecchi, Sci-Fi                                                                       - https://myanimelist.net/anime/14283
W'z                                                                                                          - 5.54  - 2019 - 13 episodes   - 23 min per ep      - Action, Music                                                                               - https://myanimelist.net/anime/37509
WIXOSS Diva(A)Live                                                                                           - 5.58  - 2021 - 12 episodes   - 23 min per ep      - Strategy Game                                                                               - https://myanimelist.net/anime/41521
Wagaya no Liliana-san The Animation                                                                          - 7.25  - 2019 - 1 episode     - 25 min             - Hentai                                                                                      - https://myanimelist.net/anime/38708
Waiter                                                                                                       - 5.56  - 2014 - 1 episode     - 8 min              - Avant Garde                                                                                 - https://myanimelist.net/anime/48971
Wakakusa Monogatari: Nan to Jo-sensei                                                                        - 7.55  - 1993 - 40 episodes   - 25 min per ep      - Drama, Historical, School, Slice of Life                                                    - https://myanimelist.net/anime/2558
Wake Up, Girls! Shichinin no Idol                                                                            - 7.18  - 2014 - 1 episode     - 52 min             - Drama, Idols (Female), Music                                                                - https://myanimelist.net/anime/21189
Wake Up, Girls!                                                                                              - 7.01  - 2014 - 12 episodes   - 24 min per ep      - Drama, Idols (Female), Music                                                                - https://myanimelist.net/anime/19023
Wakie Wakie                                                                                                  - 4.45  - 2015 - 1 episode     - 1 min              - Music                                                                                       - https://myanimelist.net/anime/30092
Wakuwaku Hakubutsukan Adventure                                                                              - None  - 2016 - 1 episode     - 32 min             - Action, Anthropomorphic, Kids                                                               - https://myanimelist.net/anime/54421
Wan Sheng Jie 3                                                                                              - 7.75  - 2022 - 12 episodes   - 4 min per ep       - Comedy, Fantasy, Mythology                                                                  - https://myanimelist.net/anime/49587
Wan Yu Zhi Wang                                                                                              - 5.91  - 2022 - 24 episodes   - 12 min per ep      - Action, Fantasy, Martial Arts                                                               - https://myanimelist.net/anime/51623
Wang Zhe Wai Chuan                                                                                           - None  - 2018 - 12 episodes   - 7 min per ep       - Comedy                                                                                      - https://myanimelist.net/anime/39190
Wanwan Celepoo Soreyuke! Tetsunoshin                                                                         - 6.71  - 2006 - 51 episodes   - 23 min per ep      - Comedy, Fantasy, Kids, Pets                                                                 - https://myanimelist.net/anime/4101
Warau Salesman Dai SP-banashi                                                                                - 6.30  - 1990 - 8 episodes    - 30 min per ep      - Adult Cast, Comedy, Drama, Psychological, Seinen, Supernatural                              - https://myanimelist.net/anime/35116
Warui Ko ni Naare                                                                                            - None  - 2020 - 1 episode     - 3 min              - Avant Garde, Music                                                                          - https://myanimelist.net/anime/52966
Washimo 2nd Season                                                                                           - None  - 2015 - 24 episodes   - 10 min per ep      - Comedy, Kids, School, Sci-Fi, Slice of Life                                                 - https://myanimelist.net/anime/29099
Watashi ni Tenshi ga Maiorita!                                                                               - 7.28  - 2019 - 12 episodes   - 23 min per ep      - CGDCT, Comedy, Girls Love, Otaku Culture                                                    - https://myanimelist.net/anime/37993
Watashi no Ashinaga Ojisan                                                                                   - 7.70  - 1990 - 40 episodes   - 23 min per ep      - Comedy, Historical, Romance, School, Slice of Life                                          - https://myanimelist.net/anime/1375
Watashi no Hashtag ga Haenakute.                                                                             - 6.05  - 2023 - 1 episode     - 3 min              - School                                                                                      - https://myanimelist.net/anime/54278
Watashi no Shiranai Mesu no Kao                                                                              - 6.02  - 2010 - 1 episode     - 30 min             - Hentai                                                                                      - https://myanimelist.net/anime/7458
Watashitachi, Luck Logic-bu!                                                                                 - 5.43  - 2016 - 12 episodes   - 1 min per ep       - Comedy, School, Strategy Game                                                               - https://myanimelist.net/anime/32084
Wave!! Surfing Yappe!! (TV)                                                                                  - 5.84  - 2021 - 12 episodes   - 23 min per ep      - Sports                                                                                      - https://myanimelist.net/anime/46118
We Are Us                                                                                                    - 5.56  - 2021 - 1 episode     - 2 min              - Music                                                                                       - https://myanimelist.net/anime/49644
Wei Jiang                                                                                                    - None  - 2023 - 26 episodes   - 23 min per ep      - Action, Fantasy                                                                             - https://myanimelist.net/anime/55196
Wellber no Monogatari: Sisters of Wellber Zwei                                                               - 6.76  - 2008 - 13 episodes   - 20 min per ep      - Adventure, Fantasy, Historical, Romance                                                     - https://myanimelist.net/anime/3501
Wena Wrist                                                                                                   - 5.23  - 2020 - 1 episode     - 54 sec             - Military, Music                                                                             - https://myanimelist.net/anime/41192
White Album                                                                                                  - 6.49  - 2009 - 13 episodes   - 24 min per ep      - Drama, Harem, Idols (Female), Music, Romance                                                - https://myanimelist.net/anime/4720
Witch Craft Works: Takamiya-kun to Imouto no Warudakumi                                                      - 6.78  - 2015 - 1 episode     - 24 min             - Action, Fantasy, Seinen, Supernatural                                                       - https://myanimelist.net/anime/22117
Witch Craft Works                                                                                            - 7.00  - 2014 - 12 episodes   - 23 min per ep      - Action, Fantasy, School, Seinen, Supernatural                                               - https://myanimelist.net/anime/21085
Witch Village Story                                                                                          - None  - 2005 - 24 episodes   - 3 min per ep       - Slice of Life                                                                               - https://myanimelist.net/anime/31696
With All Our Hearts                                                                                          - 6.63  - 2021 - 1 episode     - 4 min              - Fantasy, Visual Arts                                                                        - https://myanimelist.net/anime/45643
With Pochi! Yoshi's Woolly World Special Anime                                                               - None  - 2017 - 31 episodes   - 34 sec per ep      - Comedy, Slice of Life                                                                       - https://myanimelist.net/anime/48872
Wizard Barristers: Benmashi Cecil                                                                            - 6.17  - 2014 - 12 episodes   - 24 min per ep      - Action, Detective, Fantasy, Mecha                                                           - https://myanimelist.net/anime/20053
Wo De San Ti: Zhang Bei Hai Zhuan                                                                            - None  - 2020 - 9 episodes    - 20 min per ep      - Sci-Fi                                                                                      - https://myanimelist.net/anime/42461
Wo Jia Da Shixiong You Dian Kaopu                                                                            - 6.80  - 2023 - 13 episodes   - 18 min per ep      - Action, Adventure, Comedy, Historical, Martial Arts                                         - https://myanimelist.net/anime/50400
Wo Jian Qile Yi Di Shuxing                                                                                   - 6.44  - 2023 - 16 episodes   - 17 min per ep      - Action, Adventure, Fantasy                                                                  - https://myanimelist.net/anime/51383
Wo Jiao MT 2nd Season                                                                                        - None  - 2010 - 10 episodes   - 10 min per ep      - Comedy, Fantasy                                                                             - https://myanimelist.net/anime/44520
Wo Jiao MT                                                                                                   - None  - 2009 - 10 episodes   - 10 min per ep      - Comedy, Fantasy                                                                             - https://myanimelist.net/anime/44518
Wo Shi Xuexiao Weiyi de Renlei                                                                               - None  - 2023 - 52 episodes   - Unknown            - Comedy                                                                                      - https://myanimelist.net/anime/54224
Wo de Yi Jie Zhi Lu                                                                                          - 6.08  - 2022 - 40 episodes   - 10 min per ep      - Action, Adventure, Comedy, Fantasy, Historical, Martial Arts                                - https://myanimelist.net/anime/50430
Wolf's Rain OVA                                                                                              - 7.99  - 2004 - 4 episodes    - 23 min per ep      - Adventure, Drama, Psychological, Sci-Fi, Supernatural                                       - https://myanimelist.net/anime/1023
Wolf's Rain                                                                                                  - 7.80  - 2003 - 26 episodes   - 23 min per ep      - Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi                                          - https://myanimelist.net/anime/202
Wolverine                                                                                                    - 6.02  - 2011 - 12 episodes   - 23 min per ep      - Action, Martial Arts, Super Power                                                           - https://myanimelist.net/anime/6918
Wonder Egg Priority                                                                                          - 7.62  - 2021 - 12 episodes   - 23 min per ep      - Drama, Fantasy, Psychological                                                               - https://myanimelist.net/anime/43299
Wonder-kun no Hatsu Yume Uchuu Ryokou                                                                        - 5.47  - 1969 - 1 episode     - 11 min             - Adventure                                                                                   - https://myanimelist.net/anime/12807
Wooser no Sono Higurashi: Kakusei-hen                                                                        - 6.58  - 2014 - 12 episodes   - 4 min per ep       - Comedy, Fantasy, Slice of Life                                                              - https://myanimelist.net/anime/20267
World Trigger 2nd Season                                                                                     - 8.06  - 2021 - 12 episodes   - 23 min per ep      - Action, Sci-Fi, Shounen                                                                     - https://myanimelist.net/anime/40907
World Witches Hasshin Shimasu!                                                                               - 6.45  - 2021 - 12 episodes   - 15 min per ep      - CGDCT, Comedy, Military                                                                     - https://myanimelist.net/anime/42506
Wormy                                                                                                        - 5.74  - 2014 - 1 episode     - 5 min              - Music                                                                                       - https://myanimelist.net/anime/39220
Wu Dong Qian Kun                                                                                             - 7.33  - 2019 - 12 episodes   - 24 min per ep      - Action, Adventure, Fantasy, Historical, Martial Arts                                        - https://myanimelist.net/anime/39024
Wu Geng Ji 4th Season Part 2                                                                                 - 6.56  - 2023 - 18 episodes   - 16 min per ep      - Action, Fantasy, Historical, Martial Arts, Supernatural                                     - https://myanimelist.net/anime/52680
Wu Liuqi: Anying Suming                                                                                      - 7.88  - 2023 - 10 episodes   - 15 min per ep      - Action, Adventure, Comedy, Drama, Martial Arts, Mystery, Super Power                        - https://myanimelist.net/anime/54029
Wu Liuqi: Xuanwu Guo Pian                                                                                    - 8.33  - 2021 - 10 episodes   - 16 min per ep      - Action, Adventure, Comedy, Drama, Martial Arts, Mystery, Super Power                        - https://myanimelist.net/anime/45556
Wu Long Xiao Zi                                                                                              - None  - 2012 - 78 episodes   - 12 min per ep      - Fantasy, Kids                                                                               - https://myanimelist.net/anime/44467
Wu Sheng Guan Gong                                                                                           - None  - 2020 - 1 episode     - 1 hr 27 min        - Action, Historical                                                                          - https://myanimelist.net/anime/42456
Wudi Xiaolu: Anquan Chengzhang                                                                               - None  - 2019 - 144 episodes  - 6 min per ep       - Fantasy, Kids                                                                               - https://myanimelist.net/anime/47473
Xenosaga The Animation                                                                                       - 6.33  - 2005 - 12 episodes   - 23 min per ep      - Action, Mecha, Sci-Fi, Space                                                                - https://myanimelist.net/anime/184
Xi Xing Ji: Anying Mo Cheng                                                                                  - None  - 2023 - 1 episode     - 1 hr 16 min        - Action, Adventure, Fantasy, Historical, Martial Arts                                        - https://myanimelist.net/anime/54033
Xi Yangyang Yu Hui Tailang: Fei Ma Qi Yu Ji                                                                  - 5.90  - 2014 - 1 episode     - 1 hr 20 min        - Adventure, Comedy, Kids                                                                     - https://myanimelist.net/anime/37391
Xi Yangyang Yu Hui Tailang: Hu Hu Sheng Wei                                                                  - 5.58  - 2010 - 1 episode     - 1 hr 28 min        - Adventure, Comedy, Kids                                                                     - https://myanimelist.net/anime/9973
Xi Yangyang Yu Hui Tailang: Kaixin Chuang Long Nian                                                          - 5.66  - 2012 - 1 episode     - 1 hr 27 min        - Adventure, Comedy, Kids                                                                     - https://myanimelist.net/anime/18491
Xi Yangyang Yu Hui Tailang: Kuang Chu Shengli                                                                - None  - 2021 - 60 episodes   - 15 min per ep      - Comedy, Kids, Sports                                                                        - https://myanimelist.net/anime/49078
Xi Yangyang Yu Hui Tailang: Niu Qi Chong Tian                                                                - 5.81  - 2009 - 1 episode     - 1 hr 25 min        - Adventure, Comedy, Kids                                                                     - https://myanimelist.net/anime/6156
Xi Yangyang Yu Hui Tailang: Qihuan Tiankong Dao                                                              - None  - 2018 - 60 episodes   - 15 min per ep      - Adventure, Comedy, Kids                                                                     - https://myanimelist.net/anime/43998
Xi Yangyang Yu Hui Tailang: Qiqu Waixing Ke                                                                  - None  - 2020 - 60 episodes   - 15 min per ep      - Adventure, Comedy, Kids                                                                     - https://myanimelist.net/anime/44001
Xi Yangyang Yu Hui Tailang: Shenhai Lixian Ji                                                                - None  - 2017 - 60 episodes   - 15 min per ep      - Adventure, Comedy, Kids                                                                     - https://myanimelist.net/anime/43996
Xi Yangyang Yu Hui Tailang: Tu Nian Ding Gua Gua                                                             - 5.57  - 2011 - 1 episode     - 1 hr 27 min        - Adventure, Comedy, Kids                                                                     - https://myanimelist.net/anime/18489
Xi Yangyang Yu Hui Tailang: Xi Qi Yangyang Guo She Nian                                                      - 5.77  - 2013 - 1 episode     - 1 hr 28 min        - Adventure, Comedy, Kids                                                                     - https://myanimelist.net/anime/37390
Xi Yangyang Yu Hui Tailang: Xiha Chuang Shijie                                                               - None  - 2016 - 60 episodes   - 13 min per ep      - Adventure, Comedy, Kids                                                                     - https://myanimelist.net/anime/43994
Xi Yangyang Yu Hui Tailang: Yang Cun Shouhuzhe                                                               - None  - 2019 - 60 episodes   - 15 min per ep      - Adventure, Comedy, Kids                                                                     - https://myanimelist.net/anime/43999
Xi Yangyang Yu Hui Tailang: Yang Nian Xi Yangyang                                                            - 5.85  - 2015 - 1 episode     - 1 hr 26 min        - Adventure, Comedy, Kids                                                                     - https://myanimelist.net/anime/37392
Xia Lan                                                                                                      - 6.04  - 2012 - 156 episodes  - 25 min per ep      - Action, Adventure, Drama, Fantasy, Historical, Martial Arts, Supernatural                   - https://myanimelist.net/anime/34129
Xian Wang de Richang Shenghuo                                                                                - 7.33  - 2020 - 15 episodes   - 19 min per ep      - Adventure, Comedy, Fantasy, Mythology, School                                               - https://myanimelist.net/anime/41094
Xian Yu Ge Specials                                                                                          - None  - 2022 - 2 episodes    - 25 min per ep      - Comedy, Fantasy                                                                             - https://myanimelist.net/anime/53573
Xiangzhe Mingliang Na Fang                                                                                   - None  - 2022 - 1 episode     - 1 hr 23 min        - Fantasy, Slice of Life                                                                      - https://myanimelist.net/anime/51879
Xiao Bei Liulang Ji                                                                                          - None  - 1999 - 10 episodes   - 20 min per ep      - Kids                                                                                        - https://myanimelist.net/anime/43961
Xiao Cangshu Di Di de Chi Bo Richang                                                                         - None  - 2020 - 119 episodes  - 1 min per ep       - Comedy                                                                                      - https://myanimelist.net/anime/42463
Xiao Men Shen                                                                                                - 6.36  - 2016 - 1 episode     - 1 hr 49 min        - Comedy, Fantasy                                                                             - https://myanimelist.net/anime/32751
Xiao Mo Tou Baolu La!                                                                                        - 6.55  - 2022 - 13 episodes   - 8 min per ep       - Comedy                                                                                      - https://myanimelist.net/anime/50411
Xiao Po Hai Da Zhuangyuan                                                                                    - None  - 2021 - 1 episode     - 1 hr 25 min        - Adventure, Comedy, Fantasy                                                                  - https://myanimelist.net/anime/45119
Xiaolu Xingren Er                                                                                            - None  - 2018 - 52 episodes   - 7 min per ep       - Fantasy, Kids                                                                               - https://myanimelist.net/anime/47674
Xie Wang Zhui Qi                                                                                             - 6.76  - 2019 - 13 episodes   - 13 min per ep      - Action, Comedy, Drama, Fantasy, Martial Arts, Romance                                       - https://myanimelist.net/anime/39188
Xihu Chuanqi                                                                                                 - None  - 2014 - 1 episode     - 1 hr 36 min        - Fantasy, Romance                                                                            - https://myanimelist.net/anime/44869
Xin Datou Er Zi He Xiao Tou Baba: Fu Shu Song Ji                                                             - None  - 2020 - 1 episode     - 49 min             - Kids, Slice of Life                                                                         - https://myanimelist.net/anime/43931
Xin Datou Er Zi He Xiao Tou Baba: Ma Nian Xin Yuan                                                           - None  - 2014 - 1 episode     - 50 min             - Kids, Slice of Life                                                                         - https://myanimelist.net/anime/43933
Xin Datou Er Zi He Xiao Tou Baba: Menghuan Leyuan Qiyu Ji                                                    - None  - 2017 - 1 episode     - 50 min             - Kids                                                                                        - https://myanimelist.net/anime/43938
Xin Datou Er Zi He Xiao Tou Baba: Nian De Weidao                                                             - None  - 2017 - 1 episode     - 48 min             - Kids, Slice of Life                                                                         - https://myanimelist.net/anime/43935
Xing Hai Qishi: Xinghuo Chongran                                                                             - 6.37  - 2022 - 1 episode     - 32 min             - Action, Fantasy, Sci-Fi                                                                     - https://myanimelist.net/anime/51198
Xing Wushen Jue                                                                                              - 6.84  - 2021 - 40 episodes   - 7 min per ep       - Action, Fantasy, Martial Arts                                                               - https://myanimelist.net/anime/47044
Xingchen Bian: Po Tian Mi Ju                                                                                 - 7.54  - 2022 - 16 episodes   - 25 min per ep      - Action, Adventure, Fantasy, Martial Arts, Romance                                           - https://myanimelist.net/anime/50667
Xingfu Lushang                                                                                               - None  - 2018 - 1 episode     - 1 hr 50 min        - Award Winning, Drama                                                                        - https://myanimelist.net/anime/51992
Xinghai Qi Hang                                                                                              - None  - 2011 - 26 episodes   - 11 min per ep      - Adventure, Fantasy, Kids, Sci-Fi                                                            - https://myanimelist.net/anime/45203
Xingqiu Weishi                                                                                               - None  - 2011 - 52 episodes   - 18 min per ep      - Kids                                                                                        - https://myanimelist.net/anime/46539
Xiong Bing Lian: Zhu Tian Jianglin                                                                           - None  - 2019 - 26 episodes   - 19 min per ep      - Action, Military, Mystery, Sci-Fi, Space, Supernatural                                      - https://myanimelist.net/anime/44570
Xiong Chumo: Duo Bao Xiong Bing                                                                              - 5.65  - 2014 - 1 episode     - 1 hr 36 min        - Adventure, Comedy                                                                           - https://myanimelist.net/anime/32808
Xiong Chumo: Nianhuo                                                                                         - None  - 2014 - 1 episode     - 51 min             - Adventure, Comedy, Kids                                                                     - https://myanimelist.net/anime/37098
Xiong Chumo: Qihuan Kongjian                                                                                 - None  - 2017 - 1 episode     - 1 hr 30 min        - Adventure, Kids, Sci-Fi                                                                     - https://myanimelist.net/anime/37100
Xiong Chumo: Xiong Zin Guilai                                                                                - None  - 2016 - 1 episode     - 1 hr 38 min        - Adventure, Comedy, Kids                                                                     - https://myanimelist.net/anime/37099
Xiong Chumo: Xue Ling Xiong Feng                                                                             - 5.92  - 2015 - 1 episode     - 1 hr 36 min        - Adventure, Comedy                                                                           - https://myanimelist.net/anime/32809
Xiong Chumo                                                                                                  - 5.75  - 2012 - 104 episodes  - 13 min per ep      - Comedy, Kids                                                                                - https://myanimelist.net/anime/32807
Xiongmao He Kaixin Qiu                                                                                       - None  - 2021 - 52 episodes   - 10 min per ep      - Comedy, Kids                                                                                - https://myanimelist.net/anime/55257
Xiongmao Sanbao: Meng Chong Weishi                                                                           - None  - 2020 - 26 episodes   - 13 min per ep      - Fantasy, Kids                                                                               - https://myanimelist.net/anime/48024
Xiyou Ji de Gushi                                                                                            - None  - 2014 - 52 episodes   - 11 min per ep      - Fantasy, Kids                                                                               - https://myanimelist.net/anime/45481
Xuan Xuan Yingxiong Chuan                                                                                    - None  - 2019 - 12 episodes   - 9 min per ep       - Comedy                                                                                      - https://myanimelist.net/anime/47594
Xue Ying Ling Zhu Zhi Qi Yu Pian                                                                             - 7.13  - 2020 - 4 episodes    - 18 min per ep      - Action, Adventure, Fantasy, Historical, Martial Arts, Romance                               - https://myanimelist.net/anime/40991
Xuyuan Shenlong                                                                                              - 7.09  - 2021 - 1 episode     - 1 hr 38 min        - Comedy, Fantasy, Kids                                                                       - https://myanimelist.net/anime/48125
Yadosagashi                                                                                                  - 6.47  - 2006 - 1 episode     - 12 min             - Adventure, Fantasy, Kids, Slice of Life                                                     - https://myanimelist.net/anime/3570
Yakushiji Ryouko no Kaiki Jikenbo: Hamachou, Voice & Fiction                                                 - 5.97  - 2009 - 1 episode     - 16 min             - Detective, Mystery, Supernatural                                                            - https://myanimelist.net/anime/29837
Yakusoku no Neverland 2nd Season                                                                             - 5.30  - 2021 - 11 episodes   - 22 min per ep      - Fantasy, Psychological, Sci-Fi, Shounen, Survival, Suspense                                 - https://myanimelist.net/anime/39617
Yakusoku no Neverland                                                                                        - 8.51  - 2019 - 12 episodes   - 22 min per ep      - Fantasy, Mystery, Psychological, Sci-Fi, Shounen, Survival, Suspense                        - https://myanimelist.net/anime/37779
Yama Nezumi Rocky Chuck                                                                                      - 6.16  - 1973 - 52 episodes   - 26 min per ep      - Adventure, Anthropomorphic, Fantasy, Kids                                                   - https://myanimelist.net/anime/4615
Yama no Susume                                                                                               - 6.83  - 2013 - 12 episodes   - 3 min per ep       - Adventure, CGDCT, Comedy, Iyashikei, Slice of Life                                          - https://myanimelist.net/anime/14355
Yamanai Ame                                                                                                  - 5.87  - 2021 - 1 episode     - 4 min              - Idols (Female), Music                                                                       - https://myanimelist.net/anime/52049
Yamasuki, Yamazaki                                                                                           - 5.24  - 2013 - 1 episode     - 2 min              - Avant Garde, Music                                                                          - https://myanimelist.net/anime/40523
Yami Shibai 10                                                                                               - 6.18  - 2022 - 13 episodes   - 4 min per ep       - Avant Garde, Horror, Supernatural                                                           - https://myanimelist.net/anime/50599
Yami Shibai 3                                                                                                - 6.33  - 2016 - 13 episodes   - 4 min per ep       - Avant Garde, Horror, Supernatural                                                           - https://myanimelist.net/anime/31994
Yami Shibai 4                                                                                                - 5.80  - 2017 - 13 episodes   - 4 min per ep       - Avant Garde, Horror, Supernatural                                                           - https://myanimelist.net/anime/34467
Yami Shibai 8                                                                                                - 5.83  - 2021 - 13 episodes   - 4 min per ep       - Avant Garde, Horror, Supernatural                                                           - https://myanimelist.net/anime/44208
Yao Jing Zhong Zhi Shou Ce                                                                                   - 6.51  - 2020 - 14 episodes   - 16 min per ep      - Action, Comedy, Drama, Ecchi, Fantasy, Slice of Life                                        - https://myanimelist.net/anime/41093
Yao Shen Ji 2nd Season                                                                                       - 7.26  - 2018 - 40 episodes   - 7 min per ep       - Action, Adventure, Fantasy, Martial Arts, Mythology, Romance                                - https://myanimelist.net/anime/37164
Yao Shen Ji 6th Season                                                                                       - 7.45  - 2023 - 52 episodes   - 8 min per ep       - Action, Adventure, Fantasy, Martial Arts, Mythology, Romance                                - https://myanimelist.net/anime/54285
Yari Agari                                                                                                   - 6.14  - 2023 - Ongoing       - 22 min             - Hentai                                                                                      - https://myanimelist.net/anime/53506
Yasoukyoku                                                                                                   - 5.49  - 2011 - 1 episode     - 3 min              - Music                                                                                       - https://myanimelist.net/anime/33908
Yatogame-chan Kansatsu Nikki Nisatsume                                                                       - 6.36  - 2020 - 12 episodes   - 3 min per ep       - Comedy, School, Shounen, Slice of Life                                                      - https://myanimelist.net/anime/39960
Yatogame-chan Kansatsu Nikki Sansatsume                                                                      - 6.38  - 2021 - 12 episodes   - 3 min per ep       - Comedy, School, Shounen, Slice of Life                                                      - https://myanimelist.net/anime/42959
Yatterman                                                                                                    - 6.51  - 2008 - 60 episodes   - 25 min per ep      - Adventure, Comedy, Parody                                                                   - https://myanimelist.net/anime/3295
Yeon-ae Halujeon                                                                                             - 7.19  - 2018 - 10 episodes   - 2 min per ep       - Romance, Slice of Life                                                                      - https://myanimelist.net/anime/42632
Yesnal Yesjeog-e                                                                                             - None  - 1990 - 13 episodes   - 15 min per ep      - Kids                                                                                        - https://myanimelist.net/anime/48292
Yi Fei Chong Tian: Tianji Zhang Qi                                                                           - None  - 2015 - 52 episodes   - 23 min per ep      - Kids                                                                                        - https://myanimelist.net/anime/43305
Yi Ren Zhi Xia Recap                                                                                         - 6.31  - 2018 - 1 episode     - 24 min             - Action, Super Power, Supernatural                                                           - https://myanimelist.net/anime/37090
Yi Xue                                                                                                       - None  - 2016 - 57 episodes   - 3 min per ep       - Comedy                                                                                      - https://myanimelist.net/anime/47236
Yin Cha Zhi Kung Fu Xue Yuan                                                                                 - None  - 2007 - 208 episodes  - 13 min per ep      - Kids                                                                                        - https://myanimelist.net/anime/45182
Yin Yang Shi: Ping An Wu Yu 3rd Season                                                                       - None  - 2022 - 12 episodes   - 5 min per ep       - Comedy, Mythology, Slice of Life, Supernatural                                              - https://myanimelist.net/anime/51183
Yojeong Pink                                                                                                 - None  - 1991 - 1 episode     - 2 hr               - Fantasy                                                                                     - https://myanimelist.net/anime/48297
Yomigaeru Sora: Rescue Wings                                                                                 - 7.37  - 2006 - 12 episodes   - 23 min per ep      - Adult Cast, Drama, Military, Workplace                                                      - https://myanimelist.net/anime/798
Yomna                                                                                                        - None  - 2020 - 1 episode     - 4 min              -                                                                                             - https://myanimelist.net/anime/54987
Yong Sheng                                                                                                   - 7.15  - 2022 - 12 episodes   - 24 min per ep      - Action, Adventure, Fantasy, Martial Arts                                                    - https://myanimelist.net/anime/50444
Yonhyaku-nijuu Renpai Girl                                                                                   - 5.70  - 2013 - 1 episode     - 2 min              - Comedy, Romance, School                                                                     - https://myanimelist.net/anime/17871
Yoru no Uta                                                                                                  - None  - 2023 - 1 episode     - 4 min              - Avant Garde, Music                                                                          - https://myanimelist.net/anime/54136
Yoru no Yatterman                                                                                            - 6.50  - 2015 - 12 episodes   - 24 min per ep      - Action, Adventure, Comedy, Drama                                                            - https://myanimelist.net/anime/28155
You're So Lonely Now, so You Need Me Back by Your Side Again                                                 - None  - 2021 - 1 episode     - 2 min              - Avant Garde, Music                                                                          - https://myanimelist.net/anime/55696
Youji Shen Bing                                                                                              - None  - 2006 - 156 episodes  - 12 min per ep      - Kids                                                                                        - https://myanimelist.net/anime/45903
Youjo Senki                                                                                                  - 7.96  - 2017 - 12 episodes   - 23 min per ep      - Action, Fantasy, Isekai, Military, Reincarnation                                            - https://myanimelist.net/anime/32615
