Title                                                                                                        - Score - Year - Num Eps       - Duration           - Genre(s)                                                                                    - Link

** Kouhai                                                                                                    - 7.26  - 2020 - 8 episodes    - 16 min per ep      - Fantasy, Harem, Hentai, Mythology                                                           - https://myanimelist.net/anime/40658
Ao no Kanata no Four Rhythm                                                                                  - 6.64  - 2016 - 12 episodes   - 24 min per ep      - School, Sci-Fi, Sports                                                                      - https://myanimelist.net/anime/28391
Aoki Hagane no Arpeggio: Ars Nova Movie 1 - DC                                                               - 7.40  - 2015 - 1 episode     - 1 hr 45 min        - Action, Sci-Fi, Seinen                                                                      - https://myanimelist.net/anime/24919
Appa eolil Jeog-en                                                                                           - None  - 2016 - 26 episodes   - 22 min per ep      - Kids                                                                                        - https://myanimelist.net/anime/48276
Appleseed Alpha                                                                                              - 6.95  - 2015 - 1 episode     - 1 hr 33 min        - Action, Adventure, Detective, Mecha, Military, Sci-Fi, Seinen                               - https://myanimelist.net/anime/22677
Aquarian Age: Sign for Evolution                                                                             - 6.06  - 2002 - 13 episodes   - 24 min per ep      - Action, Adventure, Fantasy, Music, Romance, Sci-Fi, Super Power, Supernatural               - https://myanimelist.net/anime/1224
Aquarion Evol                                                                                                - 7.08  - 2012 - 26 episodes   - 24 min per ep      - Action, Fantasy, Mecha, Romance, Sci-Fi                                                     - https://myanimelist.net/anime/10447
Araiguma Rascal                                                                                              - 6.78  - 1977 - 52 episodes   - 26 min per ep      - Drama, Historical, Pets, Slice of Life                                                      - https://myanimelist.net/anime/2576
Arano no Sakebi Koe: Hoero, Buck                                                                             - 6.50  - 1981 - 1 episode     - 1 hr 6 min         - Adventure, Drama                                                                            - https://myanimelist.net/anime/4074
Area 88 (TV)                                                                                                 - 7.00  - 2004 - 12 episodes   - 25 min per ep      - Action, Drama, Military, Romance, Shounen                                                   - https://myanimelist.net/anime/284
Area no Kishi                                                                                                - 7.17  - 2012 - 37 episodes   - 25 min per ep      - Comedy, School, Shounen, Sports, Team Sports                                                - https://myanimelist.net/anime/11697
Aresuke                                                                                                      - None  - 2008 - 13 episodes   - 1 min per ep       - Music                                                                                       - https://myanimelist.net/anime/39048
Aria the Origination                                                                                         - 8.48  - 2008 - 13 episodes   - 24 min per ep      - Fantasy, Iyashikei, Sci-Fi, Shounen, Slice of Life                                          - https://myanimelist.net/anime/3297
Ariel Deluxe                                                                                                 - 5.92  - 1991 - 2 episodes    - 42 min per ep      - Action, Comedy, Mecha, Sci-Fi                                                               - https://myanimelist.net/anime/2837
Arifureta Sekai Seifuku                                                                                      - None  - 2014 - 1 episode     - 3 min              - Music                                                                                       - https://myanimelist.net/anime/55382
Arifureta Shokugyou de Sekai Saikyou 2nd Season Picture Drama                                                - 6.14  - 2022 - 12 episodes   - 1 min per ep       - Comedy, Fantasy                                                                             - https://myanimelist.net/anime/51340
Arifureta Shokugyou de Sekai Saikyou 2nd Season                                                              - 7.18  - 2022 - 12 episodes   - 23 min per ep      - Action, Adventure, Fantasy, Harem, Isekai                                                   - https://myanimelist.net/anime/40507
Arikitari Heroes                                                                                             - None  - 2013 - 1 episode     - 3 min              - Horror, Music, Mystery, School, Supernatural                                                - https://myanimelist.net/anime/41245
Armageddon                                                                                                   - 3.84  - 1996 - 1 episode     - 1 hr 26 min        - Action, Adventure, Sci-Fi, Space, Super Power, Time Travel                                  - https://myanimelist.net/anime/4567
Arms Rally                                                                                                   - None  - 2007 - 11 episodes   - 6 min per ep       - Adventure, Military, Racing                                                                 - https://myanimelist.net/anime/41115
Around the World!                                                                                            - None  - 2008 - 1 episode     - 1 min              - Avant Garde                                                                                 - https://myanimelist.net/anime/43385
Ars no Kyojuu                                                                                                - 6.09  - 2023 - 12 episodes   - 24 min per ep      - Action, Adventure, Fantasy                                                                  - https://myanimelist.net/anime/53179
Artiswitch COLLECTION/Ruru                                                                                   - None  - 2022 - 1 episode     - 1 min              - Slice of Life                                                                               - https://myanimelist.net/anime/54368
Aru Otoko no Ikikata                                                                                         - 5.27  - 2019 - 1 episode     - 2 min              - Historical                                                                                  - https://myanimelist.net/anime/39027
Asako Get You!!                                                                                              - 5.71  - 2013 - 2 episodes    - 3 min per ep       - Comedy, Romance, School, Seinen, Slice of Life                                              - https://myanimelist.net/anime/16319
Asari-chan                                                                                                   - 6.28  - 1982 - 54 episodes   - 24 min per ep      - Comedy, Shoujo, Slice of Life                                                               - https://myanimelist.net/anime/6629
Asayake to Nettaigyo                                                                                         - 5.47  - 2018 - 1 episode     - 1 min              - Music                                                                                       - https://myanimelist.net/anime/38813
Ashita Sekai ga Owaru toshitemo                                                                              - 6.36  - 2019 - 1 episode     - 1 hr 33 min        - Drama, Romance                                                                              - https://myanimelist.net/anime/38464
Ashita no Eleven-tachi                                                                                       - 5.57  - 1979 - 1 episode     - 1 hr 10 min        - Sports                                                                                      - https://myanimelist.net/anime/13947
Ashuai 7th Season                                                                                            - None  - 2022 - 34 episodes   - 3 min per ep       - Comedy, Kids, School                                                                        - https://myanimelist.net/anime/53726
Asu no Yoichi!                                                                                               - 6.70  - 2009 - 12 episodes   - 24 min per ep      - Comedy, Ecchi, Harem, Martial Arts, Romance, Shounen                                        - https://myanimelist.net/anime/4999
