Title                                                                                               - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                           - Link
Beast Wars Second Chou Seimeitai Transformers: Lio Convoy Kiki Ippatsu! Movie                       - 6.20  - 1998 - 1 episode(s)       - 46 min.               - Action, Sci-Fi, Adventure                                                                          - https://myanimelist.net/anime/5289
Beautiful World                                                                                     - 6.63  - 2014 - 1 episode(s)       - 2 min.                - Action, Drama, Mecha, Music, Sci-Fi                                                                - https://myanimelist.net/anime/32311
Ben-To Picture Drama                                                                                - 6.15  - 2011 - 6 episode(s)       - 9 min. per ep.        - Comedy                                                                                             - https://myanimelist.net/anime/12447
Bi-Indoushi Miija: Injoku no Gakuen                                                                 - 5.34  - 2001 - 2 episode(s)       - 27 min. per ep.       - Hentai                                                                                             - https://myanimelist.net/anime/3980
Bikini Warriors OVA                                                                                 - 5.66  - 2016 - 3 episode(s)       - 4 min. per ep.        - Comedy, Ecchi, Fantasy, Parody                                                                     - https://myanimelist.net/anime/33712
Bikini Warriors Special                                                                             - 5.48  - 2015 - 1 episode(s)       - 4 min.                - Comedy, Parody, Ecchi, Fantasy, Yuri                                                               - https://myanimelist.net/anime/31283
Binkan Athlete                                                                                      - 6.46  - 2009 - 1 episode(s)       - 32 min.               - Hentai                                                                                             - https://myanimelist.net/anime/7266
Bio Hunter                                                                                          - 6.05  - 1995 - 1 episode(s)       - 58 min.               - Action, Demons, Horror                                                                             - https://myanimelist.net/anime/1269
Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi                                               - 7.20  - 1993 - 1 episode(s)       - 17 min.               - Shoujo                                                                                             - https://myanimelist.net/anime/2937
Bishoujo Senshi Sailor Moon R: The Movie                                                            - 7.78  - 1993 - 1 episode(s)       - 1 hr. 1 min.          - Drama, Magic, Romance, Shoujo                                                                      - https://myanimelist.net/anime/531
Bishoujo Senshi Sailor Moon S: Kaguya Hime no Koibito                                               - 7.76  - 1994 - 1 episode(s)       - 1 hr. 1 min.          - Adventure, Fantasy, Magic, Comedy, Romance, Drama, Shoujo                                          - https://myanimelist.net/anime/997
Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi                                     - 7.36  - 1995 - 1 episode(s)       - 15 min.               - Comedy, Magic, Romance, Shoujo                                                                     - https://myanimelist.net/anime/1278
Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki           - 7.63  - 1995 - 1 episode(s)       - 1 hr.                 - Drama, Magic, Shoujo                                                                               - https://myanimelist.net/anime/1240
Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club                                               - 7.38  - 1996 - 3 episode(s)       - 30 min. per ep.       - Adventure, Comedy, Drama, Fantasy, Magic, Romance, Shoujo                                          - https://myanimelist.net/anime/13931
Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki                                              - 7.39  - 2003 - 4 episode(s)       - 23 min. per ep.       - Drama                                                                                              - https://myanimelist.net/anime/1373
Black Jack: Dr. Pinoko no Mori no Bouken                                                            - 6.38  - 2005 - 1 episode(s)       - 7 min.                - Comedy                                                                                             - https://myanimelist.net/anime/4070
Black Jack: Futari no Kuroi Isha - Manner Movie                                                     - 6.04  - 2005 - 1 episode(s)       - 37 sec.               - Comedy, Parody                                                                                     - https://myanimelist.net/anime/35859
Black Jack: Futari no Kuroi Isha                                                                    - 7.36  - 2005 - 1 episode(s)       - 1 hr. 37 min.         - Drama                                                                                              - https://myanimelist.net/anime/1983
