Title                                                                                                - Score - Year - Num Eps            - Duration             - Genre(s)                                                                                                                                                       - Link
Bakuretsu Tenshi: Infinity                                                                           - 6.88  - 2007 - 1 episode(s)       - 27 min.              - Action, Comedy, Mecha, Sci-Fi, Shounen                                                                                                                         - https://myanimelist.net/anime/2205
Bang Babang Bang!!!                                                                                  - 5.29  - 2017 - 1 episode(s)       - 2 min.               - Music                                                                                                                                                          - https://myanimelist.net/anime/36604
Bannou Yasai Ninninman                                                                               - 6.07  - 2011 - 1 episode(s)       - 24 min.              - Comedy, Supernatural                                                                                                                                           - https://myanimelist.net/anime/10501
Batsu & Terry                                                                                        - 5.87  - 1987 - 1 episode(s)       - 1 hr. 20 min.        - Comedy, Drama, School, Shounen, Sports                                                                                                                         - https://myanimelist.net/anime/16514
Be-Bop Kaizokuban                                                                                    - 5.92  - 1991 - 3 episode(s)       - 37 min. per ep.      - Comedy, School, Seinen                                                                                                                                         - https://myanimelist.net/anime/24087
Beads no Mori no Rabi                                                                                - 3.50  - 2015 - Unknown episode(s) - 5 min.               - Kids, Magic                                                                                                                                                    - https://myanimelist.net/anime/35697
Berserk Recap                                                                                        - 6.18  - 2017 - 1 episode(s)       - 24 min.              - Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural                                                                     - https://myanimelist.net/anime/35009
Big X                                                                                                - 6.29  - 1964 - 59 episode(s)      - 25 min. per ep.      - Action, Historical, Sci-Fi, Shounen                                                                                                                            - https://myanimelist.net/anime/9613
Bikkuriman: Daiichiji Seima Taisen                                                                   - 5.41  - 1988 - 1 episode(s)       - 28 min.              - Action, Adventure, Kids                                                                                                                                        - https://myanimelist.net/anime/10203
Bikyaku Seido Kaichou Ai                                                                             - 6.59  - 2014 - 1 episode(s)       - 30 min.              - Hentai                                                                                                                                                         - https://myanimelist.net/anime/20589
Binetsu Hime: Zange no Shou                                                                          - 5.04  - 2001 - 1 episode(s)       - 29 min.              - Hentai                                                                                                                                                         - https://myanimelist.net/anime/5570
Bishoujo Senshi Sailor Moon R                                                                        - 7.75  - 1993 - 43 episode(s)      - 24 min. per ep.      - Demons, Magic, Romance, Shoujo                                                                                                                                 - https://myanimelist.net/anime/740
Bishoujo Senshi Sailor Moon S                                                                        - 7.90  - 1994 - 38 episode(s)      - 24 min. per ep.      - Drama, Magic, Romance, Shoujo                                                                                                                                  - https://myanimelist.net/anime/532
Bishoujo Senshi Sailor Moon SuperS                                                                   - 7.65  - 1995 - 39 episode(s)      - 24 min. per ep.      - Drama, Magic, Romance, Shoujo                                                                                                                                  - https://myanimelist.net/anime/1239
Bishoujo Senshi Sailor Moon: Sailor Stars                                                            - 7.99  - 1996 - 34 episode(s)      - 24 min. per ep.      - Adventure, Comedy, Drama, Fantasy, Magic, Romance, Shoujo                                                                                                      - https://myanimelist.net/anime/996
Bishoujo Senshi Sailor Moon                                                                          - 7.73  - 1992 - 46 episode(s)      - 24 min. per ep.      - Magic, Romance, Demons, Shoujo                                                                                                                                 - https://myanimelist.net/anime/530
Black Jack: Sora kara Kita Kodomo                                                                    - 6.91  - 2000 - 1 episode(s)       - 22 min.              - Drama                                                                                                                                                          - https://myanimelist.net/anime/6246
Black Ocean                                                                                          - 4.92  - 2013 - 1 episode(s)       - 4 min.               - Music                                                                                                                                                          - https://myanimelist.net/anime/32811
Bleach: The Sealed Sword Frenzy                                                                      - 7.05  - 2006 - 1 episode(s)       - 33 min.              - Adventure, Fantasy, Comedy, Supernatural, Drama, Shounen                                                                                                       - https://myanimelist.net/anime/834
Blossom                                                                                              - 6.59  - 2012 - 1 episode(s)       - 5 min.               - Music                                                                                                                                                          - https://myanimelist.net/anime/13253
Bobby ni Kubittake                                                                                   - 6.22  - 1985 - 1 episode(s)       - 44 min.              - Drama, Romance, Slice of Life                                                                                                                                  - https://myanimelist.net/anime/3120
Boku no Hero Academia 2nd Season: Hero Note                                                          - 7.35  - 2017 - 1 episode(s)       - 23 min.              - Action, Comedy, Super Power                                                                                                                                    - https://myanimelist.net/anime/35262
Boku no Marie                                                                                        - 6.41  - 1996 - 3 episode(s)       - 30 min. per ep.      - Comedy, Ecchi, Romance, Sci-Fi, Seinen                                                                                                                         - https://myanimelist.net/anime/1701
Bokusatsu Tenshi Dokuro-chan                                                                         - 6.76  - 2005 - 4 episode(s)       - 25 min. per ep.      - Comedy, Ecchi, Magic                                                                                                                                           - https://myanimelist.net/anime/357
Break Blade 6: Doukoku no Toride                                                                     - 7.78  - 2011 - 1 episode(s)       - 52 min.              - Action, Mecha, Military, Shounen                                                                                                                               - https://myanimelist.net/anime/10092
Bunna yo Ki kara Orite Koi                                                                           - 6.22  - 1987 - 1 episode(s)       - 55 min.              - Adventure, Kids                                                                                                                                                - https://myanimelist.net/anime/23611
Buppu na Mainichi                                                                                    - 5.20  - 2017 - 27 episode(s)      - 1 min. per ep.       - Comedy                                                                                                                                                         - https://myanimelist.net/anime/34891
Burn Up!                                                                                             - 6.19  - 1991 - 1 episode(s)       - 46 min.              - Action, Sci-Fi, Comedy, Police, Ecchi                                                                                                                          - https://myanimelist.net/anime/767
Bus Gamer                                                                                            - 6.63  - 2008 - 3 episode(s)       - 23 min. per ep.      - Action                                                                                                                                                         - https://myanimelist.net/anime/3389
Bussouna Yoru                                                                                        - N/A   - 2016 - 1 episode(s)       - 4 min.               -                                                                                                                                                                - https://myanimelist.net/anime/35735
Butten Monogatari                                                                                    - 1.50  - 1986 - 12 episode(s)      - 30 min. per ep.      - Historical                                                                                                                                                     - https://myanimelist.net/anime/34925
Byousoku 5 Centimeter                                                                                - 7.96  - 2007 - 3 episode(s)       - 22 min. per ep.      - Drama, Romance, Slice of Life                                                                                                                                  - https://myanimelist.net/anime/1689
Canary                                                                                               - 4.80  - 2002 - 1 episode(s)       - 24 min.              - Fantasy, Music, Romance, School                                                                                                                                - https://myanimelist.net/anime/2146
Candy Candy: Haru no Yobigoe                                                                         - 6.65  - 1978 - 1 episode(s)       - 25 min.              - Slice of Life, Drama, Shoujo                                                                                                                                   - https://myanimelist.net/anime/2801
Captain Tsubasa: Asu ni Mukatte Hashire!                                                             - 6.87  - 1986 - 1 episode(s)       - 35 min.              - Action, Sports, Shounen                                                                                                                                        - https://myanimelist.net/anime/2120
Cardfight!! Vanguard: Legion Mate-hen                                                                - 7.04  - 2014 - 33 episode(s)      - 24 min. per ep.      - Action, Adventure, Demons, Game, Shounen                                                                                                                       - https://myanimelist.net/anime/21729
